"Country","Annual.GDP.Growth","Date","Last_inflation","Operating.Region","Scope","gdp_cat"
"Egypt",5.6,"2019-09-19",4.8,"Africa","Include","High"
"El Salvador",1.8,"2019-06-19",-0.68,"America","Include","Low"
"Equatorial Guinea",-7.9,"2019-12-18",1.3,"Africa","Include","Low"
"Estonia",3.6,"2019-06-19",2.2,"Europe","Include","Medium"
"Ethiopia",9.2,"2019-12-18",18.6,"Africa","Exclude","High"
"Euro Area",1.1,"2019-09-19",0.7,"Europe","Include","Low"
"European Union",1.4,"2019-09-19",1.2,"Europe","Include","Low"
"Fiji",4.2,"2019-12-18",0.4,"Australia","Include","Medium"
"Finland",1.2,"2019-06-19",0.9,"Europe","Include","Low"
"France",1.3,"2019-09-19",0.7,"Europe","Include","Low"
"Gabon",2,"2019-12-18",1,"Africa","Include","Medium"
"Gambia",6.5,"2019-12-18",7.65,"Africa","Include","High"
"Georgia",4.5,"2019-06-19",6.4,"Asia","Include","Medium"
"Germany",0.4,"2019-06-19",1.1,"Europe","Include","Low"
"Ghana",5.7,"2019-06-19",7.6,"Africa","Exclude","High"
"Greece",1.9,"2019-06-19",-0.1,"Europe","Include","Low"
"Guatemala",3.45,"2019-06-19",3.01,"America","Include","Medium"
"Guinea",5.8,"2019-12-18",9.4,"Africa","Include","High"
"Guinea Bissau",5.1,"2019-06-19",-0.3,"Africa","Include","High"
"Guyana",4.1,"2019-12-18",2.2,"America","Include","Medium"
"Haiti",1.5,"2019-12-18",19.1,"America","Include","Low"
"Honduras",1.9,"2019-06-19",4.42,"America","Include","Low"
"Hong Kong",-2.9,"2019-09-19",3.2,"Asia","Include","Low"
"Hungary",4.9,"2019-06-19",2.8,"Europe","Include","Medium"
"Iceland",2.7,"2019-06-19",2.8,"Europe","Include","Medium"
"India",5,"2019-06-19",3.99,"Asia","Include","Medium"
"Indonesia",5.05,"2019-06-19",3.13,"Asia","Include","High"
"Iran",1.8,"2019-06-18",35,"Asia","Include","Low"
"Iraq",-1,"2019-12-18",-0.3,"Asia","Include","Low"
"Ireland",5.8,"2019-06-19",0.9,"Europe","Include","High"
"Israel",3.2,"2019-06-19",0.3,"Asia","Include","Medium"
"Italy",0.3,"2019-09-19",0.3,"Europe","Include","Low"
"Ivory Coast",7.4,"2019-06-19",0.5,"Africa","Include","High"
"Jamaica",1.3,"2019-06-19",3.4,"America","Include","Low"
"Japan",1,"2019-06-19",0.2,"Asia","Include","Low"
"Jordan",1.8,"2019-06-19",-0.3,"Asia","Include","Low"
"Kazakhstan",4.1,"2019-06-19",5.3,"Asia","Include","Medium"
"Kenya",5.6,"2019-06-19",4.95,"Africa","Include","High"
"Kuwait",2.6,"2019-03-19",1.7,"Asia","Include","Medium"
"Kyrgyzstan",6.4,"2019-06-19",2.3,"Asia","Include","High"
"Laos",6.5,"2019-12-18",3.34,"Asia","Include","High"
"Latvia",2.8,"2019-09-19",2.6,"Europe","Include","Medium"
"Lebanon",1,"2019-12-18",1.22,"Asia","Include","Low"
"Lesotho",1.2,"2019-12-18",5.2,"Africa","Include","Low"
"Liberia",3.1,"2019-12-18",29.9,"Africa","Include","Medium"
"Libya",10.9,"2019-12-18",-6.5,"Africa","Exclude","High"
"Lithuania",3.6,"2019-09-19",2.2,"Europe","Include","Medium"
"Luxembourg",3.7,"2019-06-19",1.3,"Europe","Include","Medium"
"Macau",-1.8,"2019-06-19",2.73,"Asia","Include","Low"
"Madagascar",5,"2019-12-18",5.5,"Africa","Include","Medium"
"Malawi",3.7,"2019-12-18",9.2,"Africa","Include","Medium"
"Malaysia",4.9,"2019-06-19",1.1,"Asia","Include","Medium"
"Maldives",7.6,"2019-12-18",0.9,"Asia","Include","High"
"Mali",4.9,"2019-06-19",-2.2,"Africa","Include","Medium"
"Malta",4,"2019-06-19",1.6,"Europe","Include","Medium"
"Mauritania",3.6,"2019-12-18",2.4,"Africa","Include","Medium"
"Mauritius",3.4,"2019-06-19",1.3,"Africa","Exclude","Medium"
"Mexico",-0.4,"2019-09-19",3,"America","Include","Low"
"Moldova",5.8,"2019-06-19",6.3,"Europe","Include","High"
"Mongolia",7.3,"2019-06-19",9,"Asia","Include","High"
"Morocco",2.5,"2019-06-19",0.3,"Africa","Include","Medium"
"Mozambique",2.3,"2019-06-19",2.01,"Africa","Include","Medium"
"Myanmar",6.8,"2019-12-18",10.37,"Asia","Include","High"
"Namibia",-2.6,"2019-06-19",3.3,"Africa","Exclude","Low"
"Nepal",7.1,"2019-12-18",6.2,"Asia","Include","High"
"Netherlands",1.8,"2019-06-19",2.6,"Europe","Include","Low"
"New Caledonia",1,"2019-12-18",0.2,"Australia","Include","Low"
"New Zealand",2.1,"2019-06-19",1.5,"Australia","Include","Medium"
"Niger",6.4,"2019-06-19",-3.6,"Africa","Include","High"
"Nigeria",1.94,"2019-06-19",11.24,"Africa","Include","Low"
"Norway",-0.7,"2019-06-19",1.5,"Europe","Include","Low"
"Oman",12,"2019-12-18",0,"Asia","Include","High"
"Pakistan",5.2,"2019-12-18",12.55,"Asia","Include","High"
"Papua New Guinea",0.3,"2019-12-18",4,"Australia","Include","Low"
"Paraguay",-3,"2019-06-19",2.6,"America","Include","Low"
"Peru",1.2,"2019-06-19",1.88,"America","Include","Low"
"Philippines",5.5,"2019-06-19",0.9,"Asia","Include","High"
"Poland",4.5,"2019-06-19",2.5,"Europe","Include","Medium"
"Portugal",1.8,"2019-06-19",0,"Europe","Include","Low"
"Qatar",-1.4,"2019-06-19",0.1,"Asia","Include","Low"
"Republic of the Congo",1.9,"2019-12-18",1.1,"Africa","Include","Low"
"Romania",4.4,"2019-06-19",3.5,"Europe","Include","Medium"
"Russia",0.9,"2019-06-19",4,"Europe","Include","Low"
"Rwanda",12.2,"2019-06-19",4.6,"Africa","Exclude","High"
"Sao Tome and Principe",4.1,"2019-12-18",5.4,"Africa","Include","Medium"
"Saudi Arabia",0.5,"2019-06-19",-0.7,"Asia","Include","Low"
"Senegal",5.5,"2019-06-19",0.7,"Africa","Include","High"
"Serbia",2.9,"2019-06-19",1.1,"Europe","Include","Medium"
"Seychelles",6.7,"2019-06-19",1.41,"Africa","Include","High"
"Sierra Leone",3.5,"2019-12-18",15.4,"Africa","Include","Medium"
"Singapore",0.1,"2019-09-19",0.5,"Asia","Include","Low"
"Slovakia",2,"2019-06-19",2.9,"Europe","Include","Medium"
"Slovenia",2.5,"2019-06-19",1.4,"Europe","Include","Medium"
"South Africa",0.9,"2019-06-19",4.1,"Africa","Include","Low"
"South Korea",2,"2019-09-19",0,"Asia","Include","Medium"
"Spain",2,"2019-09-19",0.1,"Europe","Include","Medium"
"Sri Lanka",1.6,"2019-06-19",5.4,"Asia","Include","Low"
"Sudan",4.1,"2019-12-18",53.1,"Africa","Include","Medium"
"Suriname",1.9,"2019-12-18",4,"America","Include","Low"
"Swaziland",-0.5,"2019-12-18",2,"Africa","Include","Low"
"Sweden",1,"2019-06-19",1.5,"Europe","Include","Low"
"Switzerland",0.2,"2019-06-19",-0.3,"Europe","Include","Low"
"Taiwan",2.91,"2019-09-19",0.43,"Asia","Include","Medium"
"Tajikistan",7.2,"2019-09-19",8.6,"Asia","Include","High"
"Tanzania",6.6,"2019-03-19",3.4,"Africa","Include","High"
"Thailand",2.3,"2019-06-19",0.11,"Asia","Include","Medium"
"Togo",5,"2019-06-19",-0.3,"Africa","Include","Medium"
"Tunisia",1.2,"2019-06-19",6.7,"Africa","Include","Low"
"Turkey",-1.5,"2019-06-19",9.26,"Europe","Include","Low"
"Uganda",5.4,"2019-06-19",2.5,"Africa","Include","High"
"Ukraine",4.6,"2019-06-19",7.5,"Europe","Include","Medium"
"United Arab Emirates",2.2,"2019-03-19",-2,"Asia","Include","Medium"
"United Kingdom",1.3,"2019-06-19",1.7,"Europe","Include","Low"
"United States",2,"2019-09-19",1.7,"America","Include","Medium"
"Uzbekistan",5.8,"2019-06-19",14.3,"Asia","Include","High"
"Vietnam",7.31,"2019-09-19",2.24,"Asia","Include","High"
"Yemen",-2.7,"2019-12-18",9.49,"Asia","Include","Low"
"Zambia",3.7,"2019-12-18",10.7,"Africa","Include","Medium"
"Zimbabwe",4,"2019-12-18",288.5,"Africa","Include","Medium"
