carat,depth,table,clarity,cut
390,1.01,64.0,59.0,3.0,Good
392,0.9,63.1,58.0,3.0,Good
394,0.51,63.1,64.0,2.0,Good
396,0.41,63.2,58.0,2.0,Good
397,0.7,63.6,62.0,7.0,Good
398,0.31,63.1,58.0,5.0,Good
400,0.79,61.4,56.0,2.0,Ideal
401,2.05,61.9,57.0,2.0,Ideal
402,0.3,62.3,52.8,1.0,Ideal
403,0.54,61.7,57.0,6.0,Ideal
405,0.74,62.3,56.0,4.0,Ideal
406,1.28,62.7,53.0,4.0,Ideal
407,0.3,62.2,57.0,6.0,Ideal
408,2.0,62.4,55.0,5.0,Ideal
409,0.34,61.5,56.0,6.0,Ideal
410,0.55,61.9,56.0,4.0,Ideal
411,1.21,60.7,56.0,3.0,Ideal
412,0.56,61.8,56.0,6.0,Ideal
413,0.51,62.4,55.0,1.0,Ideal
414,1.6,61.7,56.0,3.0,Ideal
415,0.33,60.6,55.0,5.0,Ideal
416,0.33,61.0,54.0,7.0,Ideal
417,0.31,61.1,56.0,6.0,Ideal
418,0.36,61.7,56.0,1.0,Ideal
419,1.19,61.5,55.0,6.0,Ideal
420,0.31,61.7,55.0,5.0,Ideal
421,0.82,62.4,56.0,2.0,Ideal
422,1.2,62.9,55.0,7.0,Ideal
423,0.6,61.6,56.0,4.0,Ideal
424,0.36,60.0,56.0,5.0,Ideal
425,0.72,62.0,56.0,6.0,Ideal
426,0.71,61.2,56.0,1.0,Ideal
427,0.33,61.6,53.0,1.0,Ideal
428,0.72,61.1,57.0,4.0,Ideal
429,0.71,61.3,57.0,2.0,Ideal
430,1.54,62.0,57.0,4.0,Ideal
431,0.53,60.8,55.0,5.0,Ideal
432,1.11,62.7,57.0,3.0,Ideal
433,0.59,62.2,56.0,7.0,Ideal
434,0.5,61.4,55.0,5.0,Ideal
435,0.39,61.9,54.0,1.0,Ideal
436,0.31,62.8,57.0,4.0,Ideal
437,0.54,62.2,56.0,4.0,Ideal
438,0.33,61.9,55.0,6.0,Ideal
439,1.2,61.1,57.0,3.0,Ideal
440,0.31,61.9,55.0,6.0,Ideal
441,1.51,62.9,57.0,3.0,Ideal
442,1.14,61.4,57.0,4.0,Ideal
443,0.31,62.1,55.0,6.0,Ideal
444,1.11,61.7,57.0,3.0,Ideal
445,0.32,60.9,57.0,2.0,Ideal
446,1.53,60.6,54.0,4.0,Ideal
447,0.38,62.4,53.2,6.0,Ideal
448,1.01,62.8,57.0,1.0,Ideal
449,1.2,62.2,55.0,5.0,Ideal
450,1.57,62.0,56.0,2.0,Ideal
451,1.0,61.5,55.0,7.0,Ideal
452,1.0,62.4,57.0,3.0,Ideal
453,1.22,61.5,56.0,4.0,Ideal
454,0.41,62.4,55.0,2.0,Ideal
455,0.38,62.6,56.0,6.0,Ideal
456,0.51,61.6,56.0,5.0,Ideal
457,0.77,62.1,56.0,3.0,Ideal
458,1.61,62.2,56.0,5.0,Ideal
459,0.32,61.6,55.0,7.0,Ideal
460,2.3,61.6,56.0,3.0,Ideal
461,0.33,60.7,57.0,5.0,Ideal
462,0.44,60.9,57.0,7.0,Ideal
463,1.11,62.1,55.0,6.0,Ideal
464,0.37,61.4,55.0,1.0,Ideal
465,0.43,61.5,57.0,2.0,Ideal
466,0.53,60.8,56.0,2.0,Ideal
467,1.07,62.8,54.0,7.0,Ideal
468,0.4,61.3,56.0,6.0,Ideal
469,2.15,60.9,56.0,2.0,Ideal
470,0.31,61.1,54.0,4.0,Ideal
471,0.7,63.1,54.0,3.0,Ideal
472,0.4,61.6,56.0,4.0,Ideal
473,0.31,62.0,56.0,2.0,Ideal
474,0.73,62.1,55.8,4.0,Ideal
475,0.33,62.6,57.0,5.0,Ideal
476,0.32,61.4,56.0,3.0,Ideal
477,0.64,61.0,56.0,7.0,Ideal
478,0.31,61.2,56.0,6.0,Ideal
479,1.14,61.7,53.0,4.0,Ideal
480,0.53,61.6,55.0,4.0,Ideal
481,1.01,61.5,57.0,4.0,Ideal
483,0.41,62.2,55.0,4.0,Ideal
484,0.31,62.8,57.0,7.0,Ideal
485,0.56,62.7,55.0,5.0,Ideal
486,1.02,60.7,57.0,3.0,Ideal
487,0.5,62.9,57.0,3.0,Ideal
488,1.04,61.1,56.0,3.0,Ideal
489,1.55,62.1,56.0,6.0,Ideal
490,0.25,61.9,55.0,7.0,Ideal
491,0.55,62.4,55.0,7.0,Ideal
492,0.71,60.4,56.0,3.0,Ideal
493,0.4,61.3,55.0,4.0,Ideal
494,0.8,62.0,57.0,2.0,Ideal
495,0.5,62.7,57.0,4.0,Ideal
496,0.71,60.5,56.0,2.0,Ideal
497,0.3,61.5,55.0,5.0,Ideal
498,0.85,63.0,56.0,2.0,Ideal
499,0.3,62.3,56.0,2.0,Ideal
500,1.02,62.2,56.0,2.0,Ideal
501,2.01,62.9,54.0,4.0,Ideal
502,0.59,62.9,56.0,5.0,Ideal
503,0.9,61.1,56.0,2.0,Ideal
504,0.32,61.7,55.0,3.0,Ideal
505,0.4,62.2,55.0,2.0,Ideal
506,1.39,61.5,55.0,5.0,Ideal
507,0.34,62.3,57.0,2.0,Ideal
508,0.31,61.7,56.0,4.0,Ideal
509,1.01,61.2,57.0,3.0,Ideal
510,0.29,62.1,54.0,2.0,Ideal
512,0.3,61.4,57.0,2.0,Ideal
513,0.32,61.5,54.0,2.0,Ideal
514,0.32,62.5,55.0,2.0,Ideal
515,1.03,62.4,57.0,2.0,Ideal
517,0.38,61.5,57.0,7.0,Ideal
518,0.33,62.1,57.0,5.0,Ideal
519,0.32,62.2,55.0,5.0,Ideal
520,1.56,61.8,57.0,2.0,Ideal
521,1.01,61.0,57.0,7.0,Ideal
522,1.27,61.6,56.1,5.0,Ideal
523,0.8,62.4,56.0,4.0,Ideal
524,0.34,61.7,55.0,1.0,Ideal
525,0.3,60.0,56.0,4.0,Ideal
526,0.6,62.5,55.0,6.0,Ideal
527,0.76,60.5,56.0,4.0,Ideal
528,0.34,61.1,57.0,7.0,Ideal
529,0.55,62.1,55.0,2.0,Ideal
530,0.9,61.5,56.0,3.0,Ideal
531,0.39,60.5,56.0,2.0,Ideal
532,0.42,62.4,55.0,5.0,Ideal
533,0.33,61.9,55.0,5.0,Ideal
534,1.54,61.2,56.0,4.0,Ideal
535,1.0,62.7,57.0,2.0,Ideal
536,1.21,61.2,57.0,5.0,Ideal
537,0.43,62.0,57.0,6.0,Ideal
538,1.01,62.7,57.0,3.0,Ideal
539,0.35,61.6,55.1,4.0,Ideal
540,0.26,62.1,54.0,4.0,Ideal
541,1.31,62.3,56.0,3.0,Ideal
542,0.32,62.2,55.0,6.0,Ideal
543,0.41,61.6,54.0,4.0,Ideal
544,0.32,62.0,55.0,7.0,Ideal
545,0.31,61.4,56.0,5.0,Ideal
546,0.3,61.9,57.0,2.0,Ideal
547,0.56,61.8,54.0,2.0,Ideal
548,0.42,61.7,55.0,6.0,Ideal
549,0.4,62.3,57.0,4.0,Ideal
550,1.03,61.5,57.0,4.0,Ideal
551,0.34,61.3,56.0,4.0,Ideal
552,1.01,61.7,57.0,3.0,Ideal
553,0.7,61.2,55.0,2.0,Ideal
554,0.3,61.6,54.0,4.0,Ideal
555,0.54,61.8,54.0,3.0,Ideal
556,1.09,62.4,55.0,5.0,Ideal
557,0.31,62.7,57.0,2.0,Ideal
558,0.38,61.3,54.0,3.0,Ideal
559,0.91,62.3,56.0,2.0,Ideal
560,0.5,61.6,57.0,7.0,Ideal
561,0.32,61.7,56.0,6.0,Ideal
562,0.5,61.6,57.0,3.0,Ideal
563,1.2,61.9,57.0,5.0,Ideal
564,0.33,60.9,56.0,4.0,Ideal
565,0.7,61.1,56.0,4.0,Ideal
566,0.3,62.5,54.0,1.0,Ideal
567,1.32,62.1,55.0,6.0,Ideal
568,0.41,62.6,57.0,1.0,Ideal
569,1.02,61.3,57.0,6.0,Ideal
570,1.28,62.2,56.0,2.0,Ideal
571,0.63,60.9,57.0,1.0,Ideal
573,0.93,62.0,56.0,2.0,Ideal
574,0.38,61.0,55.0,2.0,Ideal
575,0.35,62.0,55.0,5.0,Ideal
576,1.25,62.5,56.0,5.0,Ideal
577,0.3,61.1,55.0,3.0,Ideal
578,0.31,62.2,53.0,7.0,Ideal
579,1.6,62.8,56.0,3.0,Ideal
580,1.02,61.6,55.0,3.0,Ideal
581,1.12,60.9,57.0,4.0,Ideal
582,0.31,60.8,57.0,5.0,Ideal
583,1.13,61.7,57.0,5.0,Ideal
584,0.7,62.1,56.0,2.0,Ideal
585,0.59,61.4,56.0,2.0,Ideal
586,0.97,61.7,56.0,2.0,Ideal
587,0.25,61.2,57.0,6.0,Ideal
588,0.56,61.5,57.0,5.0,Ideal
589,1.04,60.5,57.0,5.0,Ideal
590,0.3,62.9,57.0,2.0,Ideal
591,0.4,62.1,55.0,2.0,Ideal
592,0.3,62.3,54.0,5.0,Ideal
593,0.72,62.6,56.0,7.0,Ideal
594,0.31,62.4,57.0,2.0,Ideal
595,1.01,61.6,56.0,5.0,Ideal
596,0.91,61.7,57.0,7.0,Ideal
597,0.73,62.3,56.0,4.0,Ideal
598,1.2,61.7,56.0,4.0,Ideal
599,0.51,60.2,56.0,4.0,Ideal
600,1.3,62.5,58.0,4.0,Premium
601,1.01,58.5,59.0,7.0,Premium
602,0.42,62.7,59.0,2.0,Premium
603,1.01,61.6,59.0,5.0,Premium
605,0.42,59.9,61.0,4.0,Premium
606,0.34,59.9,59.0,3.0,Premium
607,0.95,62.8,59.0,2.0,Premium
608,1.53,61.3,59.0,2.0,Premium
609,1.14,62.6,58.0,3.0,Premium
610,1.09,59.4,60.0,3.0,Premium
611,1.3,59.9,59.0,2.0,Premium
612,1.12,62.4,58.0,3.0,Premium
613,0.9,58.0,61.0,5.0,Premium
614,2.33,59.9,59.0,2.0,Premium
615,0.77,61.9,59.0,3.0,Premium
618,1.32,60.9,59.0,5.0,Premium
619,0.9,62.7,60.0,4.0,Premium
620,1.05,58.9,58.0,3.0,Premium
622,1.24,62.2,58.0,3.0,Premium
623,0.6,62.0,59.0,3.0,Premium
624,1.5,60.6,61.0,5.0,Premium
625,0.36,61.5,58.0,3.0,Premium
626,0.95,62.6,59.0,7.0,Premium
627,1.01,59.8,58.0,0.0,Premium
628,1.53,62.9,59.0,2.0,Premium
629,0.38,60.9,60.0,5.0,Premium
630,0.32,61.0,61.0,5.0,Premium
631,1.5,58.9,60.0,3.0,Premium
632,1.54,59.3,59.0,5.0,Premium
633,1.23,58.5,59.0,7.0,Premium
634,1.11,61.5,58.0,3.0,Premium
635,0.31,59.9,59.0,4.0,Premium
636,1.22,61.2,58.0,5.0,Premium
637,0.31,61.5,58.0,7.0,Premium
639,0.32,62.3,58.0,4.0,Premium
640,1.04,61.0,58.0,2.0,Premium
641,0.33,62.3,59.0,2.0,Premium
642,0.28,61.3,60.0,6.0,Premium
643,1.22,62.6,58.0,2.0,Premium
645,0.7,61.7,60.0,4.0,Premium
646,0.93,62.3,58.0,2.0,Premium
647,0.94,62.5,58.0,5.0,Premium
648,1.11,61.8,59.0,0.0,Premium
649,0.31,62.4,58.0,4.0,Premium
650,2.01,59.4,62.0,3.0,Premium
651,1.02,61.9,58.0,4.0,Premium
653,0.31,59.5,59.0,4.0,Premium
654,1.2,59.6,58.0,5.0,Premium
655,0.31,60.5,60.0,2.0,Premium
656,0.41,61.0,59.0,7.0,Premium
657,0.31,62.1,59.0,6.0,Premium
658,0.32,61.6,58.0,1.0,Premium
659,2.01,61.5,62.0,4.0,Premium
660,0.72,60.7,60.0,7.0,Premium
661,1.01,62.7,59.0,2.0,Premium
663,0.56,60.8,60.0,2.0,Premium
664,0.33,61.0,58.0,7.0,Premium
665,2.8,61.1,59.0,3.0,Premium
666,1.27,60.9,59.0,2.0,Premium
667,0.57,60.7,59.0,3.0,Premium
668,1.01,62.5,62.0,3.0,Premium
669,0.51,62.2,58.0,2.0,Premium
670,2.05,60.0,58.0,3.0,Premium
671,0.73,60.0,58.0,4.0,Premium
672,0.7,58.4,61.0,3.0,Premium
673,1.0,62.5,59.0,3.0,Premium
674,1.33,61.5,58.0,4.0,Premium
675,0.3,61.1,61.0,6.0,Premium
676,0.32,62.6,58.0,2.0,Premium
678,2.01,60.1,59.0,2.0,Premium
679,1.15,62.6,58.0,2.0,Premium
680,0.32,61.7,58.0,4.0,Premium
681,0.31,61.5,59.0,2.0,Premium
682,1.0,60.1,61.0,2.0,Premium
683,0.55,60.3,62.0,5.0,Premium
684,0.3,62.6,58.0,5.0,Premium
685,0.5,62.3,58.0,2.0,Premium
687,2.1,61.3,58.0,6.0,Premium
688,0.41,62.8,59.0,2.0,Premium
689,1.64,62.8,59.0,2.0,Premium
690,1.51,62.8,60.0,3.0,Premium
691,0.31,62.3,59.0,4.0,Premium
692,0.32,60.1,61.0,5.0,Premium
693,0.31,60.3,59.0,3.0,Premium
694,0.34,59.3,60.0,2.0,Premium
695,0.37,63.0,58.0,5.0,Premium
696,0.51,60.5,59.0,2.0,Premium
697,0.52,61.7,58.0,4.0,Premium
698,1.5,62.6,59.0,3.0,Premium
699,1.21,62.7,59.0,3.0,Premium
700,0.92,59.4,60.0,3.0,Premium
701,1.24,61.6,59.0,2.0,Premium
702,0.43,61.0,60.0,3.0,Premium
704,1.53,62.7,60.0,3.0,Premium
705,0.95,58.8,60.0,3.0,Premium
706,0.31,61.2,59.0,6.0,Premium
709,0.53,60.0,58.0,2.0,Premium
710,0.7,60.5,58.0,2.0,Premium
711,0.82,61.1,60.0,2.0,Premium
712,0.73,61.7,58.0,2.0,Premium
713,0.3,60.0,60.0,2.0,Premium
714,0.31,61.1,59.0,4.0,Premium
715,0.7,62.1,59.0,2.0,Premium
717,1.19,62.7,61.0,2.0,Premium
718,1.51,60.9,58.0,7.0,Premium
719,0.7,61.9,60.0,2.0,Premium
720,1.16,60.5,59.0,5.0,Premium
723,0.71,61.4,58.0,2.0,Premium
724,1.37,60.9,59.0,5.0,Premium
725,2.02,60.8,62.0,5.0,Premium
726,1.65,60.4,60.0,2.0,Premium
727,1.01,59.2,60.0,2.0,Premium
729,1.13,58.6,59.0,4.0,Premium
730,0.36,61.4,58.0,2.0,Premium
731,0.71,62.4,58.0,4.0,Premium
732,0.4,60.9,60.0,2.0,Premium
733,1.62,61.7,59.0,4.0,Premium
734,1.28,60.8,60.0,4.0,Premium
735,0.9,59.5,58.0,5.0,Premium
736,1.25,62.0,59.0,5.0,Premium
737,0.5,62.4,58.0,2.0,Premium
738,1.02,62.0,59.0,3.0,Premium
739,0.38,61.3,59.0,2.0,Premium
740,0.3,62.2,58.0,2.0,Premium
741,2.38,60.9,59.0,4.0,Premium
742,1.01,59.1,58.0,5.0,Premium
743,2.06,61.0,61.0,3.0,Premium
744,0.36,61.1,59.0,2.0,Premium
745,1.71,61.4,60.0,5.0,Premium
746,1.0,61.2,58.0,2.0,Premium
747,1.0,59.9,60.0,7.0,Premium
748,1.0,62.3,59.0,2.0,Premium
749,0.31,60.6,59.0,6.0,Premium
750,0.43,59.9,58.0,4.0,Premium
751,0.32,59.9,58.0,7.0,Premium
752,0.72,59.1,61.0,3.0,Premium
753,0.33,61.0,59.0,7.0,Premium
754,0.34,62.6,59.0,5.0,Premium
755,1.5,59.2,62.0,2.0,Premium
756,0.54,58.8,61.0,1.0,Premium
757,1.53,60.7,60.0,3.0,Premium
758,1.21,61.0,58.0,5.0,Premium
759,0.31,60.7,61.0,5.0,Premium
760,1.57,60.9,58.0,3.0,Premium
761,0.5,61.8,58.0,5.0,Premium
762,0.5,61.3,59.0,5.0,Premium
763,2.04,60.3,60.0,3.0,Premium
764,1.13,61.4,59.0,3.0,Premium
765,0.31,60.8,58.0,5.0,Premium
766,0.31,61.3,59.0,5.0,Premium
767,0.57,59.8,59.0,5.0,Premium
768,0.32,60.2,60.0,7.0,Premium
769,1.13,58.3,60.0,3.0,Premium
770,2.01,61.6,58.0,3.0,Premium
771,0.69,61.0,60.0,5.0,Premium
772,0.31,60.6,60.0,7.0,Premium
773,0.41,62.4,58.0,5.0,Premium
774,0.5,61.4,59.0,5.0,Premium
775,0.72,62.8,58.0,6.0,Premium
776,0.77,60.8,59.0,2.0,Premium
777,0.37,58.4,59.0,4.0,Premium
778,0.43,62.3,59.0,2.0,Premium
779,1.52,60.4,59.0,2.0,Premium
780,0.91,62.2,60.0,2.0,Premium
781,1.21,60.3,60.0,5.0,Premium
783,0.92,62.2,58.0,2.0,Premium
784,0.75,61.9,61.0,4.0,Premium
785,0.32,62.3,60.0,5.0,Premium
786,0.33,60.1,58.0,6.0,Premium
787,0.71,61.3,58.0,2.0,Premium
788,0.33,62.2,59.0,2.0,Premium
789,2.75,60.5,61.0,3.0,Premium
790,2.38,60.6,59.0,3.0,Premium
791,1.6,62.1,60.0,2.0,Premium
792,0.41,60.2,59.0,4.0,Premium
794,0.76,60.1,59.0,5.0,Premium
795,0.33,60.1,59.0,2.0,Premium
796,1.38,60.2,60.0,3.0,Premium
797,0.51,61.5,58.0,5.0,Premium
798,0.81,60.8,59.0,2.0,Premium
799,1.71,61.3,58.0,5.0,Premium
