datetime,Make,Model,Quantity,Pct
2007-05-01,Peugeot,Peugeot 307,335,2.8
2007-05-01,Skoda,Skoda Octavia,279,2.3
2007-05-01,Ford,Ford Focus,274,2.3
2007-05-01,Toyota,Toyota Yaris,270,2.2
2007-05-01,Volkswagen,Volkswagen Touran,262,2.2
2007-05-01,Volkswagen,Volkswagen Polo,258,2.1
2007-05-01,Toyota,Toyota Corolla,250,2.1
2007-05-01,Saab,Saab 9-3,224,1.9
2007-05-01,Audi,Audi A4,221,1.8
2007-05-01,Peugeot,Peugeot 207,221,1.8
2007-05-01,Audi,Audi A3,216,1.8
2007-05-01,Opel,Opel Astra,187,1.6
2007-05-01,Volvo,Volvo V50,111,0.9
2007-06-01,Volkswagen,Volkswagen Golf,510,4.6
2007-06-01,Volkswagen,Volkswagen Passat,509,4.6
2007-06-01,Toyota,Toyota Avensis,487,4.4
2007-06-01,Honda,Honda CR-V,468,4.2
2007-06-01,Toyota,Toyota Auris,363,3.3
2007-06-01,Volvo,Volvo V70,360,3.2
2007-06-01,Toyota,Toyota Rav4,315,2.8
2007-06-01,Skoda,Skoda Octavia,295,2.7
2007-06-01,Ford,Ford Focus,289,2.6
2007-06-01,Peugeot,Peugeot 307,266,2.4
2007-06-01,Volkswagen,Volkswagen Polo,227,2.0
2007-06-01,Opel,Opel Astra,214,1.9
2007-06-01,Toyota,Toyota Yaris,202,1.8
2007-06-01,Volkswagen,Volkswagen Touran,191,1.7
2007-06-01,Audi,Audi A4,188,1.7
2007-06-01,Saab,Saab 9-3,161,1.5
2007-06-01,Audi,Audi A3,157,1.4
2007-06-01,Peugeot,Peugeot 207,155,1.4
2007-06-01,Toyota,Toyota Corolla,118,1.1
2007-06-01,Volvo,Volvo V50,79,0.7
2007-07-01,Volkswagen,Volkswagen Passat,811,6.7
2007-07-01,Toyota,Toyota Avensis,587,4.9
2007-07-01,Volvo,Volvo V70,507,4.2
2007-07-01,Ford,Ford Mondeo,472,3.9
2007-07-01,Volkswagen,Volkswagen Golf,447,3.7
2007-07-01,Toyota,Toyota Auris,420,3.5
2007-07-01,Toyota,Toyota Rav4,396,3.3
2007-07-01,Peugeot,Peugeot 307,331,2.7
2007-07-01,Volvo,Volvo V50,312,2.6
2007-07-01,Ford,Ford Focus,301,2.5
2007-07-01,Skoda,Skoda Octavia,290,2.4
2007-07-01,Audi,Audi A4,247,2.0
2007-07-01,Peugeot,Peugeot 207,239,2.0
2007-07-01,Honda,Honda CR-V,233,1.9
2007-07-01,Toyota,Toyota Yaris,229,1.9
2007-07-01,Volkswagen,Volkswagen Touran,218,1.8
2007-07-01,Volkswagen,Volkswagen Polo,214,1.8
2007-07-01,Opel,Opel Astra,205,1.7
2007-07-01,Audi,Audi A3,177,1.5
2007-07-01,Toyota,Toyota Corolla,149,1.2
2007-08-01,Volkswagen,Volkswagen Passat,644,6.0
2007-08-01,Mitsubishi,Mitsubishi Outlander,524,4.9
2007-08-01,Volkswagen,Volkswagen Golf,476,4.4
2007-08-01,Toyota,Toyota Avensis,463,4.3
2007-08-01,Ford,Ford Mondeo,431,4.0
2007-08-01,Toyota,Toyota Auris,422,3.9
2007-08-01,Toyota,Toyota Rav4,346,3.2
2007-08-01,Volvo,Volvo V70,278,2.6
2007-08-01,Skoda,Skoda Octavia,258,2.4
2007-08-01,Audi,Audi A4,223,2.1
2007-08-01,Toyota,Toyota Yaris,210,1.9
2007-08-01,Volkswagen,Volkswagen Polo,210,1.9
2007-08-01,Peugeot,Peugeot 307,209,1.9
2007-08-01,Volkswagen,Volkswagen Touran,209,1.9
2007-08-01,Ford,Ford Focus,200,1.9
2007-08-01,Toyota,Toyota Corolla,175,1.6
2007-08-01,Peugeot,Peugeot 207,163,1.5
2007-08-01,Audi,Audi A3,156,1.4
2007-08-01,Honda,Honda CR-V,146,1.4
2007-08-01,Opel,Opel Astra,146,1.4
2007-09-01,Volkswagen,Volkswagen Golf,473,5.1
2007-09-01,Volkswagen,Volkswagen Passat,459,4.9
2007-09-01,Mitsubishi,Mitsubishi Outlander,410,4.4
2007-09-01,Volvo,Volvo V70,384,4.1
2007-09-01,Toyota,Toyota Avensis,303,3.2
2007-09-01,Toyota,Toyota Auris,287,3.1
2007-09-01,Ford,Ford Mondeo,281,3.0
2007-09-01,Ford,Ford Focus,277,3.0
2007-09-01,Toyota,Toyota Rav4,245,2.6
2007-09-01,Toyota,Toyota Yaris,234,2.5
2007-09-01,Skoda,Skoda Octavia,192,2.1
2007-09-01,Honda,Honda CR-V,190,2.0
2007-09-01,Volkswagen,Volkswagen Touran,177,1.9
2007-09-01,Peugeot,Peugeot 307,166,1.8
2007-09-01,Audi,Audi A4,157,1.7
2007-09-01,Opel,Opel Astra,150,1.6
2007-09-01,Volkswagen,Volkswagen Polo,149,1.6
2007-09-01,Peugeot,Peugeot 207,125,1.3
2007-09-01,Audi,Audi A3,123,1.3
2007-09-01,Toyota,Toyota Corolla,95,1.0
2007-10-01,Volkswagen,Volkswagen Golf,675,5.8
2007-10-01,Volvo,Volvo V70,615,5.3
2007-10-01,Toyota,Toyota Avensis,535,4.6
2007-10-01,Volkswagen,Volkswagen Passat,491,4.2
2007-10-01,Toyota,Toyota Auris,369,3.2
2007-10-01,Volkswagen,Volkswagen Touran,356,3.1
2007-10-01,Ford,Ford Mondeo,331,2.8
2007-10-01,Volkswagen,Volkswagen Polo,276,2.4
2007-10-01,Toyota,Toyota Rav4,264,2.3
2007-10-01,Honda,Honda CR-V,262,2.2
2007-10-01,Peugeot,Peugeot 307,258,2.2
2007-10-01,Skoda,Skoda Octavia,256,2.2
2007-10-01,Toyota,Toyota Yaris,247,2.1
2007-10-01,Mitsubishi,Mitsubishi Outlander,236,2.0
2007-10-01,Peugeot,Peugeot 207,233,2.0
2007-10-01,Ford,Ford Focus,227,1.9
2007-10-01,Audi,Audi A3,191,1.6
2007-10-01,Audi,Audi A4,183,1.6
2007-10-01,Opel,Opel Astra,164,1.4
2007-10-01,Toyota,Toyota Corolla,85,0.7
2007-11-01,Volkswagen,Volkswagen Golf,530,5.1
2007-11-01,Volkswagen,Volkswagen Passat,527,5.0
2007-11-01,Toyota,Toyota Avensis,502,4.8
2007-11-01,Volvo,Volvo V70,409,3.9
2007-11-01,Toyota,Toyota Auris,359,3.4
2007-11-01,Nissan,Nissan Qashqai,333,3.2
2007-11-01,Honda,Honda CR-V,314,3.0
2007-11-01,Skoda,Skoda Octavia,258,2.5
2007-11-01,Toyota,Toyota Rav4,253,2.4
2007-11-01,Ford,Ford Mondeo,248,2.4
2007-11-01,Toyota,Toyota Yaris,212,2.0
2007-11-01,Volkswagen,Volkswagen Touran,207,2.0
2007-11-01,Peugeot,Peugeot 207,187,1.8
2007-11-01,Ford,Ford Focus,159,1.5
2007-11-01,Opel,Opel Astra,154,1.5
2007-11-01,Peugeot,Peugeot 307,140,1.3
2007-11-01,Toyota,Toyota Corolla,121,1.2
2007-11-01,Mitsubishi,Mitsubishi Outlander,118,1.1
2007-11-01,Audi,Audi A4,118,1.1
2007-11-01,Volkswagen,Volkswagen Polo,104,1.0
2007-12-01,Ford,Ford Mondeo,457,5.0
2007-12-01,Volkswagen,Volkswagen Golf,390,4.2
2007-12-01,Volvo,Volvo V70,384,4.2
2007-12-01,Volkswagen,Volkswagen Passat,381,4.1
2007-12-01,Honda,Honda CR-V,335,3.6
2007-12-01,Skoda,Skoda Octavia,308,3.3
2007-12-01,Toyota,Toyota Avensis,268,2.9
2007-12-01,Toyota,Toyota Auris,268,2.9
2007-12-01,Saab,Saab 9-3,259,2.8
2007-12-01,Mitsubishi,Mitsubishi Outlander,226,2.5
2007-12-01,Toyota,Toyota Rav4,225,2.4
2007-12-01,Ford,Ford Focus,157,1.7
2007-12-01,Audi,Audi A4,139,1.5
2007-12-01,Volkswagen,Volkswagen Touran,135,1.5
2007-12-01,Opel,Opel Astra,130,1.4
2007-12-01,Toyota,Toyota Yaris,115,1.2
2007-12-01,Volkswagen,Volkswagen Polo,108,1.2
2007-12-01,Toyota,Toyota Corolla,90,1.0
2007-12-01,Peugeot,Peugeot 207,65,0.7
2007-12-01,Peugeot,Peugeot 307,47,0.5
2008-01-01,Ford,Ford Mondeo,588,5.9
2008-01-01,Volkswagen,Volkswagen Golf,425,4.3
2008-01-01,Honda,Honda CR-V,397,4.0
2008-01-01,Volkswagen,Volkswagen Passat,365,3.7
2008-01-01,Toyota,Toyota Rav4,331,3.3
2008-01-01,Toyota,Toyota Avensis,322,3.3
2008-01-01,Toyota,Toyota Auris,321,3.2
2008-01-01,Volvo,Volvo V70,315,3.2
2008-01-01,Nissan,Nissan Qashqai,280,2.8
2008-01-01,Mitsubishi,Mitsubishi Outlander,232,2.3
2008-01-01,Toyota,Toyota Corolla,229,2.3
2008-01-01,Toyota,Toyota Prius,217,2.2
2008-01-01,Skoda,Skoda Octavia,216,2.2
2008-01-01,Peugeot,Peugeot 207,202,2.0
2008-01-01,Toyota,Toyota Yaris,198,2.0
2008-01-01,Ford,Ford Focus,173,1.7
2008-01-01,BMW,BMW 3-serie,158,1.6
2008-01-01,Audi,Audi A4,157,1.6
2008-01-01,Nissan,Nissan X-Trail,144,1.5
2008-01-01,Peugeot,Peugeot 308,135,1.4
2008-02-01,Ford,Ford Mondeo,624,5.9
2008-02-01,Volkswagen,Volkswagen Passat,551,5.2
2008-02-01,Volkswagen,Volkswagen Golf,488,4.6
2008-02-01,Volvo,Volvo V70,392,3.7
2008-02-01,Toyota,Toyota Auris,342,3.2
2008-02-01,Volkswagen,Volkswagen Tiguan,340,3.2
2008-02-01,Toyota,Toyota Avensis,315,3.0
2008-02-01,Nissan,Nissan Qashqai,272,2.6
2008-02-01,Nissan,Nissan X-Trail,271,2.6
2008-02-01,Mitsubishi,Mitsubishi Outlander,257,2.4
2008-02-01,Toyota,Toyota Rav4,250,2.4
2008-02-01,Ford,Ford Focus,235,2.2
2008-02-01,Skoda,Skoda Octavia,225,2.1
2008-02-01,Toyota,Toyota Yaris,222,2.1
2008-02-01,Honda,Honda CR-V,219,2.1
2008-02-01,Audi,Audi A4,200,1.9
2008-02-01,BMW,BMW 3-serie,184,1.7
2008-02-01,Toyota,Toyota Prius,165,1.6
2008-02-01,Peugeot,Peugeot 207,144,1.4
2008-02-01,Toyota,Toyota Corolla,142,1.3
2008-03-01,Volkswagen,Volkswagen Golf,453,4.8
2008-03-01,Mitsubishi,Mitsubishi Outlander,430,4.5
2008-03-01,Volkswagen,Volkswagen Passat,396,4.2
2008-03-01,Ford,Ford Mondeo,351,3.7
2008-03-01,Toyota,Toyota Auris,292,3.1
2008-03-01,Toyota,Toyota Avensis,286,3.0
2008-03-01,Volvo,Volvo V70,281,3.0
2008-03-01,Volkswagen,Volkswagen Tiguan,267,2.8
2008-03-01,Nissan,Nissan Qashqai,252,2.7
2008-03-01,Ford,Ford Focus,246,2.6
2008-03-01,Toyota,Toyota Yaris,239,2.5
2008-03-01,Audi,Audi A4,235,2.5
2008-03-01,Skoda,Skoda Octavia,208,2.2
2008-03-01,Skoda,Skoda Fabia,207,2.2
2008-03-01,Toyota,Toyota Rav4,200,2.1
2008-03-01,Honda,Honda CR-V,151,1.6
2008-03-01,Nissan,Nissan X-Trail,150,1.6
2008-03-01,Toyota,Toyota Corolla,140,1.5
2008-03-01,Peugeot,Peugeot 207,130,1.4
2008-03-01,Toyota,Toyota Prius,95,1.0
2008-04-01,Volkswagen,Volkswagen Golf,598,5.1
2008-04-01,Volkswagen,Volkswagen Passat,478,4.1
2008-04-01,Mitsubishi,Mitsubishi Outlander,474,4.0
2008-04-01,Volvo,Volvo V70,405,3.5
2008-04-01,Toyota,Toyota Auris,371,3.2
2008-04-01,Ford,Ford Mondeo,354,3.0
2008-04-01,Toyota,Toyota Avensis,347,3.0
2008-04-01,Ford,Ford Focus,342,2.9
2008-04-01,Audi,Audi A4,282,2.4
2008-04-01,Skoda,Skoda Octavia,268,2.3
2008-04-01,Toyota,Toyota Yaris,254,2.2
2008-04-01,Honda,Honda CR-V,248,2.1
2008-04-01,Nissan,Nissan Qashqai,223,1.9
2008-04-01,Audi,Audi A3,222,1.9
2008-04-01,Volkswagen,Volkswagen Tiguan,221,1.9
2008-04-01,Peugeot,Peugeot 308,213,1.8
2008-04-01,BMW,BMW 3-serie,208,1.8
2008-04-01,Toyota,Toyota Rav4,190,1.6
2008-04-01,Toyota,Toyota Corolla,184,1.6
2008-04-01,Nissan,Nissan X-Trail,162,1.4
2008-05-01,Volvo,Volvo V70,447,4.4
2008-05-01,Volkswagen,Volkswagen Golf,416,4.1
2008-05-01,Ford,Ford Focus,416,4.1
2008-05-01,Volkswagen,Volkswagen Passat,372,3.6
2008-05-01,Toyota,Toyota Auris,324,3.2
2008-05-01,Nissan,Nissan Qashqai,310,3.0
2008-05-01,Toyota,Toyota Avensis,304,3.0
2008-05-01,Ford,Ford Mondeo,303,3.0
2008-05-01,Audi,Audi A4,289,2.8
2008-05-01,Skoda,Skoda Octavia,268,2.6
2008-05-01,Volkswagen,Volkswagen Tiguan,218,2.1
2008-05-01,Peugeot,Peugeot 207,207,2.0
2008-05-01,Mitsubishi,Mitsubishi Outlander,205,2.0
2008-05-01,Honda,Honda CR-V,191,1.9
2008-05-01,Toyota,Toyota Yaris,191,1.9
2008-05-01,Audi,Audi A3,178,1.7
2008-05-01,BMW,BMW 3-serie,174,1.7
2008-05-01,Toyota,Toyota Rav4,172,1.7
2008-05-01,Peugeot,Peugeot 308,172,1.7
2008-05-01,Nissan,Nissan X-Trail,118,1.2
2008-06-01,Ford,Ford Mondeo,455,4.7
2008-06-01,Volkswagen,Volkswagen Golf,358,3.7
2008-06-01,Audi,Audi A4,331,3.4
2008-06-01,Nissan,Nissan Qashqai,322,3.3
2008-06-01,Toyota,Toyota Auris,316,3.3
2008-06-01,Volvo,Volvo V70,311,3.2
2008-06-01,Volkswagen,Volkswagen Passat,300,3.1
2008-06-01,Toyota,Toyota Avensis,278,2.9
2008-06-01,Ford,Ford Focus,237,2.5
2008-06-01,Audi,Audi A3,224,2.3
2008-06-01,Skoda,Skoda Octavia,220,2.3
2008-06-01,BMW,BMW 3-serie,207,2.1
2008-06-01,Mazda,Mazda 6,189,2.0
2008-06-01,Volkswagen,Volkswagen Tiguan,182,1.9
2008-06-01,Mitsubishi,Mitsubishi Outlander,180,1.9
2008-06-01,Toyota,Toyota Yaris,144,1.5
2008-06-01,Peugeot,Peugeot 207,138,1.4
2008-06-01,Honda,Honda CR-V,136,1.4
2008-06-01,Nissan,Nissan X-Trail,125,1.3
2008-06-01,Toyota,Toyota Rav4,123,1.3
2008-07-01,Ford,Ford Mondeo,548,5.7
2008-07-01,Volkswagen,Volkswagen Golf,437,4.5
2008-07-01,Audi,Audi A4,384,4.0
2008-07-01,Toyota,Toyota Avensis,346,3.6
2008-07-01,Toyota,Toyota Auris,303,3.2
2008-07-01,Nissan,Nissan Qashqai,268,2.8
2008-07-01,Volvo,Volvo V70,267,2.8
2008-07-01,Mazda,Mazda 6,228,2.4
2008-07-01,Peugeot,Peugeot 308,220,2.3
2008-07-01,Ford,Ford Focus,210,2.2
2008-07-01,Volkswagen,Volkswagen Passat,205,2.1
2008-07-01,Volkswagen,Volkswagen Tiguan,199,2.1
2008-07-01,Mitsubishi,Mitsubishi Outlander,194,2.0
2008-07-01,Peugeot,Peugeot 207,185,1.9
2008-07-01,Toyota,Toyota Rav4,181,1.9
2008-07-01,Skoda,Skoda Octavia,167,1.7
2008-07-01,Toyota,Toyota Yaris,164,1.7
2008-07-01,Honda,Honda CR-V,145,1.5
2008-07-01,BMW,BMW 3-serie,140,1.5
2008-07-01,Audi,Audi A3,120,1.2
2008-08-01,Volkswagen,Volkswagen Golf,418,5.3
2008-08-01,Audi,Audi A4,363,4.6
2008-08-01,Volkswagen,Volkswagen Tiguan,354,4.5
2008-08-01,Ford,Ford Mondeo,253,3.2
2008-08-01,Toyota,Toyota Auris,251,3.2
2008-08-01,Volkswagen,Volkswagen Passat,245,3.1
2008-08-01,Toyota,Toyota Avensis,221,2.8
2008-08-01,Ford,Ford Focus,213,2.7
2008-08-01,Mazda,Mazda 6,195,2.5
2008-08-01,Nissan,Nissan Qashqai,193,2.5
2008-08-01,Peugeot,Peugeot 308,186,2.4
2008-08-01,Peugeot,Peugeot 207,164,2.1
2008-08-01,Toyota,Toyota Yaris,141,1.8
2008-08-01,Skoda,Skoda Octavia,139,1.8
2008-08-01,Mitsubishi,Mitsubishi Outlander,135,1.7
2008-08-01,Audi,Audi A3,128,1.6
2008-08-01,Honda,Honda CR-V,121,1.5
2008-08-01,Volvo,Volvo V70,120,1.5
2008-08-01,Toyota,Toyota Rav4,98,1.3
2008-08-01,BMW,BMW 3-serie,86,1.1
2008-09-01,Volkswagen,Volkswagen Golf,401,4.7
2008-09-01,Ford,Ford Mondeo,327,3.9
2008-09-01,Volkswagen,Volkswagen Passat,326,3.9
2008-09-01,Audi,Audi A4,299,3.5
2008-09-01,Toyota,Toyota Auris,293,3.5
2008-09-01,Toyota,Toyota Avensis,255,3.0
2008-09-01,Ford,Ford Focus,251,3.0
2008-09-01,Volvo,Volvo V70,233,2.8
2008-09-01,Volkswagen,Volkswagen Tiguan,225,2.7
2008-09-01,BMW,BMW 3-serie,219,2.6
2008-09-01,Toyota,Toyota Rav4,216,2.6
2008-09-01,Nissan,Nissan Qashqai,209,2.5
2008-09-01,Mazda,Mazda 6,202,2.4
2008-09-01,Mitsubishi,Mitsubishi Outlander,182,2.2
2008-09-01,Toyota,Toyota Yaris,176,2.1
2008-09-01,Skoda,Skoda Octavia,152,1.8
2008-09-01,Peugeot,Peugeot 308,143,1.7
2008-09-01,Audi,Audi A3,136,1.6
2008-09-01,Honda,Honda CR-V,122,1.4
2008-09-01,Peugeot,Peugeot 207,100,1.2
2008-10-01,Volkswagen,Volkswagen Golf,459,5.5
2008-10-01,Audi,Audi A4,337,4.0
2008-10-01,Volkswagen,Volkswagen Passat,334,4.0
2008-10-01,Toyota,Toyota Auris,332,4.0
2008-10-01,Ford,Ford Mondeo,322,3.8
2008-10-01,Volkswagen,Volkswagen Tiguan,264,3.1
2008-10-01,Nissan,Nissan Qashqai,246,2.9
2008-10-01,Toyota,Toyota Avensis,229,2.7
2008-10-01,Toyota,Toyota Rav4,224,2.7
2008-10-01,Peugeot,Peugeot 308,215,2.6
2008-10-01,BMW,BMW 3-serie,196,2.3
2008-10-01,Toyota,Toyota Yaris,194,2.3
2008-10-01,Ford,Ford Focus,192,2.3
2008-10-01,Volvo,Volvo V70,185,2.2
2008-10-01,Mazda,Mazda 6,153,1.8
2008-10-01,Mitsubishi,Mitsubishi Outlander,125,1.5
2008-10-01,Audi,Audi A3,120,1.4
2008-10-01,Skoda,Skoda Octavia,117,1.4
2008-10-01,Peugeot,Peugeot 207,113,1.3
2008-10-01,Honda,Honda CR-V,91,1.1
2008-11-01,Volkswagen,Volkswagen Passat,342,4.9
2008-11-01,Volkswagen,Volkswagen Golf,307,4.4
2008-11-01,Volkswagen,Volkswagen Tiguan,293,4.2
2008-11-01,Ford,Ford Mondeo,271,3.9
2008-11-01,Audi,Audi A4,248,3.6
2008-11-01,Toyota,Toyota Auris,209,3.0
2008-11-01,Nissan,Nissan Qashqai,204,2.9
2008-11-01,Ford,Ford Focus,174,2.5
2008-11-01,Toyota,Toyota Avensis,166,2.4
2008-11-01,Toyota,Toyota Yaris,158,2.3
2008-11-01,Peugeot,Peugeot 308,145,2.1
2008-11-01,Volvo,Volvo V70,139,2.0
2008-11-01,BMW,BMW 3-serie,124,1.8
2008-11-01,Skoda,Skoda Octavia,117,1.7
2008-11-01,Peugeot,Peugeot 207,115,1.7
2008-11-01,Mitsubishi,Mitsubishi Outlander,110,1.6
2008-11-01,Mazda,Mazda 6,109,1.6
2008-11-01,Honda,Honda CR-V,102,1.5
2008-11-01,Audi,Audi A3,93,1.3
2008-11-01,Toyota,Toyota Rav4,77,1.1
2008-12-01,Toyota,Toyota Avensis,450,5.8
2008-12-01,Ford,Ford Mondeo,349,4.5
2008-12-01,Volkswagen,Volkswagen Passat,348,4.5
2008-12-01,Volkswagen,Volkswagen Golf,319,4.1
2008-12-01,Volkswagen,Volkswagen Tiguan,312,4.0
2008-12-01,Audi,Audi A4,311,4.0
2008-12-01,Volvo,Volvo V70,201,2.6
2008-12-01,Nissan,Nissan Qashqai,200,2.6
2008-12-01,Honda,Honda CR-V,198,2.5
2008-12-01,BMW,BMW 3-serie,189,2.4
2008-12-01,Ford,Ford Focus,188,2.4
2008-12-01,Skoda,Skoda Octavia,181,2.3
2008-12-01,Toyota,Toyota Auris,158,2.0
2008-12-01,Mitsubishi,Mitsubishi Outlander,149,1.9
2008-12-01,Volvo,Volvo V50,142,1.8
2008-12-01,Toyota,Toyota Rav4,104,1.3
2008-12-01,Mazda,Mazda 6,87,1.1
2008-12-01,Audi,Audi A3,77,1.0
2008-12-01,Peugeot,Peugeot 308,73,0.9
2008-12-01,Toyota,Toyota Yaris,53,0.7
2009-01-01,Toyota,Toyota Avensis,400,7.5
2009-01-01,Volkswagen,Volkswagen Golf,318,5.9
2009-01-01,Ford,Ford Focus,177,3.3
2009-01-01,Volkswagen,Volkswagen Passat,161,3.0
2009-01-01,Ford,Ford Mondeo,154,2.9
2009-01-01,Volvo,Volvo XC60,136,2.5
2009-01-01,Toyota,Toyota Prius,135,2.5
2009-01-01,Nissan,Nissan Qashqai,130,2.4
2009-01-01,Peugeot,Peugeot 308,126,2.4
2009-01-01,Volvo,Volvo V50,126,2.4
2009-01-01,Toyota,Toyota Auris,125,2.3
2009-01-01,Opel,Opel Insignia,117,2.2
2009-01-01,Mazda,Mazda 6,97,1.8
2009-01-01,Skoda,Skoda Octavia,92,1.7
2009-01-01,Ford,Ford Fiesta,91,1.7
2009-01-01,Audi,Audi A4,89,1.7
2009-01-01,Toyota,Toyota Yaris,88,1.6
2009-01-01,Peugeot,Peugeot 207,83,1.6
2009-01-01,Subaru,Subaru Impreza,83,1.6
2009-01-01,Volkswagen,Volkswagen Tiguan,80,1.5
2009-02-01,Volkswagen,Volkswagen Golf,339,5.4
2009-02-01,Volkswagen,Volkswagen Passat,245,3.9
2009-02-01,Toyota,Toyota Avensis,222,3.5
2009-02-01,Skoda,Skoda Octavia,197,3.1
2009-02-01,Toyota,Toyota Yaris,177,2.8
2009-02-01,Ford,Ford Mondeo,173,2.8
2009-02-01,Toyota,Toyota Auris,169,2.7
2009-02-01,Volkswagen,Volkswagen Tiguan,143,2.3
2009-02-01,Ford,Ford Focus,142,2.3
2009-02-01,Nissan,Nissan Qashqai,142,2.3
2009-02-01,Audi,Audi A4,138,2.2
2009-02-01,BMW,BMW 3-serie,135,2.1
2009-02-01,Honda,Honda CR-V,131,2.1
2009-02-01,Mazda,Mazda 6,127,2.0
2009-02-01,Volvo,Volvo XC60,103,1.6
2009-02-01,Peugeot,Peugeot 207,103,1.6
2009-02-01,Peugeot,Peugeot 308,101,1.6
2009-02-01,Volvo,Volvo V50,96,1.5
2009-02-01,Opel,Opel Insignia,86,1.4
2009-02-01,Toyota,Toyota Prius,73,1.2
