bounce_time,age,county,location
189.6619891,55,london,c
189.8144079,48,london,c
191.637876,20,london,c
183.4594161,21,london,c
196.1379368,25,london,c
192.2720432,43,london,c
186.1325782,42,london,c
193.6163673,15,london,c
197.504274,38,london,c
188.9933373,16,london,c
184.0380145,45,london,c
191.7543213,26,london,c
190.4149845,25,london,c
184.1359253,7,london,c
198.5599755,31,london,c
187.8678848,20,london,c
189.6532957,26,london,c
196.0603978,14,london,c
186.4692712,25,london,c
210.7849136,84,cheshire,a
216.177762,98,cheshire,a
202.6896246,83,cheshire,a
207.9572995,67,cheshire,a
213.5493376,60,cheshire,a
214.9188549,93,cheshire,a
205.9777832,73,cheshire,a
210.4354024,33,cheshire,a
214.2783122,75,cheshire,a
208.3020933,77,cheshire,a
218.5710411,65,cheshire,a
213.0088214,73,cheshire,a
201.3747601,65,cheshire,a
208.8451337,55,cheshire,a
212.5688928,48,cheshire,a
212.9179121,75,cheshire,a
207.9578875,77,cheshire,a
209.1888438,83,cheshire,a
209.1163802,78,cheshire,a
205.4238249,62,cheshire,a
216.7468,69,cheshire,b
220.1734949,85,cheshire,b
215.9364267,62,cheshire,b
222.5172536,53,cheshire,b
217.7349199,64,cheshire,b
220.2700929,72,cheshire,b
209.490674,100,cheshire,b
232.0245441,43,cheshire,b
222.4751674,57,cheshire,b
212.103999,64,cheshire,b
215.7331782,98,cheshire,b
218.0322671,63,cheshire,b
230.6504174,94,cheshire,b
215.8086151,65,cheshire,b
218.4740889,53,cheshire,b
217.2142413,80,cheshire,b
219.5686339,78,cheshire,b
219.1786122,80,cheshire,b
214.5941259,66,cheshire,b
229.194926,79,cheshire,b
224.1063165,63,cheshire,c
235.2356907,78,cheshire,c
230.1745264,41,cheshire,c
228.7563058,73,cheshire,c
235.7619325,77,cheshire,c
226.0114365,63,cheshire,c
227.3245942,85,cheshire,c
231.6467391,37,cheshire,c
229.4615062,46,cheshire,c
227.8427592,70,cheshire,c
224.7289876,45,cheshire,c
226.2744909,64,cheshire,c
231.5607752,57,cheshire,c
233.6532496,53,cheshire,c
227.8715397,74,cheshire,c
234.9150294,67,cheshire,c
236.3624529,68,cheshire,c
218.379971,69,cheshire,c
232.5136804,89,cheshire,c
229.1559291,55,cheshire,c
187.2742058,68,essex,a
193.4146872,87,essex,a
183.0901561,72,essex,a
191.4369676,41,essex,a
187.5830611,72,essex,a
194.1433106,54,essex,a
190.3476995,69,essex,a
195.5906784,95,essex,a
185.5103318,54,essex,a
195.131278,83,essex,a
193.1420621,58,essex,a
196.8125429,53,essex,a
187.5895292,84,essex,a
187.5918829,82,essex,a
185.0610719,67,essex,a
195.2989693,58,essex,a
187.7512061,70,essex,a
191.5504562,70,essex,a
193.4236447,100,essex,a
187.2260442,55,essex,a
201.4693094,80,essex,b
200.0089144,55,essex,b
201.1818922,25,essex,b
203.0729543,60,essex,b
196.7923379,65,essex,b
211.515051,67,essex,b
197.4586825,59,essex,b
197.3639815,51,essex,b
200.1878132,71,essex,b
200.1565211,78,essex,b
200.004242,43,essex,b
199.2015347,41,essex,b
196.3897333,57,essex,b
203.1731159,75,essex,b
193.5597646,77,essex,b
200.1274406,71,essex,b
204.1876621,49,essex,b
200.6415586,41,essex,b
199.9993253,13,essex,b
193.3399833,76,essex,b
212.2828061,77,essex,c
209.3062303,74,essex,c
216.7270906,94,essex,c
222.4187767,62,essex,c
206.2145502,59,essex,c
209.9636539,67,essex,c
203.2931779,51,essex,c
212.7266793,57,essex,c
209.9372328,70,essex,c
215.9616383,77,essex,c
214.1953811,74,essex,c
211.6900388,58,essex,c
222.9063425,64,essex,c
222.4036862,54,essex,c
205.6941259,87,essex,c
211.1533123,82,essex,c
213.5771741,59,essex,c
207.625105,69,essex,c
198.2527734,75,essex,c
208.0559773,66,essex,c

