"articles","links","content","class"
"Diving","https://en.wikipedia.org/wiki/Diving","diving is the sport of jumping or falling into water from a platform or springboard usually while performing acrobatics diving is an internationally recognized sport that is part of the olympic games in addition unstructured and noncompetitive diving is a recreational pastime diving is one of the most popular olympic sports with spectators competitors possess many of the same characteristics as gymnasts and dancers including strength flexibility kinaesthetic judgment and air awareness some professional divers were originally gymnasts or dancers as both the sports have similar characteristics to diving although diving has been a popular pastime across the world since ancient times the first modern diving competitions were held in england in the 1880s the exact origins of the sport are unclear though it likely derives from the act of diving at the start of swimming races the 1904 book swimming by ralph thomas notes english reports of plunging records dating back to at least 1865 the 1877 edition to british rural sports by john henry walsh makes note of a mr young plunging 56 feet in 1870 and also states that 25 years prior a swimmer named drake could cover 53 feet","sport"
"Golf","https://en.wikipedia.org/wiki/Golf","golf is a club and ball sport in which players use various clubs to hit balls into a series of holes on a course in as few strokes as possible golf is one of the few ball games that do not require a standardized playing area the game is played on a course with an arranged progression of either nine or 18 holes each hole on the course must contain a tee box to start from and a putting green containing the actual hole or cup there are other standard forms of terrain in between such as the fairway rough and hazards but each hole on a course is unique in its specific layout and arrangement golf is played for the lowest number of strokes by an individual known as stroke play or the lowest score on the most individual holes in a complete round by an individual or team known as match play stroke play is the most commonly seen format at all levels","sport"
"Handball","https://en.wikipedia.org/wiki/Handball","handball also known as team handball olympic handball european team handball european handball or borden ball is a team sport in which two teams of seven players each six outfield players and a goalkeeper pass a ball using their hands with the aim of throwing it into the goal of the other team a standard match consists of two periods of 30 minutes and the team that scores more goals wins modern handball is played on a court 40 by 20 meters 131 by 66ft with a goal in the center of each end the goals are surrounded by a 6 metre 20ft zone where only the defending goalkeeper is allowed goals must be scored by throwing the ball from outside the zone or while jumping into it the sport is usually played indoors but outdoor variants exist in the forms of field handball and czech handball which were more common in the past and beach handball the game is fast and highscoring professional teams now typically score between 20 and 35 goals each though lower scores were not uncommon until a few decades ago body contact is permitted by the defenders trying to stop the attackers from approaching the goal the game was codified at the end of the 19th century in northern europe and germany the modern set of rules was published in 1917 in germany and had several revisions since the first international games were played under these rules for men in 1925 and for women in 1930 mens handball was first played at the 1936 summer olympics in berlin as outdoors and the next time at the 1972 summer olympics in munich as indoors and has been an olympic sport since womens team handball was added at the 1976 summer olympics the international handball federation was formed in 1946 and as of 2016 the sport is most popular in continental europe whose countries have won all medals but one in mens world championships since 1938 and all womens titles until 2013 when brazil broke the series the game also enjoys popularity in the far east north africa and parts of south america","sport"
"Indira_Gandhi","https://en.wikipedia.org/wiki/Indira_Gandhi","indira priyadarshini gandhi hindustani listen née nehru 19 november 1917 31 october 1984 was an indian politician and central figure of the indian national congress party and to date the only female prime minister of india indira gandhi was the only child of indias first prime minister jawaharlal nehru she served as prime minister from 1966 to 1977 and then again from 1980 until her assassination in 1984 making her the second longestserving prime minister after her father gandhi served as her fathers personal assistant and hostess during his tenure as prime minister between 1947 and 1964 she was elected congress president in 1959 upon her fathers death in 1964 gandhi refused to enter the congress party leadership contest and instead chose to become a cabinet minister in the government led by lal bahadur shastri in the congress partys parliamentary leadership election held in early 1966 upon the death of shastri she defeated her rival morarji desai to become leader and thus succeeded shastri as prime minister of india as prime minister of india gandhi was known for her political ruthlessness and unprecedented centralisation of power she went to war with pakistan in support of the independence movement and war of independence in east pakistan which resulted in an indian victory and the creation of bangladesh as well as increasing indias influence to the point where it became the regional hegemon of south asia gandhi also presided over a controversial state of emergency from 1975 to 1977 during which she ruled by decree she was assassinated in 1984 by her sikh bodyguards a few months after she ordered the storming of the harmandir sahib in amritsar to counter the punjab insurgency","person"
"Atal_Bihari_Vajpayee","https://en.wikipedia.org/wiki/Atal_Bihari_Vajpayee","atal bihari vajpayee born 25 december 1924 is an indian statesman who was the 10th prime minister of india first for 13 days in 1996 and then from 1998 to 2004 a leader of the bharatiya janata party bjp he is the first prime minister from outside the indian national congress party to serve a full five year term a parliamentarian for over four decades vajpayee was elected to the lok sabha the lower house of indias parliament ten times and twice to the rajya sabha upper house he also served as the member of parliament for lucknow uttar pradesh until 2009 when he retired from active politics due to health concerns vajpayee was one amongst the founder members of erstwhile bharatiya jana sangh which he had also headed he was also the minister of external affairs in the cabinet of morarji desai when janata government collapsed vajpayee restarted the jana sangh as the bharatiya janata party in 1980 on 25 december 2014 the office of president of india announced the bharat ratna award indias highest civilian honour to vajpayee in a special gesture the president of india conferred bharat ratna to atal bihari vajpayee in his residence on 27 march 2015 his birthday 25 december was declared good governance day","person"
"Abraham_Lincoln","https://en.wikipedia.org/wiki/Abraham_Lincoln","president of the united states first term second term assassination and legacy","person"
"George_Washington","https://en.wikipedia.org/wiki/George_Washington","colonel great britain lieutenant general united states french and indian war battle of jumonville glen battle of fort necessity braddock expedition battle of the monongahela forbes expedition american revolutionary war boston campaign new york and new jersey campaign philadelphia campaign yorktown campaign northwest indian war president of the united states first term second term","person"
"Ashoka","https://en.wikipedia.org/wiki/Ashoka","ashoka iast aśoka english pronunciation əˈʃoʊkə died 232 bce was an indian emperor of the maurya dynasty who ruled almost all of the indian subcontinent from c 268 to 232 bce one of indias greatest emperors ashoka reigned over a realm that stretched from the hindu kush mountains in afghanistan to the modern state of bangladesh in the east it covered the entire indian subcontinent except parts of presentday tamil nadu and kerala the empires capital was pataliputra in magadha presentday bihar with provincial capitals at taxila and ujjain in about 260 bce ashoka waged a bitterly destructive war against the state of kalinga modern odisha he conquered kalinga which none of his ancestors had done he embraced buddhism after witnessing the mass deaths of the kalinga war which he himself had waged out of a desire for conquest ashoka reflected on the war in kalinga which reportedly had resulted in more than 100000 deaths and 150000 deportations ending at around 200000 deaths ashoka converted gradually to buddhism beginning about 263 bce he was later dedicated to the propagation of buddhism across asia and established monuments marking several significant sites in the life of gautama buddha ashoka regarded buddhism as a doctrine that could serve as a cultural foundation for political unity ashoka is now remembered as a philanthropic administrator in the kalinga edicts he addresses his people as his children and mentions that as a father he desires their good ashokas name aśoka means painless without sorrow in sanskrit the a privativum and śoka pain distress in his edicts he is referred to as devānāmpriya pali devānaṃpiya or the beloved of the gods and priyadarśin pali piyadasī or he who regards everyone with affection his fondness for his names connection to the saraca asoca tree or the ashoka tree is also referenced in the ashokavadana h g wells wrote of ashoka in his book the outline of history amidst the tens of thousands of names of monarchs that crowd the columns of history their majesties and graciousnesses and serenities and royal highnesses and the like the name of ashoka shines and shines almost alone a star along with the edicts of ashoka his legend is related in the 2ndcentury ce ashokavadana narrative of ashoka a part of divyavadana and in the sri lankan text mahavamsa great chronicle the emblem of the modern republic of india is an adaptation of the lion capital of ashoka","person"
"Tutankhamun","https://en.wikipedia.org/wiki/Tutankhamun","tutankhamun ˌtuːtənkɑːˈmuːn alternatively spelled with tutenkh amen amon was an egyptian pharaoh of the 18th dynasty ruled c 13321323 bc in the conventional chronology during the period of egyptian history known as the new kingdom or sometimes the new empire period he has since his discovery been colloquially referred to as king tut his original name tutankhaten means living image of aten while tutankhamun means living image of amun in hieroglyphs the name tutankhamun was typically written amentutankh because of a scribal custom that placed a divine name at the beginning of a phrase to show appropriate reverence he is possibly also the nibhurrereya of the amarna letters and likely the 18th dynasty king rathotis who according to manetho an ancient historian had reigned for nine yearsa figure that conforms with flavius josephuss version of manethos epitome the 1922 discovery by howard carter and george herbert of tutankhamuns nearly intact tomb received worldwide press coverage it sparked a renewed public interest in ancient egypt for which tutankhamuns mask now in the egyptian museum remains the popular symbol exhibits of artifacts from his tomb have toured the world in february 2010 the results of dna tests confirmed that he was the son of akhenaten mummy kv55 his mother was akhenatens sister and wife mummy kv35yl whose name is unknown but whose remains are positively identified as the younger lady mummy found in kv35 the mysterious deaths of a few of those who excavated tutankhamuns tomb has been popularly attributed to the curse of the pharaohs tutankhamun was the son of akhenaten formerly amenhotep iv and one of akhenatens sisters or possibly one of his cousins he ascended to the throne in 1333 bc at the age of nine or ten taking the throne name nebkheperure his wet nurse was a woman called maia known from her tomb at saqqara his teacher was most likely sennedjem","person"
"Raja_Raja_Chola_I","https://en.wikipedia.org/wiki/Raja_Raja_Chola_I","raja raja chola i or rajaraja chola i was a renowned king who ruled over the chola kingdom of southern india between 985 and 1014 ce during his reign the cholas expanded beyond south india with their domains stretching from sri lanka in the south to kalinga in the north raja raja chola also launched several naval campaigns that resulted in the capture of the malabar coast as well as the maldives and sri lanka raja raja built the brihadeeswarar temple in thanjavur one of the largest hindu temples during his reign the texts of the tamil poets appar sambandar and sundarar were collected and edited into one compilation called thirumurai he initiated a massive project of land survey and assessment in 1000 which led to the reorganization of the country into individual units known as valanadus raja raja chola died in 1014 and was succeeded by his son rajendra chola raja raja was born in 947 in aipassi month on the day of sadhayam star he was the third child of parantaka sundara chola and vanavan maha devi of the velir malayaman dynasty and was named arulmozhi varman he had an elder brother aditya karikalan and an elder sister kundavai aditya karikalan the crown prince was assassinated in suspicious circumstances in 969 after the death of aditya sundara chola announced that uttama chola will succeed him to the throne arulmozhivarman ascended the throne after the death of uttama chola in 985 the thiruvalangadu copperplate inscriptions state that raja raja was elected through a democratic process followed by cholas","person"
"Rajendra_Chola_I","https://en.wikipedia.org/wiki/Rajendra_Chola_I","rajendra chola i or rajendra i was a chola emperor who is considered one of the greatest rulers and military generals of india he succeeded his father rajaraja chola i in 1014 ce during his reign he extended the influence of the chola empire to the banks of the river ganga in north india and across the indian ocean to the west making the chola empire as one of the most powerful empires of india rajendras conquests included the andaman and nicobar islands sri lanka maldives and he successfully invaded and raided the territories of srivijaya in malaysia southern thailand and indonesia in south east asia the cholas exacted tribute from thailand and the khmer kingdom of cambodia he defeated mahipala the pala king of bengal and bihar and to commemorate his victory he built a new capital city called gangaikonda cholapuram rajendra chola i was the son of rajaraja chola and thiripuvana madeviyar princess of kodumbalur he was born on thiruvathirai in the tamil month of aadi he was originally called maduranthagan he spent most of his childhood in palayarai and was brought up by his aunt kundavai and greatgrandmother sembian madevi he was made the coregent in 1012 ce rajendra formally ascended the chola throne in 1014 ce in 1018 ce he installed his eldest son rajadhiraja chola i as the crown prince rajendra led chola campaigns from 1002 ce these include the conquest of the rashtrakutas and the campaigns against the western chalukyas he conquered the chalukyan territories of yedatore a large part of the raichur district between the krishna and the tungabhadra banavasi in the northwest of mysore and capital manyakheta rajendra erected a siva temple at bhatkal in 1004 ce he captured talakad and overthrew the western ganga dynasty which had ruled over mysore for almost 1000 years he also conquered kollipakkai located to the north of hyderabad in presentday telangana an excerpt from an inscription in tamil from kolar states","person"
"Charlemagne","https://en.wikipedia.org/wiki/Charlemagne","charlemagne ˈʃɑːrlᵻmeɪn 2 april 742747748 28 january 814 also known as charles the great latin carolus or karolus magnus or charles i frankish karl was king of the franks he united a large part of europe during the early middle ages and laid the foundations for modern france germany and the low countries he took the frankish throne in 768 and became king of italy in 774 from 800 he became the first holy roman emperorthe first recognised emperor in western europe since the fall of the western roman empire three centuries earlier charlemagne already ruled his kingdom without the help of the pope but recognition from the pontiff granted him divine legitimacy in the eyes of his contemporaries the expanded frankish state which charlemagne founded was called the carolingian empire charlemagne was the oldest son of pepin the short and bertrada of laon he became king in 768 following the death of his father initially as coruler with his brother carloman i carlomans sudden death in 771 under unexplained circumstances left charlemagne as the undisputed ruler of the frankish kingdom charlemagne continued his fathers policy towards the papacy and became its protector removing the lombards from power in northern italy and leading an incursion into muslim spain he also campaigned against the saxons to his east christianising them upon penalty of death leading to events such as the massacre of verden charlemagne reached the height of his power in 800 when he was crowned emperor of the romans by pope leo iii on christmas day at old st peters basilica charlemagne has been called the father of europe pater europae as he united most of western europe for the first time since the roman empire his rule spurred the carolingian renaissance a period of energetic cultural and intellectual activity within the western church all holy roman emperors up to the last emperor francis ii as well as both the french and german monarchies considered their kingdoms to be descendants of charlemagnes empire however the eastern orthodox church views charlemagne more controversially labelling as heterodox his support of the filioque and recognition by the bishop of rome as legitimate roman emperor rather than irene of athens of the eastern roman empire these were but two of the machinations that led to the eventual split of rome and constantinople in the great schism of 1054","person"
"Genghis_Khan","https://en.wikipedia.org/wiki/Genghis_Khan","genghis khan ˈdʒɛŋɡɪs ˈkɑːn often pronounced ˈɡɛŋɡɪs ˈkɑːn mongolian чингис хаан çingis hán mongolian pronunciationtʃʰiŋɡɪs xaːŋ listen c 1162 august 18 1227 born temüjin was the founder and great khan emperor of the mongol empire which became the largest contiguous empire in history after his death he came to power by uniting many of the nomadic tribes of northeast asia after founding the empire and being proclaimed genghis khan he started the mongol invasions that conquered most of eurasia campaigns initiated in his lifetime include those against the qara khitai caucasus and khwarazmian western xia and jin dynasties these campaigns were often accompanied by wholesale massacres of the civilian populations especially in the khwarazmian and western xia controlled lands by the end of his life the mongol empire occupied a substantial portion of central asia and china before genghis khan died he assigned ögedei khan as his successor and split his empire into khanates among his sons and grandsons he died in 1227 after defeating the western xia he was buried in an unmarked grave somewhere in mongolia his descendants extended the mongol empire across most of eurasia by conquering or creating vassal states in all of modernday china korea the caucasus central asia and substantial portions of modern eastern europe russia and southwest asia many of these invasions repeated the earlier largescale slaughters of local populations as a result genghis khan and his empire have a fearsome reputation in local histories beyond his military accomplishments genghis khan also advanced the mongol empire in other ways he decreed the adoption of the uyghur script as the mongol empires writing system he also practiced meritocracy and encouraged religious tolerance in the mongol empire while unifying the nomadic tribes of northeast asia present day mongolians regard him as the founding father of mongolia although known for the brutality of his campaigns and considered by many to have been a genocidal ruler genghis khan is also credited with bringing the silk road under one cohesive political environment this brought communication and trade from northeast asia into muslim southwest asia and christian europe thus expanding the horizons of all three cultural areas","person"
