PID,county,state,area,poptotal,popdensity,popwhite,popblack,popamerindian,popasian,popother,percwhite,percblack,percamerindan,percasian,percother,popadults,perchsd,percollege,percprof,poppovertyknown,percpovertyknown,percbelowpoverty,percchildbelowpovert,percadultpoverty,percelderlypoverty,inmetro,category,dot_size
595,HARDIN,IL,0.009000000000000001,5189,576.5555559999999,5062,85,16,13,13,97.5525149,1.63808056,0.30834458,0.25052997,0.25052997,3492,59.7365407,14.3184422,2.60595647,4954,95.47118909999999,26.746063800000005,35.1417004,25.174283499999998,21.1961302,0,LHR,162.55948640564563
596,HENDERSON,IL,0.023,8096,352.0,8037,8,29,10,12,99.27124509999999,0.09881423,0.35820158,0.12351779,0.14822134,5467,73.349186,13.773550400000001,2.17669654,8030,99.18478259999999,12.9389788,15.608074800000002,10.282352900000001,16.2950257,0,AAR,133.97775405002156
597,HENRY,IL,0.051,51159,1003.11765,49969,657,63,128,342,97.6739186,1.28423151,0.12314549,0.25020036,0.66850408,33423,77.19534449999999,18.723633399999997,4.22164378,50472,98.6571278,10.479077499999999,15.1772634,8.63526345,9.01154039,1,AAU,216.85288186170175
598,IROQUOIS,IL,0.067,30787,459.507463,30154,164,43,69,357,97.94393740000001,0.53269237,0.13966934,0.22412057,1.15958034,20578,73.4376519,15.1666829,3.22674701,30189,98.05762170000001,9.19871476,11.6762716,7.959263099999999,9.10027978,0,AAR,147.66144813638903
599,JACKSON,IL,0.036000000000000004,61067,1696.3055600000002,51991,6342,109,2178,447,85.1376357,10.3853145,0.17849248,3.56657442,0.7319829000000001,32172,78.767251,36.6436653,14.0898918,54230,88.80410040000001,28.37175,26.392210499999997,32.4584833,13.815300800000001,0,AHR,305.0827687934436
600,JASPER,IL,0.028999999999999998,10609,365.827586,10574,1,11,17,6,99.6700914,0.00942596,0.10368555,0.16024129999999998,0.05655575,6835,69.7000732,15.0256035,2.76517922,10511,99.076256,13.1005613,17.4379611,10.0076104,14.5622525,0,AAR,135.737747742524
601,JEFFERSON,IL,0.033,37020,1121.81818,34856,1924,56,129,55,94.1545111,5.19719071,0.15126958,0.34846029,0.14856834,24023,69.9038422,18.3698955,3.67980685,36495,98.58184759999999,16.0569941,21.113499100000002,13.6358867,15.631523999999999,0,AAR,231.96124452867014
602,JERSEY,IL,0.023,20539,893.0,20346,96,43,32,22,99.0603243,0.46740348,0.20935781,0.15580116,0.10711330000000001,12847,71.9156223,14.758309299999999,3.13691913,19611,95.48176640000001,9.74453113,11.8255728,8.8343212,9.29971989,1,AAU,202.8369596730284
603,JO DAVIESS,IL,0.035,21821,623.457143,21732,14,20,29,26,99.592136,0.06415838,0.09165483,0.13289949999999998,0.11915128,14409,74.09258100000001,16.413352800000002,3.4284128,21610,99.03304159999999,8.28782971,9.29164459,6.28398253,11.8393235,0,AAR,168.52918330634498
604,JOHNSON,IL,0.02,11347,567.35,10230,1046,26,14,31,90.15598840000001,9.21829558,0.22913545,0.12338063,0.27319996,7922,66.1701591,14.3524363,3.43347639,9180,80.9024412,15.555555599999998,18.5350603,12.266500599999999,19.8775318,0,LAR,161.38779089089869
607,KENDALL,IL,0.018000000000000002,39413,2189.6111100000003,38019,210,73,224,887,96.4630959,0.53281912,0.18521808,0.5683404000000001,2.25052648,24175,83.67735259999999,24.889348499999997,5.25336091,39199,99.4570319,3.38529044,4.42017237,2.35504872,5.87851078,1,HLU,367.8713608496737
608,KNOX,IL,0.042,56393,1342.69048,52413,2860,85,320,715,92.9423865,5.07155143,0.15072793,0.56744631,1.26788786,37723,76.56602070000001,19.3436365,4.21228428,53106,94.1712624,13.8684894,19.6733764,12.8831741,9.73871734,0,AAR,260.0741671204011
611,LAWRENCE,IL,0.022000000000000002,15972,726.0,15759,151,31,21,10,98.6664162,0.94540446,0.19408966,0.13148009,0.06260957,10950,69.2328767,14.5388128,1.94520548,15347,96.08690209999999,19.8475272,31.112873399999998,16.7597057,14.883215599999998,0,AHR,181.58097568219262
612,LEE,IL,0.043,34392,799.813953,32530,1222,84,181,375,94.5859502,3.5531519,0.24424285,0.52628518,1.09036985,22661,76.2808349,18.476678,4.04218702,32162,93.51593390000001,8.8240781,10.5378832,7.71542507,9.5268748,0,AAR,190.976114623919
613,LIVINGSTON,IL,0.062,39301,633.8870969999999,36551,2115,62,131,442,93.00272259999998,5.38154245,0.1577568,0.33332485,1.12465332,26084,74.1450698,14.5031437,2.94816746,35431,90.1529223,9.32516723,13.701158900000001,8.02005013,6.77040677,0,AAR,169.85672184077103
614,LOGAN,IL,0.036000000000000004,30798,855.5,29223,1291,37,143,104,94.8860316,4.19183064,0.12013767,0.46431586,0.33768427,20324,75.9004133,17.949222600000002,3.79846487,28104,91.2526787,10.781383400000001,12.825845800000002,9.96479107,10.3613632,0,AAR,198.06390937568503
615,MCDONOUGH,IL,0.034,35244,1036.58824,32992,1254,65,802,131,93.6102599,3.55805243,0.18442856,2.27556464,0.37169447,18784,80.302385,27.9280239,10.359880699999998,28821,81.7756214,19.0520801,16.0093168,22.403381600000003,12.8843841,0,HHR,221.1130634497486
619,MACOUPIN,IL,0.05,47679,953.58,47077,379,94,88,41,98.7373896,0.79489922,0.19715179,0.18456763,0.08599174,31217,72.81929720000001,14.0083929,3.2546369,46387,97.29021159999999,13.2127536,18.5988943,10.8171077,12.460907,0,AAR,210.54766332671
621,MARION,IL,0.035,41561,1187.45714,39647,1519,106,232,57,95.39472099999999,3.65486875,0.25504679999999996,0.55821563,0.13714781,27077,70.12593709999999,16.4493851,3.31277468,40800,98.1689565,16.3676471,22.349310100000004,13.928571400000001,14.7224835,0,AAR,240.31585939654502
622,MARSHALL,IL,0.023,12846,558.5217389999999,12752,17,30,28,19,99.2682547,0.13233691,0.23353573,0.21796668,0.14790596,8600,77.7790698,17.534883699999998,2.56976744,12563,97.7969796,9.38470111,11.4717933,7.50307503,11.330561300000001,0,AAR,160.26411798980334
623,MASON,IL,0.033,16269,493.0,16180,8,27,38,16,99.4529473,0.04917327,0.1659598,0.23357305,0.09834655,10729,72.5789915,13.505452499999999,2.8986857999999995,16025,98.50021509999999,15.5070203,24.1131352,12.8400955,11.603800699999999,0,AAR,151.92442316803258
624,MASSAC,IL,0.013999999999999999,14752,1053.7142900000001,13804,870,37,31,10,93.5737527,5.89750542,0.25081345,0.210141,0.06778742,10068,65.3059197,14.034564999999999,2.93007549,14348,97.2613883,16.7410092,22.9808251,14.9682372,14.3283582,0,LAR,223.29289006427712
625,MENARD,IL,0.018000000000000002,11164,620.222222,11101,9,29,14,11,99.4356861,0.08061627,0.25976353,0.12540308,0.09853099,7390,77.3071719,18.511502,3.51826793,10964,98.20852740000001,9.55855527,12.4503311,7.89163722,10.1449275,1,AAU,168.11743822258677
626,MERCER,IL,0.033,17290,523.939394,17155,30,33,35,37,99.21920190000002,0.17351070000000002,0.19086177,0.20242915,0.21399653,11357,77.3531743,16.4744211,3.11702034,17006,98.35743199999999,10.131718199999998,11.466372699999999,9.01086957,11.433812300000001,0,AAR,155.8624307342012
627,MONROE,IL,0.023,22422,974.8695650000001,22262,13,53,57,37,99.2864151,0.05797877,0.23637499,0.25421461,0.16501649999999998,14613,75.8639568,19.9206186,3.31896257,22071,98.4345732,4.81174392,4.77462437,4.21197857,6.83692471,1,ALU,213.25742771480498
628,MONTGOMERY,IL,0.040999999999999995,30728,749.463415,29956,559,49,66,98,97.4876334,1.81918771,0.15946368,0.21478782,0.31892736,20386,72.1917002,11.723732,2.5262435,29003,94.3862275,14.0295831,17.795844600000002,12.291226400000001,13.4700076,0,AAR,184.56743061399106
629,MORGAN,IL,0.033,36397,1102.93939,34561,1510,48,130,148,94.9556282,4.14869357,0.131879,0.35717229,0.40662692,23605,75.9034103,20.7244228,5.65981784,33746,92.7164327,11.195400900000001,12.3290901,10.1418555,12.6183885,0,AAR,229.55832681605727
630,MOULTRIE,IL,0.021,13930,663.333333,13884,8,22,13,3,99.66977750000001,0.05743001,0.15793252,0.09332376,0.02153625,9282,70.2865762,15.7185951,2.99504417,13356,95.879397,11.343216499999999,15.2669633,9.10269336,11.856585,0,AAR,173.60467825398285
631,OGLE,IL,0.045,45957,1021.26667,44895,66,87,136,773,97.6891442,0.14361251,0.1893074,0.2959288,1.68200709,29575,77.602705,18.7793745,3.47252747,45229,98.4159105,7.24535143,8.54618474,6.26131745,8.28708375,1,ALU,219.16291346990153
633,PERRY,IL,0.026000000000000002,21412,823.538462,20901,399,26,63,23,97.6134878,1.86344106,0.12142724,0.29422754,0.1074164,13921,67.839954,13.5622441,2.20530134,21090,98.4961704,15.836889499999998,20.859671300000002,13.347589800000002,15.8660508,0,LAR,193.995801950233
634,PIATT,IL,0.025,15548,621.92,15508,8,16,11,5,99.7427322,0.05145356,0.10290713,0.07074865,0.03215848,10458,82.950851,22.011857,5.19219736,15315,98.50141500000001,6.13124388,7.06766917,4.61225953,9.16779432,0,HLR,168.33353368359272
635,PIKE,IL,0.049,17577,358.71428599999996,17499,8,24,32,14,99.55623829999999,0.04551402,0.13654207,0.18205610000000003,0.07964954,11820,69.856176,12.174280900000001,2.30964467,17365,98.79387840000001,17.932623100000004,23.3325587,15.083477300000002,18.2773589,0,AHR,134.8323573777215
636,POPE,IL,0.022000000000000002,4373,198.772727,4072,266,15,6,14,93.11685340000001,6.0827807,0.34301395,0.13720558,0.32014635,2821,65.15420060000001,14.250265900000002,2.48138958,4160,95.12920190000001,25.168269199999997,36.4729459,24.4148692,15.3611394,0,LHR,114.47478122458793
637,PULASKI,IL,0.011000000000000001,7523,683.909091,5032,2466,8,7,10,66.8882095,32.779476300000006,0.10634056,0.09304799,0.13292569,4816,59.7799003,14.368770800000002,2.20099668,7441,98.9100093,30.184115000000002,40.037418100000004,23.867741,31.1619718,0,LHR,176.22358832971526
638,PUTNAM,IL,0.01,5730,573.0,5616,9,7,7,91,98.01047120000001,0.15706806,0.12216405,0.12216405,1.58813264,3783,75.81284690000001,16.5212794,3.43642612,5722,99.8603839,7.54980776,10.4780616,6.22734761,7.15517241,0,AAR,162.10693046903174
639,RANDOLPH,IL,0.036000000000000004,34583,960.6388890000001,31532,2852,54,83,62,91.1777463,8.24682648,0.15614608,0.24000231,0.17927884,22847,64.2228739,12.741278900000001,2.95881297,30685,88.7285661,11.002118300000001,14.292508900000001,8.99560578,11.678486999999999,0,LAR,211.44612818645305
640,RICHLAND,IL,0.022000000000000002,16545,752.045455,16442,17,24,43,19,99.3774554,0.10275008,0.14505893,0.25989725,0.11483832,10917,73.4908858,21.5077402,3.62737016,16228,98.0840133,13.975844199999997,18.660061300000002,12.0681606,12.94943,0,AAR,184.89607612838444
643,SALINE,IL,0.022000000000000002,26551,1206.86364,25452,931,66,40,62,95.86079620000001,3.50645927,0.24857821,0.15065346,0.23351286,18020,63.2241953,15.488346300000002,3.63485017,25545,96.2110655,20.183989,26.699107899999998,18.6944068,16.8465816,0,LHR,242.78594474575556
645,SCHUYLER,IL,0.026000000000000002,7498,288.384615,7479,2,9,6,2,99.7465991,0.02667378,0.12003201,0.08002134,0.02667378,5090,69.410609,14.6365422,2.75049116,7365,98.22619370000001,16.496945,21.9134153,13.646112599999999,16.7800454,0,AAR,125.88070252229191
646,SCOTT,IL,0.015,5644,376.266667,5634,1,6,3,0,99.82282070000001,0.01771793,0.10630758,0.05315379,0.0,3732,73.6066452,13.076098599999998,2.25080386,5578,98.8306166,11.527429199999998,14.2564802,9.37067773,13.3606557,0,AAR,137.06644797375176
647,SHELBY,IL,0.044000000000000004,22261,505.93181799999996,22190,14,27,27,3,99.6810566,0.06289026,0.12128835,0.12128835,0.01347648,14745,72.7229569,15.9511699,3.78433367,22010,98.8724675,10.004543400000001,12.091730400000001,8.6534177,10.629843,0,AAR,153.570402308035
648,STARK,IL,0.017,6534,384.352941,6496,8,8,21,1,99.4184267,0.12243649,0.12243649,0.32139578,0.01530456,4396,77.0245678,16.8789809,2.9799818,6404,98.0104071,12.460961900000001,19.039145899999998,10.447761199999999,9.38748336,0,AAR,138.09567977428776
649,STEPHENSON,IL,0.033,48052,1456.12121,44524,3081,58,304,85,92.65795390000001,6.41180388,0.12070257,0.63264796,0.1768917,31555,76.691491,19.8795753,3.8821106,47225,98.2789478,9.90788777,13.5032583,8.35417318,9.50578339,0,AAR,274.5117825751844
651,UNION,IL,0.024,17619,734.125,17313,122,34,53,97,98.2632385,0.6924343000000001,0.19297349,0.30081162,0.55054203,12092,64.2242805,17.8795898,4.00264638,16823,95.48215,18.1596624,24.9001996,14.6790039,19.010096,0,LHR,182.61513657995036
653,WABASH,IL,0.012,13111,1092.5833300000002,12955,40,11,80,25,98.8101594,0.30508733,0.08389902,0.61017466,0.19067958,8520,74.870892,24.730046899999998,3.92018779,12849,98.001678,12.942641499999999,17.0275883,11.5272938,11.3899614,0,AAR,228.2401936090625
654,WARREN,IL,0.033,19181,581.242424,18630,356,20,70,105,97.12736559999999,1.85600334,0.10426985,0.36494448,0.54741671,12220,76.309329,20.458265100000002,4.57446809,18323,95.52682340000001,14.2334771,18.9009662,12.832096400000001,11.7299162,0,AAR,163.1560372510059
655,WASHINGTON,IL,0.033,14965,453.48484800000006,14856,46,31,26,6,99.2716338,0.30738390000000004,0.20715002,0.17373872,0.04009355,9906,65.7278417,15.9600242,2.44296386,14620,97.6946208,9.28180575,9.81610982,7.66360123,12.377149900000001,0,LAR,146.89488162128146
656,WAYNE,IL,0.042,17241,410.5,17141,9,31,44,16,99.4199872,0.05220115,0.17980396,0.25520561,0.09280204,11613,63.058641200000004,15.6807027,2.75553259,17054,98.91537609999999,14.3954497,19.6855936,11.6169183,14.7752126,0,LAR,141.4237125138772
657,WHITE,IL,0.028999999999999998,16522,569.724138,16397,41,37,35,12,99.243433,0.24815398,0.22394383,0.21183876,0.07263043,11451,66.2212907,15.928739800000002,3.24862457,16152,97.76056170000001,19.056463600000004,27.0340525,16.4872384,16.7161961,0,LHR,161.68997435988092
658,WHITESIDE,IL,0.040999999999999995,60186,1467.95122,57135,417,85,187,2362,94.93071479999999,0.69285216,0.14122886,0.31070349,3.92450071,39020,73.2880574,16.5530497,3.54177345,58927,97.90815140000001,10.9610196,14.7232262,9.50370254,9.815252599999999,0,AAR,276.01752211513303
660,WILLIAMSON,IL,0.025,57733,2309.32,56135,1147,112,252,87,97.23208559999999,1.98673203,0.1939965,0.43649213,0.15069371,38733,71.7811685,21.059561600000002,4.980249400000001,56318,97.54906209999999,15.8013424,22.394581600000002,13.6188171,13.8197853,0,AAR,383.1080689299175
662,WOODFORD,IL,0.032,32653,1020.40625,32388,64,54,102,45,99.188436,0.19600037,0.16537531,0.31237559,0.13781276,20469,80.0136792,22.805217600000002,4.97337437,31693,97.0599945,7.18770706,10.0139231,5.62835021,7.15055695,1,HLU,219.0533980582524
663,ADAMS,IN,0.021,31095,1480.7142900000001,30530,36,42,60,427,98.18298759999999,0.11577424,0.13506995,0.19295707,1.37321113,18119,74.3970418,16.115679699999998,4.86229924,30490,98.0543496,11.6366022,17.194523899999997,9.10188775,8.71402697,1,AAU,277.6420227833601
665,BARTHOLOMEW,IN,0.022000000000000002,63657,2893.5,61774,1005,97,610,171,97.0419593,1.57877374,0.15237916,0.95826068,0.26862717,41218,76.9032947,22.8468145,6.84409724,62784,98.62858759999999,8.54517074,10.736855,6.99242014,10.8119434,0,AAR,457.4632828686386
666,BENTON,IN,0.024,9441,393.375,9389,6,16,1,29,99.44921090000001,0.06355259,0.16947357,0.0105921,0.30717085,6053,77.0857426,13.4643978,4.01453825,9300,98.50651409999999,8.04301075,8.34921845,6.84232894,10.5022831,0,AAR,139.24401954475707
667,BLACKFORD,IN,0.01,14067,1406.7,13978,7,44,16,22,99.36731359999999,0.04976185,0.3127888,0.11374138,0.1563944,9259,72.9884437,12.981963499999999,4.42812399,13903,98.83415079999999,9.85398835,12.3237451,8.33224671,10.9375,0,AAR,268.22138467956927
668,BOONE,IN,0.024,38147,1589.4583300000002,37814,83,90,94,66,99.12706109999999,0.21757936,0.23592943,0.24641518,0.17301492,24915,82.46839250000001,27.830624100000005,8.81396749,37402,98.04702859999999,6.29645474,8.02175391,5.23959855,7.08942537,1,HLU,291.48311004886193
669,BROWN,IN,0.019,14080,741.052632,13968,13,47,18,34,99.2045455,0.09232955,0.33380682,0.12784091,0.24147727,9510,76.43533120000001,19.8002103,6.16193481,13948,99.0625,6.86836822,8.09384164,6.16327041,7.44387554,0,ALR,183.4968948726833
670,CARROLL,IN,0.022000000000000002,18809,854.9545449999999,18720,19,22,3,45,99.5268223,0.10101547,0.11696528,0.01594981,0.23924717,12241,76.1702475,15.4562536,3.79870926,18498,98.3465362,7.49270191,9.38326888,5.63980573,10.183066400000001,0,AAR,197.9944831316867
671,CASS,IN,0.024,38413,1600.5416699999998,37765,330,138,114,66,98.31307109999999,0.85908416,0.35925338,0.29677453,0.17181683,25123,75.8906182,13.2149823,4.02420093,37306,97.11816309999999,10.346861099999998,13.352441199999998,9.47268075,8.55725506,0,AAR,292.8938124297301
673,CLAY,IN,0.021,24705,1176.42857,24522,113,41,15,14,99.2592593,0.45739729,0.16595831,0.06071645,0.05666869,16197,75.884423,14.113724800000002,4.29709205,24343,98.53470959999999,11.843240400000001,15.163681299999999,9.70500549,12.9662175,1,AAU,238.91212821473778
674,CLINTON,IN,0.023,30974,1346.69565,30657,36,51,61,169,98.976561,0.11622651,0.16465423,0.19693937,0.54561891,19875,76.1610063,16.045282999999998,4.5081761,30143,97.3171047,9.405168699999999,11.7393903,7.80756609,10.5207037,1,AAU,260.5839505299854
675,CRAWFORD,IN,0.018000000000000002,9914,550.777778,9868,9,26,11,0,99.53600970000001,0.09078071,0.2622554,0.11095421,0.0,6297,59.5680483,8.54375099,2.93790694,9780,98.648376,18.4662577,22.923588,14.398052800000002,24.0462428,0,LHR,159.27845624703895
676,DAVIESS,IN,0.026000000000000002,27533,1058.96154,27372,99,26,20,16,99.41524720000001,0.35956852,0.09443214,0.07264010000000001,0.05811208,17267,66.2187989,13.2391267,3.35900851,26896,97.68641269999999,15.541344400000002,20.7750953,12.3878965,15.9292035,0,LAR,223.9607670822167
677,DEARBORN,IN,0.019,38835,2043.9473699999999,38440,252,53,75,15,98.98287629999999,0.64889919,0.13647483,0.19312476,0.03862495,24335,73.47852890000001,15.574275699999998,4.24491473,38254,98.50392690000001,8.48015894,10.783252099999999,7.142519500000001,8.94133289,1,AAU,349.33108464916313
678,DECATUR,IN,0.022000000000000002,23645,1074.7727300000001,23444,39,19,129,14,99.14992600000001,0.16493973,0.08035525,0.54556989,0.05920914,14625,72.3350427,13.921367499999999,4.56068376,23245,98.30831040000001,9.06431491,11.116045,7.66800916,10.0627287,0,AAR,225.97323655237278
