"classe","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z"
"A",1.07,7.43,-94,3,0.02,0,-0.03,-19,4,24,-1,606,-310,-132,16.9,-163,34,0.02,0,-0.03,-286,110,-124,-368,337,511,12.82749458,-70.49031927,-84.93557392,37,0,-0.02,0,-233,46,-270,-555,293,-72,22.5,-63.5,-146,36,0.02,0,-0.02,192,202,-215,-12,654,457
"A",1.06,7.43,-94,3,0.02,0,-0.03,-19,4,24,-1,599,-309,-132,16.9,-163,34,0.02,0,-0.02,-289,111,-123,-365,347,514,13.02493063,-70.31756075,-85.05658246,37,0,-0.02,0,-234,47,-272,-561,293,-66,22.5,-63.5,-146,36,0.02,0.02,-0.02,192,205,-215,-10,656,462
"A",1.04,7.42,-94,3,0.02,0,-0.03,-20,3,25,-5,607,-305,-132,16.9,-163,34,0,0,-0.02,-290,110,-122,-361,340,513,12.50265881,-70.55410345,-84.95416453,37,0,-0.02,-0.02,-234,45,-271,-560,290,-49,22.4,-63.5,-146,36,0.02,0,0,191,205,-213,-10,655,471
"A",1.05,7.43,-94,3,0.02,0,-0.02,-20,3,27,-3,604,-306,-132,16.9,-163,34,0,0,-0.02,-288,109,-122,-365,337,517,12.45048376,-70.20100811,-85.31861742,37,0,-0.02,-0.02,-234,45,-273,-554,292,-61,22.3,-63.5,-146,36,0.02,0,-0.02,193,207,-215,-11,655,468
"A",1.15,7.19,-94,3,0.02,0,-0.02,-19,4,23,-5,602,-306,-133,15.9,-163,34,0.02,-0.02,0,-287,110,-123,-366,331,521,13.35451266,-70.63995378,-84.64918975,37,-0.02,-0.02,0,-234,48,-270,-555,295,-73,21.4,-63.7,-145,36,0.02,0,-0.02,192,205,-214,-9,658,476
"A",1.16,7.21,-94,3,0.03,0,-0.02,-19,3,25,0,605,-306,-133,15.9,-163,34,0.03,-0.02,0,-288,111,-123,-374,337,513,12.85074981,-70.27811982,-85.14078134,37,-0.02,-0.02,-0.02,-232,46,-270,-562,294,-70,21.4,-63.7,-145,36,0.02,0,-0.02,192,205,-214,-11,647,471
"A",1.16,7.23,-94,3,0.03,0,-0.02,-17,3,24,-7,604,-307,-133,15.8,-164,34,0.02,-0.03,0.02,-289,111,-124,-367,330,516,13.0717973,-69.89446597,-85.46526697,37,-0.02,-0.02,0,-232,47,-272,-559,303,-58,21.4,-63.7,-145,36,0,-0.02,-0.03,193,204,-215,-11,655,463
"A",1.29,7.44,-93.9,3,0.06,0,0,-19,4,26,-5,598,-306,-133,15.6,-164,34,0.02,-0.02,-0.02,-286,110,-124,-371,337,514,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,21.1,-63.7,-145,36,0.02,-0.02,0,192,202,-211,-12,655,474
"A",1.41,7.81,-93.9,3,0.03,0,-0.02,-20,5,23,0,603,-317,-134,15.3,-164,34,0,0,-0.03,-287,111,-122,-365,336,515,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,20.8,-63.8,-145,36,0.02,0,-0.02,195,204,-215,-9,655,470
"A",1.49,7.44,-93.8,3,-0.02,0.02,-0.03,-18,4,22,-6,605,-320,-134,15.2,-164,34,0.02,-0.02,0,-288,110,-122,-367,335,515,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,20.4,-63.6,-144,36,0.02,0,-0.03,193,203,-217,-14,653,469
"A",1.44,7.28,-93.8,3,0,0.02,-0.03,-20,3,21,0,598,-311,-134,15.1,-164,34,0.02,-0.02,0,-288,108,-121,-369,336,512,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,20.3,-63.7,-144,36,0.02,0,-0.02,195,203,-214,-18,653,476
"A",1.29,7.08,-93.8,3,0,0,-0.03,-17,3,21,-4,606,-316,-134,14.6,-164,34,0,-0.03,0,-289,112,-122,-365,334,515,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,19.9,-63.6,-144,36,0.02,-0.02,-0.02,195,204,-215,-4,658,471
"A",1.23,7.03,-93.8,3,0.02,0,-0.03,-19,5,21,-2,604,-313,-134,14.5,-164,34,0.02,-0.02,-0.05,-287,111,-122,-367,335,514,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,19.9,-63.6,-144,36,0.02,-0.02,-0.02,193,204,-214,-9,659,466
"A",1.21,7.04,-93.8,3,0,0.02,-0.03,-19,3,22,-3,601,-312,-134,14.5,-164,34,0.02,0,-0.05,-289,111,-123,-367,334,521,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,19.9,-63.6,-144,36,0,-0.02,-0.05,196,206,-213,-8,655,475
"A",1.1,6.98,-93.8,3,0,0,-0.05,-17,3,23,-4,620,-312,-135,14.3,-164,34,0.02,-0.02,0,-289,110,-124,-369,335,514,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,19.8,-63.6,-144,36,0.03,-0.02,-0.02,193,202,-211,-12,653,479
"A",1.03,6.96,-93.8,3,0.02,0,-0.05,-18,4,23,-2,608,-304,-135,14.2,-164,34,0.02,-0.02,-0.02,-287,108,-122,-373,335,511,13.2272917,-70.91576678,-84.40838906,37,-0.03,-0.02,0,-237,48,-272,-552,290,-73,19.8,-63.5,-144,36,0.03,-0.02,0,191,204,-214,-8,657,476
"A",0.92,7.06,-93.8,3,0.03,0,-0.03,-18,3,26,-2,612,-308,-135,14.1,-164,34,0.02,-0.02,-0.02,-289,111,-122,-366,334,509,57.07881998,15.95869629,-97.2567224,3,0,0.43,-0.03,5,17,-26,-519,346,-87,19.5,-63.5,-143,36,0.02,-0.02,-0.02,194,201,-214,-4,647,468
"A",0.9,7.08,-93.8,4,0.02,0,-0.02,-20,3,29,-8,604,-307,-135,13.9,-165,34,0,-0.02,0.02,-289,112,-120,-362,333,509,100.5474081,31.90242941,-44.92289294,4,-0.18,0.51,-0.05,13,35,-18,-505,375,-91,19.4,-63.4,-143,36,0.02,-0.02,0,191,205,-214,-7,655,463
"A",0.88,7.09,-93.8,3,0.02,0,-0.05,-17,5,27,-6,615,-305,-135,13.9,-165,34,0,0,0.02,-288,110,-120,-363,328,510,100.5474081,31.90242941,-44.92289294,4,-0.18,0.51,-0.05,13,35,-18,-505,375,-91,19.3,-63.4,-143,36,0.02,0,-0.03,191,205,-215,-12,656,470
"A",0.85,7.07,-93.8,4,0.02,0,-0.05,-19,3,29,0,606,-304,-135,13.8,-165,34,0.02,-0.02,0.02,-287,109,-122,-369,335,515,103.4620508,19.46523119,-49.24857659,5,-0.22,0.51,-0.15,9,40,-22,-489,392,-73,19,-63.5,-143,36,0.02,-0.02,-0.02,193,204,-214,-6,650,475
"A",129,28.7,1.53,21,-0.51,-0.03,-0.43,-45,68,-185,14,565,-410,-167,-9.75,151,25,-0.05,-0.02,-0.1,-212,-77,-86,-427,355,461,-93.11186058,-36.07828575,50.22203639,3,0.42,-0.13,-0.03,-11,-25,15,494,-560,-151,83.5,-1.76,108,35,0.08,-0.03,-0.05,152,235,-197,-144,747,633
"A",129,28.9,1.07,21,-0.53,-0.02,-0.46,-42,70,-184,9,555,-393,-168,-9.79,150,25,-0.05,-0.03,-0.08,-217,-75,-87,-432,356,454,-101.6058237,-21.97222611,50.00949399,5,0.61,-0.08,-0.05,-10,-39,22,495,-557,-137,83.5,-1.6,108,35,0.08,-0.02,0,152,235,-198,-146,744,640
"A",129,28.8,0.56,21,-0.48,-0.03,-0.46,-44,68,-186,13,559,-402,-169,-9.44,149,25,-0.05,-0.03,-0.07,-217,-74,-90,-436,359,452,-35.00783839,19.72604823,116.4709172,8,0.72,0.02,-0.15,16,-28,75,489,-568,-95,83,-0.93,107,34,0.1,-0.1,-0.02,154,226,-191,-147,751,633
"A",129,28.8,0.51,21,-0.47,-0.03,-0.48,-42,69,-186,3,561,-407,-169,-9.4,149,25,-0.06,-0.05,-0.11,-216,-77,-88,-428,358,450,-37.8529583,23.62425587,111.8050552,8,0.74,-0.02,-0.18,19,-30,73,491,-565,-89,83.1,-0.82,107,35,0.08,-0.05,-0.02,157,236,-192,-148,751,631
"A",129,28.8,0.5,21,-0.47,-0.05,-0.48,-41,69,-185,4,568,-402,-169,-9.37,149,25,-0.06,-0.03,-0.11,-215,-79,-88,-429,353,469,-35.63049267,18.71240629,116.4377824,9,0.77,-0.03,-0.28,16,-30,79,485,-569,-85,83.1,-0.73,107,35,0.08,-0.08,-0.05,153,235,-193,-153,756,638
"A",128,28.8,0.77,21,-0.51,-0.03,-0.46,-45,68,-187,-4,564,-400,-172,-9.23,147,25,-0.05,-0.05,-0.05,-216,-75,-86,-433,355,459,-2.836887421,18.0626014,138.7907476,11,0.48,0.13,-0.28,19,-3,104,470,-567,-45,82.7,-0.68,106,34,0.06,0,-0.03,151,222,-194,-155,758,647
"A",128,28.6,0.78,20,-0.4,-0.03,-0.44,-44,68,-183,1,565,-392,-172,-9.22,146,25,-0.06,-0.03,-0.03,-216,-73,-88,-436,355,446,-42.45143963,22.28477886,108.4418031,10,0.48,-0.03,-0.15,22,-41,88,458,-586,-45,82.5,-0.77,106,34,0.16,-0.05,-0.05,158,227,-183,-149,754,657
"A",128,28.6,0.86,21,-0.4,-0.03,-0.44,-46,69,-184,-2,568,-407,-172,-9.19,146,25,-0.06,-0.02,-0.02,-215,-73,-88,-438,361,455,-37.6742285,23.44968017,112.0619456,11,0.45,-0.1,-0.18,24,-38,93,454,-584,-49,82.5,-0.69,107,34,0.16,-0.05,0.02,152,227,-186,-151,751,651
"A",129,28.2,1.3,21,-0.43,-0.03,-0.46,-46,69,-187,7,565,-404,-173,-8.79,144,25,-0.06,-0.03,-0.08,-217,-79,-87,-430,358,452,-48.55030681,7.265442432,107.8937096,10,0.43,-0.19,-0.26,7,-45,85,461,-576,-46,82.2,-0.69,107,35,0.06,0,-0.11,156,235,-198,-150,749,664
"A",129,28.1,1.39,21,-0.42,-0.03,-0.46,-44,71,-183,1,565,-395,-173,-8.7,144,25,-0.08,-0.03,-0.05,-216,-80,-88,-432,360,449,-32.87926915,14.52588487,120.9101312,9,0.47,-0.22,-0.3,13,-29,84,467,-578,-51,82,-0.79,107,34,0.06,0.05,-0.1,150,229,-197,-154,759,657
"A",129,28.1,1.45,21,-0.4,-0.03,-0.46,-45,69,-185,5,569,-400,-174,-8.65,144,25,-0.08,-0.05,-0.05,-217,-77,-87,-425,353,450,-27.65777757,20.90487645,122.0712331,9,0.47,-0.22,-0.26,19,-25,86,470,-568,-49,81.9,-0.83,107,35,0.05,0.03,-0.1,154,229,-197,-147,748,659
"A",129,28.1,1.63,21,-0.43,-0.03,-0.44,-44,69,-184,0,564,-400,-174,-8.48,144,25,-0.1,-0.08,-0.07,-215,-77,-85,-429,359,452,-37.20402256,15.02480607,116.6765307,10,0.43,-0.13,-0.13,14,-34,86,474,-566,-52,81.9,-0.88,107,35,0.11,0.02,-0.03,154,231,-194,-152,750,654
"A",129,28,1.71,21,-0.42,-0.03,-0.46,-46,69,-183,6,567,-401,-174,-8.26,144,25,-0.11,-0.1,0.02,-215,-77,-88,-429,357,452,-32.52143936,1.101787632,124.5381518,9,0.48,-0.13,-0.15,1,-29,86,477,-569,-29,82,-0.84,107,34,0.14,0,0,152,229,-191,-141,751,658
"A",129,28,1.97,21,-0.43,-0.03,-0.46,-44,68,-187,9,565,-390,-175,-7.39,143,25,-0.11,-0.05,-0.08,-216,-75,-90,-422,362,445,-32.23723077,17.79833095,119.9385741,11,0.48,-0.14,-0.11,19,-34,100,473,-561,-32,82.2,-0.39,107,34,0.14,-0.1,-0.02,153,229,-186,-152,757,657
"A",129,28,2.12,21,-0.43,-0.03,-0.43,-43,68,-186,2,564,-387,-175,-7.08,143,25,-0.06,-0.06,-0.03,-217,-74,-89,-429,363,449,-38.08890352,12.75215819,116.7015415,10,0.48,-0.1,-0.25,13,-38,94,479,-563,-20,82,-0.21,107,34,0.16,-0.02,-0.05,148,227,-187,-153,754,664
"A",129,27.9,2.3,21,-0.42,-0.05,-0.44,-46,69,-186,4,563,-405,-176,-7,143,25,-0.05,-0.05,-0.05,-215,-76,-87,-418,364,455,-23.84574407,11.8378286,130.3542142,10,0.47,-0.1,-0.26,12,-24,98,477,-562,-22,81.8,-0.32,107,34,0.11,0.05,-0.13,160,233,-184,-155,752,675
"A",129,27.9,2.35,21,-0.43,-0.03,-0.44,-48,71,-186,6,567,-395,-8.6,15.4,10,3,-0.26,-0.24,0.13,-3,-11,24,-416,309,496,-28.8,16.1,123.9,11,0.47,-0.03,-0.18,17,-30,100,480,-563,-22,81.6,-0.36,107,34,0.18,0.03,-0.03,158,228,-184,-153,753,673
"A",129,28,2.45,21,-0.43,-0.03,-0.44,-45,70,-183,2,569,-406,-7.92,13.2,6.35,3,-0.26,-0.24,0.13,-2,-12,24,-416,316,493,-34.13867407,9.580194295,121.5155516,11,0.47,-0.05,-0.21,10,-35,98,479,-565,-20,81.7,-0.26,108,34,0.19,-0.03,-0.02,153,229,-183,-163,765,677
