"date","values.I2P","values.P2I","values.JPI"
2001-02-01,-3.63412414965986,-3.19113095238095,55.7
2001-03-01,-4.20016617790811,-3.24891705069124,50.2
2001-04-01,-3.30243662818663,-3.52848412698413,53.6
2001-05-01,-3.61416876134618,-3.78709677419355,50.6
2001-06-01,-2.23235714285714,-3.21888888888889,49.4
2001-07-01,-5.38027649769585,-3.23123655913978,50.1
2001-08-01,-4.4348783922171,-4.58561443932412,50.9
2001-09-01,-4.81591798941799,-2.63511111111111,47.1
2001-10-01,-4.14435204580366,-2.12567076292883,49.1
2001-11-01,-4.53261111111111,-4.45361111111111,50.1
2001-12-01,-4.66103965926547,-3.69767025089606,50.2
2002-01-01,-5.07997311827957,-4.76655913978495,51.2
2002-02-01,-4.52239229024943,-5.00580357142857,53.4
2002-03-01,-4.86324046920821,-5.3063873760648,54.8
2002-04-01,-4.86776236336763,-3.82938888888889,53.7
2002-05-01,-4.51932106424042,-3.76465053763441,52.6
2002-06-01,-4.91010185185185,-3.31896031746032,52.8
2002-07-01,-3.73213005632361,-3.3,51.3
2002-08-01,-6.34129977549332,-3.20993855606759,53.8
2002-09-01,-5.98833020683021,-2.2935,52
2002-10-01,-5.83082949308756,-2.64182795698925,52.9
2002-11-01,-7.46380423280423,-2.94338888888889,50.7
2002-12-01,-8.25736559139785,-3.27069892473118,53.1
2003-01-01,-7.36687403993856,-2.55322580645161,51
2003-02-01,-6.04302721088435,-3.1514880952381,53.8
2003-03-01,-6.82166666666667,-4.76451612903226,53.1686514881357
2003-04-01,-6.69395238095238,-3.35027777777778,53.8837487536202
2003-05-01,-5.03207373271889,-1.86027649769585,53.8632443127953
2003-06-01,-4.49890608465608,-3.53207142857143,54.0401290918937
2003-07-01,-2.43275601638505,-0.988172043010753,54.3024685569904
2003-08-01,-2.34405913978495,-1.44112903225806,55.0194614586541
2003-09-01,-4.37088888888889,-2.97222222222222,54.8564121992752
2003-10-01,-5.72049155145929,-2.96424731182796,55.8350172693504
2003-11-01,-4.08922222222222,-0.100444444444444,54.4
2003-12-01,-4.4123732718894,-1.70784946236559,50.4
2004-01-01,-5.38881720430108,-3.0994623655914,49.7
2004-02-01,-6.53278325123153,-2.13718390804598,45.5
2004-03-01,-6.55419738863287,-3.80752688172043,46.7
2004-04-01,-6.97255555555556,-3.68111111111111,47.5
2004-05-01,-4.96660522273426,-3.01715309779826,51.2
2004-06-01,-5.06961111111111,-2.12972222222222,52.3
2004-07-01,-5.50440860215054,-2.45994623655914,47.8
2004-08-01,-5.49322580645161,-2.39354838709677,51
2004-09-01,-6.86622222222222,-4.62277777777778,49.7
2004-10-01,-5.91460061443932,-4.04435483870968,51.1
2004-11-01,-3.71051851851852,-1.47055555555556,54.9
2004-12-01,-5.11150537634409,-2.62043010752688,55.6
2005-01-01,-4.47824884792627,-2.32398617511521,59.7
2005-02-01,-1.61039540816327,0.0566071428571428,58
2005-03-01,-1.60435483870968,-0.954838709677419,57.7
2005-04-01,-2.79531746031746,-3.06277777777778,54.9
2005-05-01,-1.22123655913978,-1.77096774193548,54.9
2005-06-01,-2.29975541125541,-1.88055555555556,54.1
2005-07-01,-4.70838709677419,-1.97795698924731,49.9
2005-08-01,-2.14493520816101,-1.64698924731183,49
2005-09-01,-3.54326984126984,-1.76988888888889,49.9
2005-10-01,-4.50048387096774,-2.30994623655914,50.6
2005-11-01,-4.09855555555556,-1.52861111111111,57.4
2005-12-01,-5.79704301075269,-2.87284946236559,52.9
