"city","zip","beds","baths","sqft","type","price","latitude","longitude"
"FOLSOM","z95630",4,2,2462,"Residential",539000,38.655167,-121.090178
"FOLSOM","z95630",5,3,2900,"Residential",585000,38.670947,-121.097727
"EL_DORADO_HILLS","z95762",4,4,3705,"Residential",600000,38.672761,-121.050378
"EL_DORADO_HILLS","z95762",4,3,3527,"Residential",606238,38.666807,-121.06483
"SACRAMENTO","z95864",3,3,2325,"Residential",660000,38.591618,-121.370626
"EL_DORADO_HILLS","z95762",6,5,4878,"Residential",830000,38.669931,-121.05958
"CITRUS_HEIGHTS","z95621",2,1,795,"Condo",69000,38.680923,-121.313945
"SACRAMENTO","z95817",4,2,1099,"Residential",70000,38.554967,-121.468046
"ELK_GROVE","z95624",2,1,840,"Condo",71000,38.40573,-121.369832
"SACRAMENTO","z95815",2,1,800,"Residential",78000,38.624678,-121.439203
"SACRAMENTO","z95824",2,1,746,"Residential",78400,38.518044,-121.443555
"SACRAMENTO","z95822",3,1,1067,"Residential",80000,38.515125,-121.480416
"SACRAMENTO","z95815",4,2,1316,"Residential",89000,38.623571,-121.454884
"SACRAMENTO","z95815",3,1,1337,"Residential",90000,38.622953,-121.450142
"SACRAMENTO","z95824",2,1,868,"Residential",90000,38.518373,-121.411779
"SACRAMENTO","z95824",3,1,924,"Residential",92000,38.51055,-121.414768
"SACRAMENTO","z95820",2,1,610,"Residential",93675,38.53942,-121.446894
"RANCHO_MURIETA","z95683",3,2,1516,"Residential",97750,38.492287,-121.100032
"SACRAMENTO","z95815",2,1,1220,"Residential",98000,38.621998,-121.442238
"ELK_GROVE","z95758",1,1,722,"Condo",98000,38.423251,-121.444489
"SACRAMENTO","z95864",3,1,1643,"Residential",99000,38.588672,-121.373916
"ELK_GROVE","z95758",1,1,722,"Condo",100000,38.423251,-121.444489
"GALT","z95632",3,1,1080,"Residential",106716,38.241514,-121.312199
"SACRAMENTO","z95820",3,1,1039,"Residential",111000,38.52712,-121.435348
"NORTH_HIGHLANDS","z95660",3,1,1051,"Residential",111000,38.67895,-121.379406
"SACRAMENTO","z95842",2,2,967,"Residential",114800,38.682279,-121.352817
"RANCHO_CORDOVA","z95670",3,1,1098,"Residential",120108,38.587156,-121.295778
"SACRAMENTO","z95824",3,1,1050,"Residential",123225,38.518942,-121.430158
"SACRAMENTO","z95838",3,2,1110,"Residential",123750,38.636565,-121.460383
"NORTH_HIGHLANDS","z95660",3,1,888,"Residential",125000,38.650445,-121.374861
"SACRAMENTO","z95822",3,2,1120,"Residential",125000,38.514665,-121.480411
"ELVERTA","z95626",3,2,1080,"Residential",126000,38.717976,-121.407684
"NORTH_HIGHLANDS","z95660",3,1,957,"Residential",129000,38.66654,-121.378298
"SACRAMENTO","z95838",2,1,952,"Residential",134000,38.637678,-121.452476
"SACRAMENTO","z95838",3,2,1211,"Residential",135000,38.658478,-121.450409
"SACRAMENTO","z95815",3,2,1264,"Residential",135500,38.61779,-121.436765
"SACRAMENTO","z95833",3,1,1080,"Residential",140000,38.623817,-121.477827
"GALT","z95632",3,2,1266,"Residential",140000,38.270617,-121.299205
"FAIR_OAKS","z95628",2,2,994,"Condo",142500,38.662785,-121.276272
"SACRAMENTO","z95834",3,2,1202,"Residential",143500,38.631056,-121.48508
"ELK_GROVE","z95758",2,2,1039,"Condo",145000,38.423251,-121.444489
"SACRAMENTO","z95820",2,1,722,"Residential",145000,38.532727,-121.470783
"SACRAMENTO","z95828",4,2,1448,"Residential",145000,38.488623,-121.410582
"SACRAMENTO","z95828",3,2,1188,"Residential",145000,38.488611,-121.412808
"NORTH_HIGHLANDS","z95660",4,2,1183,"Residential",146000,38.692915,-121.367497
"SACRAMENTO","z95822",3,1,1320,"Residential",148500,38.487444,-121.491366
"SACRAMENTO","z95828",3,2,1117,"Residential",149000,38.473288,-121.3963
"SACRAMENTO","z95828",3,2,1364,"Residential",150000,38.482876,-121.405912
"SACRAMENTO","z95823",4,2,1310,"Residential",150000,38.484834,-121.449316
"ELK_GROVE","z95758",2,2,1006,"Residential",152000,38.420138,-121.412179
"CITRUS_HEIGHTS","z95621",3,2,1104,"Residential",156000,38.693724,-121.307169
"SACRAMENTO","z95825",2,1,810,"Residential",156000,38.609982,-121.419263
"ELK_GROVE","z95624",2,2,1123,"Residential",156000,38.41875,-121.370019
"SACRAMENTO","z95842",2,1,904,"Residential",157788,38.67273,-121.359645
"CITRUS_HEIGHTS","z95621",3,2,1156,"Residential",161653,38.720653,-121.302241
"SACRAMENTO","z95820",2,1,1321,"Residential",161829,38.541965,-121.452132
"ANTELOPE","z95843",3,2,1392,"Residential",165000,38.715346,-121.388163
"SACRAMENTO","z95823",3,2,1439,"Residential",168000,38.448288,-121.420719
"SACRAMENTO","z95842",3,2,1159,"Residential",169000,38.69951,-121.359989
"RANCHO_CORDOVA","z95670",3,2,1671,"Residential",175000,38.591477,-121.31534
"SACRAMENTO","z95823",3,2,1740,"Residential",176250,38.457654,-121.431381
"SACRAMENTO","z95823",3,2,1265,"Residential",179000,38.461283,-121.434322
"ANTELOPE","z95843",2,2,1007,"Residential",180000,38.710889,-121.358876
"ELK_GROVE","z95758",3,2,1716,"Residential",180400,38.417649,-121.420294
"ELK_GROVE","z95758",4,2,1685,"Residential",182000,38.417182,-121.397231
"RANCHO_CORDOVA","z95670",4,2,1829,"Residential",184500,38.592383,-121.318669
"ELK_GROVE","z95758",3,2,1555,"Residential",185000,38.435471,-121.441173
"CARMICHAEL","z95608",4,2,1120,"Residential",189000,38.666564,-121.325717
"CITRUS_HEIGHTS","z95621",3,2,1137,"Residential",194000,38.718693,-121.303619
"SACRAMENTO","z95826",3,1,1174,"Residential",195000,38.543697,-121.366683
"ANTELOPE","z95843",3,2,1393,"Residential",200000,38.704407,-121.36113
"CAMERON_PARK","z95682",3,1.5,1415,"Residential",201000,38.694052,-120.995589
"LINCOLN","z95648",4,2,2126,"Residential",202500,38.879192,-121.309477
"SACRAMENTO","z95828",3,2,1289,"Residential",205000,38.461296,-121.390858
"SACRAMENTO","z95838",4,2,1799,"Residential",205000,38.655887,-121.446119
"PLACERVILLE","z95667",3,2,1308,"Residential",205000,38.74458,-120.794254
"SACRAMENTO","z95823",4,3,1953,"Residential",205000,38.443253,-121.431992
"SACRAMENTO","z95820",2,1,723,"Residential",207000,38.536741,-121.42115
"CAMERON_PARK","z95682",2,1.5,1376,"Residential",210000,38.69437,-120.996602
"PLACERVILLE","z95667",2,1,948,"Residential",211500,38.739774,-120.860243
"CITRUS_HEIGHTS","z95621",4,2,1578,"Residential",215000,38.696489,-121.328555
"CITRUS_HEIGHTS","z95610",3,2,1317,"Residential",215000,38.710388,-121.261096
"SACRAMENTO","z95833",3,3,1360,"Residential",215500,38.626582,-121.52151
"SACRAMENTO","z95824",3,1,1360,"Residential",222381,38.513066,-121.451909
"SACRAMENTO","z95833",3,2,1522,"Residential",225000,38.624762,-121.522775
"SACRAMENTO","z95825",4,2,1751,"Residential",225000,38.606603,-121.394147
"ELK_GROVE","z95624",3,2,1465,"Residential",225000,38.419214,-121.348533
"SACRAMENTO","z95826",4,2,1605,"Residential",228000,38.55821,-121.355022
"RIO_LINDA","z95673",4,2,1475,"Residential",229665,38.702893,-121.454949
"MEADOW_VISTA","z95722",3,1,1216,"Residential",230000,39.008159,-121.03623
"FAIR_OAKS","z95628",2,2,1315,"Residential",230000,38.665644,-121.259969
"ELK_GROVE","z95757",3,2,1567,"Residential",230000,38.390557,-121.449805
"SACRAMENTO","z95835",3,2,1776,"Residential",234000,38.672495,-121.515251
"SACRAMENTO","z95835",3,2,2187,"Residential",235000,38.661658,-121.540633
"SACRAMENTO","z95822",3,1,1291,"Residential",236250,38.534596,-121.493121
"FOLSOM","z95630",2,2,1129,"Condo",240000,38.6457,-121.1197
"ELK_GROVE","z95624",3,2.5,1453,"Residential",242000,38.43742,-121.372876
"SACRAMENTO","z95842",3,2,1503,"Residential",245000,38.699489,-121.361828
"SACRAMENTO","z95828",4,3,2491,"Residential",245000,38.459711,-121.384283
"SACRAMENTO","z95816",2,1,1269,"Residential",245000,38.562296,-121.467489
"SACRAMENTO","z95835",3,2.5,1718,"Residential",250000,38.676658,-121.528128
"ORANGEVALE","z95662",3,2,1176,"Residential",250000,38.669882,-121.213533
"ORANGEVALE","z95662",4,2,1456,"Residential",250000,38.692199,-121.250975
"ROSEVILLE","z95678",3,2,1498,"Residential",250000,38.725283,-121.297953
"ANTELOPE","z95843",3,2,1574,"Residential",255000,38.710221,-121.341651
"CITRUS_HEIGHTS","z95610",5,4,2085,"Multi_Family",256054,38.682358,-121.272876
"SACRAMENTO","z95829",3,2,2170,"Residential",257729,38.45967,-121.360461
"ELK_GROVE","z95758",4,2,1595,"Residential",260000,38.409634,-121.410787
"ANTELOPE","z95843",3,2,1567,"Residential",261000,38.705849,-121.334701
"LINCOLN","z95648",4,3,2943,"Residential",261800,38.879084,-121.298586
"SACRAMENTO","z95822",4,2,1253,"Residential",264469,38.482704,-121.500433
"ANTELOPE","z95843",4,3,1768,"Residential",265000,38.717042,-121.35468
"SACRAMENTO","z95835",4,2.5,1980,"Residential",270000,38.676937,-121.529244
"SACRAMENTO","z95835",4,3,2030,"Residential",270000,38.671807,-121.498274
"SACRAMENTO","z95835",3,2,1531,"Residential",270000,38.665704,-121.529096
"SACRAMENTO","z95834",4,3,1750,"Residential",270000,38.647961,-121.543162
"ELK_GROVE","z95624",4,3,1653,"Residential",275000,38.435288,-121.375703
"ELK_GROVE","z95758",4,2,2056,"Residential",275000,38.411522,-121.481406
"ELK_GROVE","z95624",4,3,2494,"Residential",280000,38.404934,-121.352405
"FAIR_OAKS","z95628",3,2,1450,"Residential",286013,38.660322,-121.230101
"SACRAMENTO","z95834",4,2,2169,"Residential",292000,38.633028,-121.526755
"ROSEVILLE","z95747",3,2,1440,"Residential",292000,38.752399,-121.330328
"FAIR_OAKS","z95628",3,2,1527,"Residential",293993,38.664552,-121.255937
"ROSEVILLE","z95678",3,2,1401,"Residential",294000,38.776327,-121.284514
"SACRAMENTO","z95838",3,2,1411,"Residential",296769,38.65783,-121.456842
"LINCOLN","z95648",4,4,2990,"Residential",297500,38.864864,-121.313988
"GOLD_RIVER","z95670",2,2.5,1533,"Condo",300000,38.625289,-121.260286
"RIO_LINDA","z95673",3,1,1284,"Residential",300000,38.700553,-121.452223
"GALT","z95632",4,3,2307,"Residential",300000,38.272942,-121.289148
"PLACERVILLE","z95667",3,2,1329,"Residential",300000,38.694559,-120.848157
"SACRAMENTO","z95835",4,2,1910,"Residential",300500,38.677454,-121.494791
"GOLD_RIVER","z95670",3,2,1981,"Residential",305000,38.628732,-121.261149
"ROSEVILLE","z95747",3,2.5,1829,"Residential",306500,38.772771,-121.364877
"SACRAMENTO","z95835",3,2,1665,"Residential",312500,38.668692,-121.54549
"LINCOLN","z95648",5,3,3072,"Residential",315000,38.866409,-121.308485
"SACRAMENTO","z95823",4,2,2205,"Residential",319789,38.447353,-121.434969
"LINCOLN","z95648",2,2,1449,"Residential",330000,38.849924,-121.275729
"FOLSOM","z95630",3,2,1258,"Residential",330000,38.667834,-121.168578
"ELK_GROVE","z95757",3,2,2575,"Residential",331000,38.387014,-121.440967
"SACRAMENTO","z95820",2,1,539,"Residential",334000,38.542727,-121.442449
"RANCHO_CORDOVA","z95670",4,3,2208,"Residential",336000,38.573488,-121.282809
"SACRAMENTO","z95819",3,1,1108,"Residential",339000,38.563805,-121.436395
"FOLSOM","z95630",4,2,1595,"Residential",339000,38.652002,-121.129504
"GALT","z95632",4,2,2159,"Residential",345000,38.279581,-121.300828
"PLACERVILLE","z95667",4,3,2295,"Residential",350000,38.738141,-120.784145
"ROSEVILLE","z95678",3,2,1838,"Residential",356000,38.782094,-121.297133
"SACRAMENTO","z95823",4,2,1900,"Residential",361745,38.487409,-121.461413
"SACRAMENTO","z95811",4,2,1718,"Residential",361948,38.591822,-121.478644
"ELK_GROVE","z95757",5,3,3389,"Residential",370000,38.405224,-121.479275
"ROCKLIN","z95677",4,2,2190,"Residential",380000,38.778691,-121.204292
"ELK_GROVE","z95757",5,4,3260,"Residential",385000,38.405527,-121.431746
"CAMERON_PARK","z95682",3,2,2016,"Residential",399000,38.664225,-121.007173
"ROCKLIN","z95765",4,2,2607,"Residential",402000,38.805749,-121.280931
"ELK_GROVE","z95757",4,3,2724,"Residential",406026,38.390465,-121.443479
"GALT","z95632",5,4,3746,"Residential",420000,38.271646,-121.286848
"RANCHO_CORDOVA","z95742",5,4,3969,"Residential",425000,38.527502,-121.233492
"RANCHO_MURIETA","z95683",4,2,3192,"Residential",425000,38.512602,-121.087233
"SACRAMENTO","z95834",3,3,2829,"Residential",433500,38.650221,-121.551704
"LINCOLN","z95648",5,4,3928,"Residential",436746,38.857635,-121.311375
"EL_DORADO_HILLS","z95762",5,3,3577,"Residential",438700,38.679136,-121.034329
"SACRAMENTO","z95811",2,1,1247,"Residential",445000,38.582604,-121.47576
"FOLSOM","z95630",4,2,2581,"Residential",450000,38.676306,-121.09954
"SACRAMENTO","z95841",3,1,2068,"Residential",460000,38.646374,-121.353658
"EL_DORADO_HILLS","z95762",3,2,2129,"Residential",460000,38.668239,-121.064437
"ELK_GROVE","z95624",4,3,3992,"Residential",460000,38.403609,-121.335541
"SACRAMENTO","z95835",4,4,3397,"Residential",465000,38.665696,-121.549437
"SACRAMENTO","z95835",5,3,3881,"Residential",471750,38.677225,-121.519687
"ROCKLIN","z95765",5,4,3167,"Residential",480000,38.801637,-121.278798
"CARMICHAEL","z95608",2,2,1598,"Residential",484000,38.602754,-121.329326
"PLACERVILLE","z95667",4,3,1929,"Residential",485000,38.787877,-120.816676
"ELK_GROVE","z95757",4,3,3070,"Residential",495000,38.398488,-121.473424
"ROSEVILLE","z95678",4,2.5,2272,"Residential",500500,38.770153,-121.300039
"AUBURN","z95603",3,3,2791,"Residential",504000,38.891935,-121.08434
"EL_DORADO_HILLS","z95762",5,3,3117,"Residential",541000,38.628459,-121.055078
"WILTON","z95693",3,2,2544,"Residential",560000,38.408841,-121.198039
"SACRAMENTO","z95829",5,3,3984,"Residential",572500,38.47643,-121.309243
"CARMICHAEL","z95608",4,2,2222,"Residential",582000,38.602461,-121.330979
"ROSEVILLE","z95661",4,3,3838,"Residential",613401,38.735373,-121.227072
"ROSEVILLE","z95747",4,3.5,3059,"Residential",614000,38.742118,-121.359909
"FAIR_OAKS","z95628",5,5,2846,"Residential",680000,38.64167,-121.262099
"SACRAMENTO","z95819",5,2,2484,"Residential",699000,38.563244,-121.446876
"LOOMIS","z95650",4,4,1624,"Residential",839000,38.813337,-121.133348
"SACRAMENTO","z95842",2,1,840,"Condo",40000,38.673678,-121.357471
"SACRAMENTO","z95825",1,1,484,"Condo",48000,38.582279,-121.401482
"SACRAMENTO","z95815",3,1,970,"Residential",61500,38.620685,-121.460539
"SACRAMENTO","z95817",2,1,623,"Residential",62050,38.546798,-121.460038
"SACRAMENTO","z95820",2,1,932,"Residential",65000,38.532718,-121.46747
"SACRAMENTO","z95838",2,1,796,"Residential",65000,38.638797,-121.435049
"SACRAMENTO","z95820",2,1,834,"Residential",68000,38.539447,-121.450858
"SACRAMENTO","z95820",2,1,834,"Residential",68000,38.539447,-121.450858
"SACRAMENTO","z95841",2,1,924,"Condo",77000,38.658739,-121.333561
"SACRAMENTO","z95842",2,1,795,"Condo",82732,38.669104,-121.359008
"SACRAMENTO","z95838",3,1,1250,"Residential",84000,38.637337,-121.432835
"SACRAMENTO","z95820",2,1,984,"Residential",84675,38.53728,-121.463531
