"Year","Month","Make","Quantity","Pct"
2007,3,"Chrysler",3,0
2007,3,"Nilsson",1,0
2007,3,NA,1,0
2007,3,"Aston Martin",1,0
2007,4,"Toyota",1300,14.7
2007,4,"Volkswagen",1257,14.2
2007,4,"Volvo",587,6.6
2007,4,"Audi",556,6.3
2007,4,"Peugeot",547,6.2
2007,4,"Opel",534,6
2007,4,"Ford",451,5.1
2007,4,"Skoda",438,4.9
2007,4,"Mercedes-Benz",387,4.4
2007,4,"BMW",360,4.1
2007,4,"Honda",351,4
2007,4,"Suzuki",347,3.9
2007,4,"Nissan",328,3.7
2007,4,"Mazda",249,2.8
2007,4,"Saab",191,2.2
2007,4,"Citroen",179,2
2007,4,"Hyundai",142,1.6
2007,4,"Mitsubishi",104,1.2
2007,4,"Renault",92,1
2007,4,"Kia",92,1
2007,4,"Chevrolet",79,0.9
2007,4,"Subaru",77,0.9
2007,4,"Land Rover",42,0.5
2007,4,"MINI",31,0.4
2007,4,"Dodge",25,0.3
2007,4,"Alfa Romeo",20,0.2
2007,4,"Lexus",18,0.2
2007,4,"Daihatsu",17,0.2
2007,4,"Chrysler",11,0.1
2007,4,"Jeep",10,0.1
2007,4,"Fiat",7,0.1
2007,4,"Porsche",7,0.1
2007,4,"Jaguar",5,0.1
2007,4,"Iveco",5,0.1
2007,4,"Morgan",4,0
2007,4,"Cadillac",2,0
2007,4,"Smart",1,0
2007,4,"Think",1,0
2007,5,"Volkswagen",1934,16.1
2007,5,"Toyota",1866,15.5
2007,5,"Volvo",805,6.7
2007,5,"Opel",771,6.4
2007,5,"Peugeot",743,6.2
2007,5,"Ford",648,5.4
2007,5,"Audi",630,5.2
2007,5,"Honda",520,4.3
2007,5,"Skoda",517,4.3
2007,5,"BMW",431,3.6
2007,5,"Mercedes-Benz",422,3.5
2007,5,"Suzuki",420,3.5
2007,5,"Nissan",382,3.2
2007,5,"Mazda",325,2.7
2007,5,"Saab",241,2
2007,5,"Citroen",223,1.9
2007,5,"Mitsubishi",222,1.8
2007,5,"Kia",169,1.4
2007,5,"Hyundai",155,1.3
2007,5,"Renault",109,0.9
2007,5,"Land Rover",91,0.8
2007,5,"Subaru",78,0.6
2007,5,"Jeep",72,0.6
2007,5,"Chevrolet",65,0.5
2007,5,"Daihatsu",36,0.3
2007,5,"MINI",30,0.2
2007,5,"Dodge",29,0.2
2007,5,"Fiat",18,0.1
2007,5,"Alfa Romeo",17,0.1
2007,5,"Lexus",10,0.1
2007,5,"Chrysler",8,0.1
2007,5,"Jaguar",5,0
2007,5,"Porsche",4,0
2007,5,"Aston Martin",4,0
2007,5,"Ssangyong",3,0
2007,5,"Smart",2,0
2007,5,"Morgan",2,0
2007,6,"Toyota",1620,14.6
2007,6,"Volkswagen",1531,13.8
2007,6,"Ford",772,7
2007,6,"Opel",683,6.2
2007,6,"Volvo",662,6
2007,6,"Honda",624,5.6
2007,6,"Peugeot",569,5.1
2007,6,"Skoda",512,4.6
2007,6,"Audi",498,4.5
2007,6,"BMW",477,4.3
2007,6,"Mercedes-Benz",421,3.8
2007,6,"Mitsubishi",414,3.7
2007,6,"Nissan",364,3.3
2007,6,"Mazda",296,2.7
2007,6,"Citroen",277,2.5
2007,6,"Suzuki",262,2.4
2007,6,"Hyundai",204,1.8
2007,6,"Saab",195,1.8
2007,6,"Kia",159,1.4
2007,6,"Renault",107,1
2007,6,"Chevrolet",74,0.7
2007,6,"Jeep",68,0.6
2007,6,"Subaru",65,0.6
2007,6,"Land Rover",47,0.4
2007,6,"MINI",37,0.3
2007,6,"Daihatsu",37,0.3
2007,6,"Dodge",23,0.2
2007,6,"Alfa Romeo",21,0.2
2007,6,"Lexus",17,0.2
2007,6,"Fiat",10,0.1
2007,6,"Jaguar",8,0.1
2007,6,"Smart",8,0.1
2007,6,"Chrysler",5,0
2007,6,"Porsche",5,0
2007,6,"Ssangyong",5,0
2007,6,"Aston Martin",3,0
2007,6,"Cadillac",1,0
2007,6,"Chevrolet US",1,0
2007,6,"Bentley",1,0
2007,7,"Toyota",1901,15.8
2007,7,"Volkswagen",1777,14.7
2007,7,"Volvo",1064,8.8
2007,7,"Ford",1006,8.3
2007,7,"Peugeot",749,6.2
2007,7,"Opel",685,5.7
2007,7,"Audi",562,4.7
2007,7,"Skoda",489,4.1
2007,7,"Mercedes-Benz",469,3.9
2007,7,"BMW",403,3.3
2007,7,"Honda",401,3.3
2007,7,"Mitsubishi",381,3.2
2007,7,"Suzuki",296,2.5
2007,7,"Mazda",294,2.4
2007,7,"Citroen",281,2.3
2007,7,"Nissan",277,2.3
2007,7,"Saab",204,1.7
2007,7,"Hyundai",182,1.5
2007,7,"Kia",137,1.1
2007,7,"Renault",124,1
2007,7,"Chevrolet",78,0.6
2007,7,"Jeep",56,0.5
2007,7,"Subaru",51,0.4
2007,7,"Daihatsu",33,0.3
2007,7,"Land Rover",32,0.3
2007,7,"MINI",28,0.2
2007,7,"Dodge",26,0.2
2007,7,"Lexus",16,0.1
2007,7,"Alfa Romeo",14,0.1
2007,7,"Fiat",12,0.1
2007,7,"Jaguar",12,0.1
2007,7,"Smart",8,0.1
2007,7,"Chrysler",5,0
2007,7,"Porsche",3,0
2007,7,"Aston Martin",3,0
2007,7,"Ssangyong",1,0
2007,7,"Nilsson",1,0
2007,7,NA,1,0
2007,8,"Toyota",1783,16.5
2007,8,"Volkswagen",1665,15.4
2007,8,"Ford",816,7.6
2007,8,"Mitsubishi",681,6.3
2007,8,"Audi",590,5.5
2007,8,"Peugeot",531,4.9
2007,8,"Volvo",498,4.6
2007,8,"Skoda",476,4.4
2007,8,"Opel",472,4.4
2007,8,"Mercedes-Benz",435,4
2007,8,"Suzuki",392,3.6
2007,8,"BMW",348,3.2
2007,8,"Nissan",348,3.2
2007,8,"Honda",296,2.7
2007,8,"Citroen",288,2.7
2007,8,"Mazda",237,2.2
2007,8,"Hyundai",196,1.8
2007,8,"Kia",122,1.1
2007,8,"Saab",103,1
2007,8,"Renault",100,0.9
2007,8,"Subaru",92,0.9
2007,8,"Chevrolet",67,0.6
2007,8,"Jeep",51,0.5
2007,8,"Daihatsu",40,0.4
2007,8,"Lexus",30,0.3
2007,8,"Land Rover",28,0.3
2007,8,"MINI",24,0.2
2007,8,"Fiat",23,0.2
2007,8,"Dodge",13,0.1
2007,8,"Smart",13,0.1
2007,8,"Alfa Romeo",12,0.1
2007,8,"Jaguar",5,0
2007,8,"Ssangyong",3,0
2007,8,"Cadillac",3,0
2007,8,"Chrysler",1,0
2007,8,"Porsche",1,0
2007,8,"Iveco",1,0
2007,8,"Think",1,0
2007,8,"Lancia",1,0
2007,9,"Volkswagen",1373,14.7
2007,9,"Toyota",1303,14
2007,9,"Ford",679,7.3
2007,9,"Volvo",662,7.1
2007,9,"Mitsubishi",553,5.9
2007,9,"Nissan",432,4.6
2007,9,"Peugeot",426,4.6
2007,9,"Opel",414,4.4
2007,9,"Audi",393,4.2
2007,9,"Honda",358,3.8
2007,9,"Skoda",354,3.8
2007,9,"Suzuki",314,3.4
2007,9,"Mercedes-Benz",298,3.2
2007,9,"BMW",271,2.9
2007,9,"Mazda",266,2.8
2007,9,"Hyundai",247,2.6
2007,9,"Saab",220,2.4
2007,9,"Citroen",184,2
2007,9,"Kia",158,1.7
2007,9,"Subaru",85,0.9
2007,9,"Renault",69,0.7
2007,9,"Chevrolet",57,0.6
2007,9,"Jeep",34,0.4
2007,9,"Land Rover",32,0.3
2007,9,"Fiat",32,0.3
2007,9,"MINI",26,0.3
2007,9,"Daihatsu",26,0.3
2007,9,"Lexus",25,0.3
2007,9,"Alfa Romeo",15,0.2
2007,9,"Dodge",12,0.1
2007,9,"Jaguar",5,0.1
2007,9,"Chrysler",4,0
2007,9,"Porsche",4,0
2007,9,"Smart",3,0
2007,9,"Ssangyong",2,0
2007,9,"Nilsson",1,0
2007,9,"Morgan",1,0
2007,9,"Lancia",1,0
2007,9,"Maserati",1,0
2007,10,"Volkswagen",1941,16.7
2007,10,"Toyota",1648,14.2
2007,10,"Volvo",1014,8.7
2007,10,"Peugeot",707,6.1
2007,10,"Ford",693,6
2007,10,"BMW",562,4.8
2007,10,"Audi",554,4.8
2007,10,"Opel",547,4.7
2007,10,"Nissan",518,4.4
2007,10,"Skoda",438,3.8
2007,10,"Honda",428,3.7
2007,10,"Mercedes-Benz",376,3.2
2007,10,"Suzuki",333,2.9
2007,10,"Mitsubishi",324,2.8
2007,10,"Mazda",247,2.1
2007,10,"Saab",234,2
2007,10,"Hyundai",220,1.9
2007,10,"Citroen",202,1.7
2007,10,"Kia",145,1.2
2007,10,"Subaru",141,1.2
2007,10,"Renault",75,0.6
2007,10,"Jeep",52,0.4
2007,10,"Chevrolet",47,0.4
2007,10,"Land Rover",39,0.3
2007,10,"Fiat",28,0.2
2007,10,"Daihatsu",27,0.2
2007,10,"MINI",26,0.2
2007,10,"Lexus",23,0.2
2007,10,"Dodge",21,0.2
2007,10,"Alfa Romeo",10,0.1
2007,10,"Jaguar",7,0.1
2007,10,"Smart",6,0.1
2007,10,"Chrysler",4,0
2007,10,"Porsche",3,0
2007,10,"Ssangyong",1,0
2007,10,"Cadillac",1,0
2007,10,"Nilsson",1,0
2007,10,"Chevrolet US",1,0
2007,10,"Maserati",1,0
2007,10,"Isuzu",1,0
2007,11,"Toyota",1579,15.1
2007,11,"Volkswagen",1473,14.1
2007,11,"Volvo",710,6.8
2007,11,"Ford",566,5.4
2007,11,"Nissan",530,5.1
2007,11,"BMW",525,5
2007,11,"Honda",509,4.9
2007,11,"Peugeot",479,4.6
2007,11,"Opel",477,4.6
2007,11,"Audi",448,4.3
2007,11,"Skoda",447,4.3
2007,11,"Mercedes-Benz",447,4.3
2007,11,"Suzuki",310,3
2007,11,"Mitsubishi",299,2.9
2007,11,"Mazda",287,2.7
2007,11,"Saab",233,2.2
2007,11,"Subaru",220,2.1
2007,11,"Citroen",206,2
2007,11,"Kia",161,1.5
2007,11,"Hyundai",156,1.5
2007,11,"Renault",74,0.7
2007,11,"Chevrolet",50,0.5
2007,11,"MINI",48,0.5
2007,11,"Jeep",46,0.4
2007,11,"Fiat",40,0.4
2007,11,"Dodge",25,0.2
2007,11,"Land Rover",23,0.2
2007,11,"Lexus",22,0.2
2007,11,"Daihatsu",19,0.2
2007,11,"Alfa Romeo",18,0.2
2007,11,"Chrysler",9,0.1
2007,11,"Jaguar",7,0.1
2007,11,"Porsche",3,0
2007,11,"Ssangyong",3,0
2007,11,"Smart",2,0
2007,11,NA,1,0
2007,11,"Maserati",1,0
2007,12,"Volkswagen",1272,13.8
2007,12,"Toyota",1081,11.7
2007,12,"Ford",821,8.9
2007,12,"Volvo",641,7
2007,12,"Skoda",578,6.3
2007,12,"BMW",512,5.6
2007,12,"Opel",481,5.2
2007,12,"Honda",471,5.1
2007,12,"Audi",462,5
2007,12,"Mercedes-Benz",456,4.9
2007,12,"Mitsubishi",351,3.8
2007,12,"Saab",307,3.3
2007,12,"Nissan",244,2.6
2007,12,"Peugeot",225,2.4
2007,12,"Subaru",224,2.4
2007,12,"Suzuki",201,2.2
2007,12,"Mazda",194,2.1
2007,12,"Kia",132,1.4
2007,12,"Hyundai",128,1.4
2007,12,"Citroen",120,1.3
2007,12,"Renault",57,0.6
2007,12,"Land Rover",56,0.6
2007,12,"Chevrolet",44,0.5
2007,12,"Jeep",43,0.5
2007,12,"MINI",28,0.3
2007,12,"Alfa Romeo",21,0.2
2007,12,"Daihatsu",16,0.2
2007,12,"Dodge",16,0.2
2007,12,"Lexus",10,0.1
2007,12,"Fiat",9,0.1
2007,12,"Smart",6,0.1
2007,12,"Chrysler",4,0
2007,12,"Ssangyong",3,0
2007,12,"Jaguar",2,0
2007,12,"Porsche",2,0
2007,12,"Cadillac",1,0
2007,12,"Nilsson",1,0
2007,12,"Maserati",1,0
2007,12,"Bentley",1,0
2008,1,"Toyota",1758,17.8
2008,1,"Volkswagen",1224,12.4
2008,1,"Ford",942,9.5
2008,1,"Volvo",593,6
2008,1,"Peugeot",592,6
2008,1,"Honda",549,5.5
2008,1,"Nissan",472,4.8
2008,1,"Audi",429,4.3
2008,1,"Mercedes-Benz",374,3.8
2008,1,"BMW",368,3.7
2008,1,"Skoda",360,3.6
2008,1,"Suzuki",344,3.5
2008,1,"Mitsubishi",337,3.4
2008,1,"Opel",334,3.4
2008,1,"Mazda",280,2.8
2008,1,"Subaru",161,1.6
2008,1,"Citroen",146,1.5
2008,1,"Saab",114,1.2
2008,1,"Kia",111,1.1
2008,1,"Hyundai",97,1
2008,1,"Renault",59,0.6
2008,1,"MINI",55,0.6
2008,1,"Jeep",32,0.3
2008,1,"Lexus",30,0.3
2008,1,"Chevrolet",28,0.3
2008,1,"Daihatsu",24,0.2
2008,1,"Fiat",22,0.2
2008,1,"Land Rover",21,0.2
2008,1,"Dodge",16,0.2
2008,1,"Alfa Romeo",15,0.2
2008,1,"Chrysler",5,0.1
2008,1,"Smart",4,0
2008,1,"Nilsson",3,0
2008,1,"Jaguar",2,0
2008,2,"Volkswagen",1767,16.7
2008,2,"Toyota",1494,14.1
2008,2,"Ford",1016,9.6
2008,2,"Volvo",684,6.5
2008,2,"Nissan",635,6
2008,2,"Audi",486,4.6
2008,2,"BMW",474,4.5
2008,2,"Peugeot",467,4.4
2008,2,"Skoda",426,4
2008,2,"Honda",405,3.8
2008,2,"Mitsubishi",397,3.8
2008,2,"Opel",381,3.6
2008,2,"Suzuki",362,3.4
2008,2,"Mazda",305,2.9
2008,2,"Mercedes-Benz",291,2.8
2008,2,"Subaru",153,1.4
2008,2,"Citroen",148,1.4
2008,2,"Kia",133,1.3
2008,2,"Saab",132,1.2
2008,2,"Hyundai",128,1.2
2008,2,"Renault",48,0.5
2008,2,"MINI",41,0.4
2008,2,"Jeep",39,0.4
2008,2,"Daihatsu",26,0.2
2008,2,"Chevrolet",21,0.2
2008,2,"Dodge",20,0.2
2008,2,"Fiat",19,0.2
2008,2,"Land Rover",16,0.2
2008,2,"Lexus",15,0.1
2008,2,"Alfa Romeo",8,0.1
2008,2,"Porsche",7,0.1
2008,2,"Jaguar",6,0.1
2008,2,"Chrysler",4,0
2008,2,"Think",4,0
2008,2,"Nilsson",2,0
2008,2,"Ferrari",2,0
2008,2,"Ssangyong",2,0
2008,2,"Smart",1,0
2008,2,"Cadillac",1,0
2008,2,"Maserati",1,0
2008,3,"Volkswagen",1503,15.8
2008,3,"Toyota",1338,14.1
2008,3,"Ford",713,7.5
2008,3,"Mitsubishi",584,6.1
2008,3,"Volvo",557,5.9
2008,3,"Mazda",514,5.4
2008,3,"Peugeot",502,5.3
2008,3,"Audi",478,5
2008,3,"Skoda",455,4.8
2008,3,"Nissan",431,4.5
2008,3,"BMW",379,4
2008,3,"Opel",312,3.3
2008,3,"Honda",293,3.1
2008,3,"Suzuki",273,2.9
2008,3,"Mercedes-Benz",243,2.6
2008,3,"Hyundai",175,1.8
2008,3,"Subaru",163,1.7
2008,3,"Kia",120,1.3
2008,3,"Saab",106,1.1
2008,3,"Citroen",105,1.1
2008,3,"Renault",55,0.6
2008,3,"Chevrolet",37,0.4
2008,3,"MINI",28,0.3
2008,3,"Jeep",28,0.3
2008,3,"Daihatsu",25,0.3
2008,3,"Land Rover",22,0.2
2008,3,"Fiat",17,0.2
2008,3,"Dodge",12,0.1
2008,3,"Lexus",11,0.1
2008,3,"Alfa Romeo",8,0.1
2008,3,"Jaguar",8,0.1
2008,3,"Porsche",2,0
2008,3,"Smart",2,0
2008,3,"Chrysler",1,0
2008,3,"Nilsson",1,0
2008,3,"Ssangyong",1,0
2008,3,"Cadillac",1,0
2008,3,"Aston Martin",1,0
2008,3,"Bentley",1,0
2008,3,"Lancia",1,0
2008,4,"Volkswagen",1795,15.3
2008,4,"Toyota",1528,13.1
2008,4,"Ford",854,7.3
2008,4,"Volvo",732,6.3
2008,4,"Peugeot",662,5.7
2008,4,"Audi",662,5.7
2008,4,"Mitsubishi",620,5.3
2008,4,"BMW",593,5.1
2008,4,"Skoda",537,4.6
2008,4,"Mercedes-Benz",480,4.1
2008,4,"Nissan",456,3.9
2008,4,"Opel",412,3.5
2008,4,"Suzuki",367,3.1
2008,4,"Honda",364,3.1
2008,4,"Mazda",317,2.7
2008,4,"Subaru",240,2.1
2008,4,"Hyundai",187,1.6
2008,4,"Saab",178,1.5
2008,4,"Citroen",170,1.5
2008,4,"Renault",109,0.9
2008,4,"Kia",86,0.7
2008,4,"Fiat",72,0.6
2008,4,"MINI",44,0.4
2008,4,"Chevrolet",43,0.4
2008,4,"Jeep",34,0.3
2008,4,"Daihatsu",26,0.2
2008,4,"Land Rover",24,0.2
2008,4,"Jaguar",19,0.2
2008,4,"Dodge",18,0.2
2008,4,"Lexus",17,0.1
2008,4,"Iveco",13,0.1
2008,4,"Alfa Romeo",9,0.1
2008,4,"Smart",8,0.1
2008,4,"Morgan",8,0.1
2008,4,"Chrysler",6,0.1
2008,4,"Nilsson",6,0.1
2008,4,"Porsche",2,0
2008,4,"Aston Martin",2,0
2008,4,"Ssangyong",1,0
2008,4,"Ferrari",1,0
2008,4,"Maserati",1,0
2008,4,"Isuzu",1,0
2008,5,"Volkswagen",1402,13.7
2008,5,"Toyota",1259,12.3
2008,5,"Ford",984,9.6
2008,5,"Volvo",724,7.1
2008,5,"Peugeot",590,5.8
2008,5,"Audi",569,5.6
2008,5,"Nissan",474,4.6
2008,5,"Skoda",466,4.6
2008,5,"BMW",441,4.3
2008,5,"Opel",437,4.3
2008,5,"Mercedes-Benz",392,3.8
2008,5,"Mazda",345,3.4
2008,5,"Mitsubishi",321,3.1
2008,5,"Suzuki",304,3
2008,5,"Honda",302,3
2008,5,"Citroen",217,2.1
2008,5,"Subaru",199,1.9
2008,5,"Saab",175,1.7
2008,5,"Hyundai",155,1.5
2008,5,"Kia",107,1
2008,5,"Fiat",74,0.7
2008,5,"Renault",67,0.7
2008,5,"Chevrolet",30,0.3
2008,5,"Jeep",25,0.2
2008,5,"Jaguar",25,0.2
2008,5,"MINI",22,0.2
2008,5,"Daihatsu",22,0.2
2008,5,"Land Rover",21,0.2
2008,5,"Dodge",19,0.2
2008,5,"Lexus",14,0.1
2008,5,"Chrysler",7,0.1
2008,5,"Iveco",7,0.1
2008,5,"Smart",6,0.1
2008,5,"Alfa Romeo",4,0
2008,5,"Porsche",3,0
2008,5,"Nilsson",2,0
2008,5,"Ssangyong",2,0
2008,5,"Maserati",2,0
2008,5,"Morgan",1,0
2008,5,"Koenigsegg",1,0
2008,6,"Volkswagen",1182,12.2
2008,6,"Toyota",1141,11.8
2008,6,"Ford",898,9.3
2008,6,"Audi",693,7.2
2008,6,"Volvo",672,6.9
2008,6,"BMW",593,6.1
2008,6,"Nissan",476,4.9
2008,6,"Peugeot",427,4.4
2008,6,"Opel",399,4.1
2008,6,"Skoda",370,3.8
2008,6,"Mazda",346,3.6
2008,6,"Honda",337,3.5
2008,6,"Mercedes-Benz",329,3.4
2008,6,"Mitsubishi",283,2.9
2008,6,"Suzuki",264,2.7
2008,6,"Citroen",253,2.6
2008,6,"Subaru",217,2.2
2008,6,"Saab",170,1.8
2008,6,"Hyundai",150,1.6
2008,6,"Kia",107,1.1
2008,6,"Fiat",67,0.7
2008,6,"Renault",62,0.6
2008,6,"Dodge",40,0.4
2008,6,"MINI",35,0.4
2008,6,"Chevrolet",28,0.3
2008,6,"Jeep",19,0.2
2008,6,"Daihatsu",19,0.2
2008,6,"Land Rover",19,0.2
2008,6,"Lexus",18,0.2
2008,6,"Jaguar",16,0.2
2008,6,"Alfa Romeo",11,0.1
2008,6,"Iveco",6,0.1
2008,6,"Think",6,0.1
2008,6,"Smart",4,0
2008,6,"Chrysler",3,0
2008,6,"Porsche",3,0
2008,6,"Ssangyong",2,0
2008,6,"Aston Martin",2,0
2008,6,"Cadillac",2,0
2008,6,"Morgan",1,0
2008,7,"Toyota",1315,13.7
2008,7,"Volkswagen",1203,12.5
2008,7,"Ford",1056,11
2008,7,"Volvo",601,6.3
2008,7,"Audi",594,6.2
2008,7,"Peugeot",581,6
2008,7,"Opel",472,4.9
2008,7,"Nissan",400,4.2
2008,7,"BMW",386,4
2008,7,"Mazda",362,3.8
2008,7,"Skoda",322,3.4
2008,7,"Mitsubishi",290,3
2008,7,"Honda",283,2.9
2008,7,"Suzuki",276,2.9
2008,7,"Mercedes-Benz",275,2.9
2008,7,"Subaru",206,2.1
2008,7,"Citroen",179,1.9
2008,7,"Hyundai",162,1.7
2008,7,"Saab",141,1.5
2008,7,"Kia",106,1.1
2008,7,"Renault",86,0.9
2008,7,"Think",52,0.5
2008,7,"Dodge",42,0.4
2008,7,"Fiat",37,0.4
2008,7,"Jeep",35,0.4
2008,7,"MINI",33,0.3
2008,7,"Chevrolet",28,0.3
2008,7,"Lexus",15,0.2
2008,7,"Jaguar",15,0.2
2008,7,"Alfa Romeo",15,0.2
2008,7,"Daihatsu",9,0.1
2008,7,"Land Rover",9,0.1
2008,7,"Chrysler",5,0.1
2008,7,"Ssangyong",4,0
2008,7,"Smart",2,0
2008,7,"Porsche",2,0
2008,7,"Nilsson",2,0
2008,7,"Morgan",2,0
2008,7,"Iveco",1,0
2008,7,"Maserati",1,0
2008,8,"Volkswagen",1432,18.3
2008,8,"Toyota",1002,12.8
2008,8,"Ford",658,8.4
2008,8,"Audi",574,7.3
2008,8,"Peugeot",457,5.8
2008,8,"Mazda",347,4.4
2008,8,"Skoda",327,4.2
2008,8,"Honda",312,4
2008,8,"Mercedes-Benz",295,3.8
2008,8,"Nissan",279,3.6
2008,8,"BMW",278,3.5
2008,8,"Opel",271,3.5
2008,8,"Volvo",270,3.4
2008,8,"Mitsubishi",251,3.2
2008,8,"Suzuki",206,2.6
2008,8,"Subaru",152,1.9
2008,8,"Citroen",134,1.7
2008,8,"Hyundai",111,1.4
2008,8,"Saab",73,0.9
2008,8,"Kia",59,0.8
2008,8,"Fiat",57,0.7
2008,8,"Dodge",49,0.6
2008,8,"Renault",46,0.6
2008,8,"Think",38,0.5
2008,8,"MINI",30,0.4
2008,8,"Chevrolet",26,0.3
2008,8,"Jeep",23,0.3
2008,8,"Daihatsu",19,0.2
2008,8,"Lexus",14,0.2
2008,8,"Land Rover",12,0.2
2008,8,"Alfa Romeo",11,0.1
2008,8,"Porsche",6,0.1
2008,8,"Jaguar",4,0.1
2008,8,"Chrysler",4,0.1
2008,8,"Smart",4,0.1
2008,8,"Iveco",1,0
2008,8,"Morgan",1,0
2008,9,"Toyota",1250,14.8
2008,9,"Volkswagen",1229,14.5
2008,9,"Ford",764,9
2008,9,"Audi",545,6.4
2008,9,"Volvo",457,5.4
2008,9,"Honda",394,4.7
2008,9,"Peugeot",383,4.5
2008,9,"BMW",371,4.4
2008,9,"Mazda",359,4.2
2008,9,"Nissan",319,3.8
2008,9,"Skoda",306,3.6
2008,9,"Opel",302,3.6
2008,9,"Mitsubishi",287,3.4
2008,9,"Mercedes-Benz",278,3.3
2008,9,"Hyundai",212,2.5
2008,9,"Suzuki",207,2.4
2008,9,"Subaru",197,2.3
2008,9,"Saab",132,1.6
2008,9,"Citroen",121,1.4
2008,9,"Kia",73,0.9
2008,9,"Fiat",47,0.6
2008,9,"Renault",38,0.4
2008,9,"Dodge",30,0.4
2008,9,"Chevrolet",28,0.3
2008,9,"MINI",27,0.3
2008,9,"Jeep",24,0.3
2008,9,"Lexus",18,0.2
2008,9,"Daihatsu",17,0.2
2008,9,"Land Rover",9,0.1
2008,9,"Chrysler",9,0.1
2008,9,"Jaguar",4,0
2008,9,"Alfa Romeo",4,0
2008,9,"Smart",3,0
2008,9,"Isuzu",3,0
2008,9,"Ssangyong",2,0
2008,9,"Iveco",1,0
2008,9,"Porsche",1,0
2008,9,"Cadillac",1,0
2008,9,"Lancia",1,0
2008,10,"Volkswagen",1442,17.2
2008,10,"Toyota",1247,14.9
2008,10,"Ford",701,8.4
2008,10,"Audi",578,6.9
2008,10,"Volvo",472,5.6
2008,10,"Peugeot",449,5.4
