purchase_time,purchase_date,quantity
2017-05-27 03:23:02,2017-05-27,3
2017-05-20 12:41:12,2017-05-20,5
2017-06-06 11:40:14,2017-06-06,8
2017-06-11 16:02:43,2017-06-11,1
2017-05-29 10:01:22,2017-05-29,8
2017-06-14 19:49:48,2017-06-14,5
2017-05-05 22:10:14,2017-05-05,11
2017-05-01 15:01:03,2017-05-01,2
2017-05-24 13:48:28,2017-05-24,14
2017-05-13 17:42:39,2017-05-13,2
2017-05-02 21:03:22,2017-05-02,8
2017-06-07 21:13:15,2017-06-07,9
2017-06-06 18:10:19,2017-06-06,14
2017-06-13 23:49:22,2017-06-13,9
2017-05-19 20:13:23,2017-05-19,9
2017-05-01 19:13:37,2017-05-01,1
2017-05-15 21:07:48,2017-05-15,3
2017-05-09 13:06:19,2017-05-09,2
2017-05-09 17:42:45,2017-05-09,3
2017-05-21 22:53:02,2017-05-21,14
2017-06-12 23:00:43,2017-06-12,9
2017-05-15 16:58:49,2017-05-15,13
2017-05-15 16:28:24,2017-05-15,9
2017-05-06 11:48:53,2017-05-06,4
2017-05-28 02:08:13,2017-05-28,1
2017-06-01 10:52:29,2017-06-01,1
2017-06-04 20:44:34,2017-06-04,10
2017-06-02 08:48:11,2017-06-02,5
2017-05-23 20:15:27,2017-05-23,5
2017-05-26 14:36:30,2017-05-26,13
2017-05-18 11:18:16,2017-05-18,9
2017-05-17 23:58:42,2017-05-17,12
2017-06-12 13:49:41,2017-06-12,10
2017-06-14 23:41:17,2017-06-14,4
2017-05-05 11:25:20,2017-05-05,10
2017-05-16 16:41:51,2017-05-16,5
2017-05-22 12:58:59,2017-05-22,5
2017-06-06 11:38:15,2017-06-06,4
2017-05-29 20:15:29,2017-05-29,9
2017-06-12 10:26:36,2017-06-12,1
2017-05-14 09:13:09,2017-05-14,6
2017-05-07 10:19:33,2017-05-07,13
2017-05-05 22:34:48,2017-05-05,7
2017-05-10 14:39:56,2017-05-10,6
2017-05-18 20:51:06,2017-05-18,1
2017-06-06 23:08:04,2017-06-06,9
2017-06-08 18:26:09,2017-06-08,6
2017-05-23 19:52:27,2017-05-23,8
2017-05-15 20:46:00,2017-05-15,14
2017-06-02 12:57:15,2017-06-02,11
2017-05-15 17:58:25,2017-05-15,6
2017-05-06 15:20:06,2017-05-06,9
2017-06-11 21:57:20,2017-06-11,10
2017-05-14 12:36:54,2017-05-14,5
2017-05-29 22:07:05,2017-05-29,4
2017-05-12 22:50:56,2017-05-12,10
2017-06-09 13:14:12,2017-06-09,2
2017-05-21 23:42:14,2017-05-21,10
2017-06-14 20:22:18,2017-06-14,2
2017-05-01 16:12:39,2017-05-01,10
2017-05-06 02:54:13,2017-05-06,7
2017-05-13 13:16:20,2017-05-13,14
2017-06-13 21:10:05,2017-06-13,7
2017-05-25 12:51:37,2017-05-25,9
2017-05-16 12:28:32,2017-05-16,7
2017-06-06 21:40:51,2017-06-06,6
2017-06-05 15:51:51,2017-06-05,4
2017-06-05 09:51:37,2017-06-05,9
2017-05-17 15:08:18,2017-05-17,9
2017-05-17 10:45:24,2017-05-17,1
2017-05-19 16:28:13,2017-05-19,9
2017-06-12 10:42:00,2017-06-12,6
2017-06-05 21:14:52,2017-06-05,8
2017-05-15 21:52:26,2017-05-15,14
2017-05-07 18:53:52,2017-05-07,9
2017-05-24 13:44:09,2017-05-24,12
2017-05-03 15:03:59,2017-05-03,10
2017-05-23 08:19:07,2017-05-23,11
2017-05-26 16:43:10,2017-05-26,2
2017-05-07 22:09:14,2017-05-07,1
2017-06-01 14:58:11,2017-06-01,11
2017-06-03 10:47:56,2017-06-03,4
2017-05-23 10:24:45,2017-05-23,2
2017-05-07 16:47:29,2017-05-07,4
2017-05-25 11:32:14,2017-05-25,14
2017-05-22 15:12:29,2017-05-22,9
2017-05-19 15:20:58,2017-05-19,8
2017-05-23 11:54:23,2017-05-23,6
2017-05-30 20:44:31,2017-05-30,13
2017-05-19 22:46:23,2017-05-19,14
2017-06-08 17:30:42,2017-06-08,12
2017-05-29 18:10:06,2017-05-29,3
2017-06-01 10:42:34,2017-06-01,5
2017-06-14 17:34:55,2017-06-14,13
2017-06-14 11:38:11,2017-06-14,6
2017-06-01 21:09:51,2017-06-01,12
2017-05-17 11:07:52,2017-05-17,12
2017-06-03 16:52:47,2017-06-03,2
2017-05-29 09:28:35,2017-05-29,13
2017-05-16 13:58:54,2017-05-16,1
2017-06-14 16:29:40,2017-06-14,14
2017-05-18 23:25:09,2017-05-18,2
2017-05-10 19:29:00,2017-05-10,12
2017-05-17 22:16:39,2017-05-17,3
2017-05-25 10:27:40,2017-05-25,4
2017-05-12 10:17:23,2017-05-12,1
2017-05-13 11:51:34,2017-05-13,1
2017-06-10 13:07:03,2017-06-10,5
2017-05-08 12:20:41,2017-05-08,10
2017-06-09 10:05:46,2017-06-09,6
2017-06-02 09:35:21,2017-06-02,3
2017-05-15 11:20:05,2017-05-15,6
2017-05-27 00:55:16,2017-05-27,2
2017-05-23 08:18:32,2017-05-23,2
2017-06-15 17:52:57,2017-06-15,8
2017-05-27 11:19:04,2017-05-27,11
2017-05-21 09:02:27,2017-05-21,10
2017-06-13 15:50:59,2017-06-13,13
2017-05-09 12:22:51,2017-05-09,13
2017-05-04 15:20:54,2017-05-04,3
2017-06-02 16:17:33,2017-06-02,1
2017-05-23 08:51:27,2017-05-23,8
2017-06-05 13:40:45,2017-06-05,8
2017-05-31 13:21:35,2017-05-31,13
2017-05-22 21:19:41,2017-05-22,11
2017-05-22 17:45:32,2017-05-22,2
2017-06-12 11:00:02,2017-06-12,9
2017-05-11 13:14:01,2017-05-11,10
2017-06-03 19:59:55,2017-06-03,12
2017-06-08 10:51:40,2017-06-08,7
2017-05-31 17:06:39,2017-05-31,8
2017-06-12 15:20:54,2017-06-12,6
2017-05-15 17:42:38,2017-05-15,10
2017-05-24 18:14:34,2017-05-24,1
2017-06-12 13:55:51,2017-06-12,8
2017-05-16 17:48:36,2017-05-16,7
2017-06-10 18:08:15,2017-06-10,12
2017-05-25 00:11:01,2017-05-25,6
2017-05-01 10:23:49,2017-05-01,9
2017-06-14 12:52:00,2017-06-14,4
2017-05-01 09:54:59,2017-05-01,5
2017-06-11 00:04:07,2017-06-11,5
2017-05-10 20:47:02,2017-05-10,9
2017-05-07 12:47:29,2017-05-07,10
2017-05-18 09:48:49,2017-05-18,2
2017-05-17 22:58:25,2017-05-17,1
2017-05-14 20:34:04,2017-05-14,1
2017-06-05 14:15:53,2017-06-05,11
2017-05-26 16:09:19,2017-05-26,10
2017-05-30 22:46:05,2017-05-30,1
2017-05-14 22:34:09,2017-05-14,6
2017-05-09 12:36:05,2017-05-09,13
2017-05-24 15:41:44,2017-05-24,3
2017-05-22 11:43:01,2017-05-22,10
2017-05-26 02:28:47,2017-05-26,14
2017-05-07 19:13:36,2017-05-07,10
2017-05-27 23:34:01,2017-05-27,13
2017-05-30 17:31:27,2017-05-30,3
2017-06-03 10:33:55,2017-06-03,8
2017-05-15 13:52:08,2017-05-15,12
2017-06-09 15:12:46,2017-06-09,9
2017-05-08 15:15:49,2017-05-08,8
2017-05-31 13:55:04,2017-05-31,5
2017-05-28 13:55:44,2017-05-28,13
2017-06-05 23:05:44,2017-06-05,1
2017-06-14 19:52:30,2017-06-14,14
2017-05-23 17:02:02,2017-05-23,5
2017-05-24 18:03:51,2017-05-24,5
2017-05-31 16:27:58,2017-05-31,1
2017-05-10 15:34:59,2017-05-10,1
2017-06-08 11:06:12,2017-06-08,5
2017-05-13 15:45:59,2017-05-13,4
2017-05-03 09:01:56,2017-05-03,12
2017-06-09 09:29:29,2017-06-09,8
2017-05-09 14:58:25,2017-05-09,7
2017-05-20 02:38:23,2017-05-20,4
2017-05-28 09:37:43,2017-05-28,5
2017-05-09 20:57:22,2017-05-09,1
2017-05-30 09:39:34,2017-05-30,10
2017-06-14 02:03:11,2017-06-14,6
2017-06-03 15:30:37,2017-06-03,3
2017-06-12 09:07:29,2017-06-12,11
2017-05-18 10:54:12,2017-05-18,14
2017-06-14 17:15:36,2017-06-14,7
2017-05-26 23:43:10,2017-05-26,10
2017-05-11 20:29:29,2017-05-11,14
2017-06-13 12:29:44,2017-06-13,11
2017-05-23 10:24:06,2017-05-23,1
2017-05-11 14:20:51,2017-05-11,6
2017-05-16 18:59:44,2017-05-16,10
2017-06-13 19:11:52,2017-06-13,9
2017-05-07 14:06:45,2017-05-07,4
2017-06-06 10:03:27,2017-06-06,11
2017-05-26 16:12:07,2017-05-26,12
2017-05-12 15:01:20,2017-05-12,11
2017-06-06 21:33:06,2017-06-06,9
2017-05-16 12:32:35,2017-05-16,11
2017-05-03 16:07:37,2017-05-03,14
2017-06-11 22:11:23,2017-06-11,13
2017-05-28 23:17:07,2017-05-28,4
2017-05-18 15:47:22,2017-05-18,10
2017-05-21 16:31:12,2017-05-21,13
2017-06-02 21:34:16,2017-06-02,10
2017-05-26 14:23:57,2017-05-26,13
2017-06-02 11:59:53,2017-06-02,2
2017-06-06 12:14:02,2017-06-06,6
2017-06-03 11:32:48,2017-06-03,14
2017-06-02 09:54:08,2017-06-02,1
2017-06-15 20:23:00,2017-06-15,11
2017-05-06 11:54:20,2017-05-06,3
2017-05-26 23:17:06,2017-05-26,7
2017-05-23 11:09:34,2017-05-23,4
2017-05-25 22:27:50,2017-05-25,8
2017-05-09 11:39:21,2017-05-09,13
2017-06-14 13:40:50,2017-06-14,2
2017-05-25 21:45:54,2017-05-25,4
2017-05-28 23:57:50,2017-05-28,3
2017-06-10 00:43:02,2017-06-10,14
2017-05-24 15:41:46,2017-05-24,1
2017-05-23 16:32:06,2017-05-23,6
2017-06-11 11:50:32,2017-06-11,2
2017-05-29 11:26:22,2017-05-29,10
2017-05-22 23:20:39,2017-05-22,14
2017-06-14 15:39:33,2017-06-14,3
2017-05-27 16:15:38,2017-05-27,5
2017-06-13 12:22:32,2017-06-13,11
2017-05-28 19:17:48,2017-05-28,4
2017-05-02 07:08:01,2017-05-02,2
2017-05-31 19:37:02,2017-05-31,1
2017-05-06 14:12:27,2017-05-06,5
2017-06-04 20:04:31,2017-06-04,9
2017-05-09 22:14:40,2017-05-09,9
2017-05-05 11:11:25,2017-05-05,7
2017-05-26 09:19:13,2017-05-26,4
2017-05-06 21:09:38,2017-05-06,9
2017-05-24 21:02:39,2017-05-24,13
2017-06-11 20:50:58,2017-06-11,9
2017-06-04 10:37:20,2017-06-04,7
2017-05-02 13:43:15,2017-05-02,9
2017-05-15 13:34:32,2017-05-15,11
2017-05-13 15:28:28,2017-05-13,4
2017-05-15 17:13:19,2017-05-15,2
2017-05-26 15:26:26,2017-05-26,8
2017-06-06 13:17:50,2017-06-06,8
2017-05-20 15:38:28,2017-05-20,11
2017-05-07 19:46:39,2017-05-07,1
2017-05-25 16:20:36,2017-05-25,1
2017-05-15 16:02:25,2017-05-15,5
2017-06-05 16:53:50,2017-06-05,2
2017-05-02 21:57:18,2017-05-02,2
2017-05-28 22:52:54,2017-05-28,7
2017-05-28 14:44:20,2017-05-28,8
2017-05-31 09:19:17,2017-05-31,10
2017-06-08 20:32:53,2017-06-08,6
2017-05-18 12:41:57,2017-05-18,5
2017-05-31 17:35:20,2017-05-31,5
2017-06-10 22:04:51,2017-06-10,12
2017-05-08 17:51:05,2017-05-08,2
2017-05-11 22:41:34,2017-05-11,4
2017-05-04 20:37:29,2017-05-04,6
2017-05-19 21:20:54,2017-05-19,4
2017-05-08 21:40:05,2017-05-08,2
2017-05-27 13:08:23,2017-05-27,5
2017-05-17 17:38:51,2017-05-17,6
2017-05-05 23:41:13,2017-05-05,7
2017-05-01 18:58:53,2017-05-01,9
2017-05-07 13:17:56,2017-05-07,11
2017-05-03 12:57:41,2017-05-03,6
2017-05-09 15:22:24,2017-05-09,8
2017-05-21 08:00:01,2017-05-21,13
2017-06-13 22:33:24,2017-06-13,14
2017-05-04 15:06:03,2017-05-04,3
2017-05-18 09:34:55,2017-05-18,7
2017-06-13 14:09:06,2017-06-13,13
2017-06-10 09:26:58,2017-06-10,3
2017-05-05 15:30:07,2017-05-05,5
2017-05-21 22:38:54,2017-05-21,8
2017-06-08 09:18:19,2017-06-08,12
2017-05-29 13:57:10,2017-05-29,3
2017-06-15 12:09:58,2017-06-15,1
2017-06-07 10:04:14,2017-06-07,14
2017-06-12 22:09:27,2017-06-12,12
2017-06-04 10:12:15,2017-06-04,11
2017-06-15 15:00:43,2017-06-15,12
2017-05-23 13:54:36,2017-05-23,11
2017-05-15 10:17:58,2017-05-15,9
2017-05-04 19:13:41,2017-05-04,2
2017-05-07 22:51:39,2017-05-07,8
2017-06-07 17:22:21,2017-06-07,12
2017-05-12 21:31:59,2017-05-12,5
2017-05-30 15:08:01,2017-05-30,6
2017-05-17 19:14:22,2017-05-17,1
2017-05-22 16:29:35,2017-05-22,7
2017-05-09 18:59:16,2017-05-09,10
2017-06-05 17:16:12,2017-06-05,14
2017-06-03 12:46:36,2017-06-03,2
2017-05-24 15:26:48,2017-05-24,9
2017-05-21 17:14:20,2017-05-21,12
2017-05-10 08:06:25,2017-05-10,2
2017-06-09 11:21:48,2017-06-09,8
2017-05-24 18:49:11,2017-05-24,12
2017-06-07 16:36:57,2017-06-07,3
2017-05-29 10:28:42,2017-05-29,12
2017-05-17 09:18:35,2017-05-17,11
2017-06-07 15:37:09,2017-06-07,8
2017-05-07 13:05:07,2017-05-07,7
2017-06-05 22:54:29,2017-06-05,8
2017-05-31 19:02:28,2017-05-31,10
2017-05-05 13:42:09,2017-05-05,11
2017-05-02 16:01:55,2017-05-02,2
2017-05-02 10:18:30,2017-05-02,9
2017-06-11 18:01:24,2017-06-11,5
2017-06-11 15:11:14,2017-06-11,8
2017-06-05 19:49:01,2017-06-05,5
2017-05-15 12:07:03,2017-05-15,10
2017-05-15 08:58:47,2017-05-15,9
2017-05-16 08:54:42,2017-05-16,5
2017-06-11 17:20:01,2017-06-11,2
2017-06-05 21:13:03,2017-06-05,12
2017-05-09 22:22:40,2017-05-09,6
2017-05-03 08:19:20,2017-05-03,8
2017-05-05 09:56:53,2017-05-05,8
2017-05-20 17:37:50,2017-05-20,3
2017-06-11 10:51:07,2017-06-11,6
2017-06-14 23:43:18,2017-06-14,3
2017-06-06 11:27:10,2017-06-06,10
2017-05-27 04:22:55,2017-05-27,9
2017-06-04 22:40:48,2017-06-04,3
2017-06-12 12:04:09,2017-06-12,4
2017-05-16 17:01:17,2017-05-16,11
2017-05-10 21:31:45,2017-05-10,2
2017-05-07 14:30:08,2017-05-07,4
2017-06-14 21:18:03,2017-06-14,13
2017-06-11 09:33:54,2017-06-11,5
2017-05-29 22:38:17,2017-05-29,2
2017-06-01 12:58:16,2017-06-01,8
2017-06-14 11:59:31,2017-06-14,6
2017-05-17 16:05:12,2017-05-17,3
2017-06-05 11:38:20,2017-06-05,11
2017-05-06 19:09:33,2017-05-06,6
2017-06-04 12:58:18,2017-06-04,13
2017-05-18 08:42:35,2017-05-18,12
2017-05-02 14:07:29,2017-05-02,2
2017-05-15 22:40:37,2017-05-15,3
2017-06-06 19:29:43,2017-06-06,12
2017-05-09 14:21:21,2017-05-09,11
2017-05-13 15:39:44,2017-05-13,9
2017-05-18 13:31:00,2017-05-18,14
2017-06-03 12:11:13,2017-06-03,13
2017-05-16 13:13:37,2017-05-16,9
2017-05-14 13:56:56,2017-05-14,6
2017-05-21 18:23:37,2017-05-21,10
2017-05-22 20:12:54,2017-05-22,8
2017-05-18 20:45:33,2017-05-18,1
2017-05-24 16:04:13,2017-05-24,13
2017-05-21 13:13:54,2017-05-21,6
2017-06-05 18:23:47,2017-06-05,7
2017-05-03 13:11:43,2017-05-03,13
2017-06-02 20:47:40,2017-06-02,11
2017-06-04 10:16:12,2017-06-04,13
2017-05-03 20:18:51,2017-05-03,6
2017-06-10 16:37:49,2017-06-10,11
2017-05-05 14:21:17,2017-05-05,1
2017-06-04 17:44:18,2017-06-04,11
2017-05-12 08:59:53,2017-05-12,14
2017-05-19 15:56:06,2017-05-19,2
2017-05-30 18:19:31,2017-05-30,2
2017-05-20 19:45:02,2017-05-20,2
2017-06-05 13:16:58,2017-06-05,6
2017-06-08 13:23:59,2017-06-08,11
2017-06-12 10:06:50,2017-06-12,9
2017-05-07 22:18:47,2017-05-07,5
2017-05-19 12:41:28,2017-05-19,5
2017-05-15 10:14:17,2017-05-15,11
2017-06-04 12:37:28,2017-06-04,6
2017-05-21 09:58:15,2017-05-21,12
2017-05-11 16:21:10,2017-05-11,12
2017-05-03 15:55:07,2017-05-03,1
2017-06-06 23:09:17,2017-06-06,5
2017-05-07 14:06:36,2017-05-07,7
2017-05-17 18:14:31,2017-05-17,10
2017-05-23 12:22:02,2017-05-23,8
2017-05-04 13:24:53,2017-05-04,13
2017-05-16 11:26:30,2017-05-16,3
2017-05-25 11:07:58,2017-05-25,11
2017-06-05 09:11:38,2017-06-05,4
2017-06-10 16:44:21,2017-06-10,4
2017-06-08 23:53:09,2017-06-08,5
2017-05-05 13:26:31,2017-05-05,9
2017-05-21 11:36:14,2017-05-21,1
2017-05-16 15:18:56,2017-05-16,4
2017-05-06 22:22:58,2017-05-06,7
2017-05-21 07:58:02,2017-05-21,13
2017-06-01 15:40:16,2017-06-01,13
2017-05-05 00:16:57,2017-05-05,5
2017-05-24 08:28:28,2017-05-24,4
2017-06-10 13:45:16,2017-06-10,8
2017-06-03 10:35:15,2017-06-03,11
2017-05-24 17:12:33,2017-05-24,12
2017-05-10 11:52:51,2017-05-10,13
2017-06-10 22:50:40,2017-06-10,7
2017-05-19 15:52:45,2017-05-19,3
2017-06-11 23:41:58,2017-06-11,4
2017-06-04 18:53:47,2017-06-04,9
2017-05-09 17:54:17,2017-05-09,14
2017-05-19 14:25:52,2017-05-19,9
2017-05-29 15:07:16,2017-05-29,6
2017-05-27 11:15:45,2017-05-27,5
2017-06-10 16:30:10,2017-06-10,12
2017-05-25 22:33:25,2017-05-25,10
2017-05-21 10:32:54,2017-05-21,5
2017-05-08 18:46:53,2017-05-08,7
2017-05-27 13:38:26,2017-05-27,7
2017-06-15 11:12:45,2017-06-15,10
2017-05-29 13:06:03,2017-05-29,4
2017-05-24 08:14:50,2017-05-24,10
2017-05-22 17:19:19,2017-05-22,12
2017-05-03 13:06:02,2017-05-03,11
2017-06-05 15:30:52,2017-06-05,7
2017-05-02 03:48:26,2017-05-02,10
2017-05-11 11:20:45,2017-05-11,5
2017-05-27 18:42:41,2017-05-27,3
2017-05-03 21:31:55,2017-05-03,14
2017-05-12 20:43:44,2017-05-12,4
2017-05-26 16:15:49,2017-05-26,4
2017-05-09 20:49:48,2017-05-09,14
2017-05-07 18:34:36,2017-05-07,11
2017-06-07 15:04:13,2017-06-07,8
2017-05-21 08:00:00,2017-05-21,10
2017-05-08 22:39:37,2017-05-08,13
2017-06-01 23:10:52,2017-06-01,8
2017-06-15 19:25:50,2017-06-15,4
2017-05-07 12:42:56,2017-05-07,1
2017-05-30 14:31:52,2017-05-30,11
2017-05-17 14:33:51,2017-05-17,2
2017-05-06 09:26:55,2017-05-06,8
2017-05-22 12:15:02,2017-05-22,13
2017-05-15 21:24:52,2017-05-15,6
2017-05-30 07:59:07,2017-05-30,3
2017-05-18 17:25:34,2017-05-18,14
2017-05-02 22:19:11,2017-05-02,7
2017-05-04 20:12:50,2017-05-04,9
2017-05-04 15:19:42,2017-05-04,4
2017-06-08 14:04:48,2017-06-08,4
2017-05-04 19:35:21,2017-05-04,11
2017-06-02 09:40:36,2017-06-02,14
2017-05-06 12:16:26,2017-05-06,11
2017-05-24 21:02:43,2017-05-24,4
2017-06-07 13:22:27,2017-06-07,3
2017-06-08 21:32:05,2017-06-08,10
2017-06-05 18:53:21,2017-06-05,1
2017-05-25 11:43:12,2017-05-25,14
2017-05-26 22:34:37,2017-05-26,11
2017-05-30 19:27:49,2017-05-30,11
2017-05-01 23:09:52,2017-05-01,9
2017-05-18 15:32:21,2017-05-18,7
2017-06-13 22:28:55,2017-06-13,1
2017-06-06 16:12:20,2017-06-06,11
2017-06-04 17:42:46,2017-06-04,2
2017-05-18 20:46:41,2017-05-18,5
2017-06-06 11:18:31,2017-06-06,2
2017-05-17 10:19:05,2017-05-17,3
2017-05-03 09:56:04,2017-05-03,2
2017-06-01 18:51:45,2017-06-01,14
2017-05-04 08:25:50,2017-05-04,4
2017-06-10 12:02:53,2017-06-10,3
2017-05-24 18:59:10,2017-05-24,6
2017-06-14 18:31:54,2017-06-14,5
2017-05-06 21:08:35,2017-05-06,11
2017-06-13 22:30:27,2017-06-13,4
2017-06-04 19:58:38,2017-06-04,1
2017-05-29 12:07:06,2017-05-29,11
2017-06-03 12:36:33,2017-06-03,12
2017-06-02 13:14:46,2017-06-02,11
2017-05-08 23:20:58,2017-05-08,10
2017-05-19 13:05:48,2017-05-19,8
2017-05-17 09:03:36,2017-05-17,14
2017-05-15 12:07:20,2017-05-15,12
2017-06-14 19:06:02,2017-06-14,10
2017-05-27 00:14:22,2017-05-27,9
2017-05-07 12:01:10,2017-05-07,5
2017-05-29 20:54:28,2017-05-29,11
2017-05-06 13:58:00,2017-05-06,2
2017-05-20 19:09:21,2017-05-20,13
2017-06-07 23:50:23,2017-06-07,11
2017-06-05 02:27:32,2017-06-05,13
2017-05-25 01:04:34,2017-05-25,12
2017-06-05 14:48:21,2017-06-05,11
2017-06-01 17:00:55,2017-06-01,13
2017-05-16 12:28:33,2017-05-16,14
2017-05-05 18:34:34,2017-05-05,8
2017-05-25 14:33:46,2017-05-25,9
2017-06-02 16:42:13,2017-06-02,4
2017-05-01 22:12:51,2017-05-01,14
2017-06-06 20:31:46,2017-06-06,11
2017-06-14 01:28:54,2017-06-14,8
2017-06-01 16:08:01,2017-06-01,3
2017-06-05 10:05:05,2017-06-05,6
2017-06-10 01:21:18,2017-06-10,7
2017-05-05 16:46:55,2017-05-05,10
2017-06-04 15:51:15,2017-06-04,9
2017-06-05 15:09:50,2017-06-05,14
2017-06-15 19:34:02,2017-06-15,6
2017-05-09 17:16:41,2017-05-09,4
2017-06-01 08:17:13,2017-06-01,9
2017-05-12 12:50:18,2017-05-12,5
2017-06-02 12:16:45,2017-06-02,2
2017-05-12 23:16:39,2017-05-12,7
2017-05-29 17:46:09,2017-05-29,3
2017-05-01 17:42:25,2017-05-01,1
2017-05-10 22:02:40,2017-05-10,13
2017-06-06 08:27:36,2017-06-06,3
2017-05-10 10:39:56,2017-05-10,5
2017-05-31 20:51:33,2017-05-31,2
2017-05-26 15:40:36,2017-05-26,13
2017-06-09 09:14:38,2017-06-09,4
2017-05-28 22:42:02,2017-05-28,4
2017-05-06 17:54:59,2017-05-06,9
2017-06-04 23:03:35,2017-06-04,1
2017-05-23 21:23:37,2017-05-23,10
2017-05-30 11:54:04,2017-05-30,12
2017-06-01 13:39:16,2017-06-01,7
2017-06-06 12:34:53,2017-06-06,9
2017-06-02 11:27:29,2017-06-02,2
2017-05-15 22:05:34,2017-05-15,12
2017-06-12 08:37:43,2017-06-12,2
2017-05-16 20:39:33,2017-05-16,14
2017-06-02 21:44:20,2017-06-02,1
2017-05-28 15:08:30,2017-05-28,3
2017-06-14 14:05:18,2017-06-14,1
2017-06-12 18:37:31,2017-06-12,9
2017-05-13 20:42:09,2017-05-13,14
2017-06-12 10:10:17,2017-06-12,9
2017-06-05 23:17:04,2017-06-05,8
2017-06-01 19:33:44,2017-06-01,2
2017-06-05 12:57:58,2017-06-05,1
2017-05-15 14:09:21,2017-05-15,12
2017-05-15 10:57:13,2017-05-15,10
2017-05-21 20:12:33,2017-05-21,10
2017-06-06 10:36:52,2017-06-06,11
2017-05-14 14:59:05,2017-05-14,9
2017-06-09 16:08:30,2017-06-09,2
2017-05-08 15:09:43,2017-05-08,12
2017-06-02 09:19:00,2017-06-02,9
2017-05-02 03:31:23,2017-05-02,11
2017-06-03 20:16:31,2017-06-03,9
2017-05-17 19:12:52,2017-05-17,2
2017-05-21 19:39:28,2017-05-21,9
2017-05-31 22:42:05,2017-05-31,14
2017-06-11 16:33:59,2017-06-11,13
2017-05-25 07:35:01,2017-05-25,11
2017-05-12 20:52:38,2017-05-12,13
2017-05-02 12:03:00,2017-05-02,1
2017-05-21 19:35:12,2017-05-21,11
2017-06-06 19:02:52,2017-06-06,10
2017-05-08 14:57:58,2017-05-08,12
2017-05-17 12:44:03,2017-05-17,8
2017-05-10 20:54:15,2017-05-10,10
2017-05-21 21:55:51,2017-05-21,11
2017-06-01 19:08:30,2017-06-01,9
2017-05-07 12:41:14,2017-05-07,11
2017-06-01 13:20:14,2017-06-01,14
2017-05-24 00:06:25,2017-05-24,5
2017-06-08 21:58:07,2017-06-08,14
2017-05-27 13:30:08,2017-05-27,10
2017-05-24 14:55:40,2017-05-24,12
2017-05-04 16:40:36,2017-05-04,2
2017-06-03 15:02:49,2017-06-03,7
2017-05-20 17:21:50,2017-05-20,2
2017-05-21 17:28:49,2017-05-21,8
2017-06-13 19:01:31,2017-06-13,13
2017-05-02 10:52:39,2017-05-02,12
2017-06-02 12:37:27,2017-06-02,8
2017-05-26 12:11:09,2017-05-26,13
2017-05-10 14:04:15,2017-05-10,9
2017-06-06 19:49:09,2017-06-06,5
