"date","rgnp","pgnp","ulc","gdfco","gdf","gdfim","gdfcf","gdfce"
1981-07-01,3264.6,3357.6,145.2,94.9,95.1,100.7,96.8,98.6
1981-10-01,3219,3377.8,149.4,96.6,96.9,101,97.3,100.2
1982-01-01,3170.4,3398.2,153.1,97.9,98.2,101.4,99.2,99.6
1982-04-01,3179.9,3418.6,154.9,99.2,99.4,100,99.9,97.3
1982-07-01,3154.5,3439.2,157.7,100.7,100.7,99.3,100.3,100.9
1982-10-01,3159.3,3459.9,158.7,102.2,101.7,99.3,100.6,102.2
1983-01-01,3186.6,3480.7,158.6,103.5,102.6,98.3,100.7,99.3
1983-04-01,3258.3,3501.7,156.7,104.6,103.6,97.4,102,100.8
1983-07-01,3306.4,3522.7,157.1,105.9,104.6,97.7,102.1,102
1983-10-01,3365.1,3543.9,158.2,107.1,105.7,97.6,103.2,101.8
1984-01-01,3451.7,3565.3,159.1,108.1,106.8,97.7,105.4,102.3
1984-04-01,3498,3586.7,159.4,109.1,107.8,98.1,105.7,102.7
1984-07-01,3520.6,3608.3,161.2,110.3,108.7,97.4,106.7,102.2
1984-10-01,3535.2,3630,162.3,111.4,109.6,96.8,107.2,102.1
1985-01-01,3577.5,3651.9,163.4,112.5,110.6,95.2,107.8,101.6
1985-04-01,3599.2,3673.8,163.9,113.6,111.5,95.6,108.2,104.5
1985-07-01,3635.8,3695.9,165.1,114.8,112.3,95.3,108.6,104.2
1985-10-01,3662.4,3718.2,167.1,116.2,113.2,96.8,109.8,103.5
1986-01-01,3721.1,3740.6,166.4,117.2,113.8,95.9,110.3,99.9
1986-04-01,3704.6,3763.1,168.5,118.3,114.4,92.5,111,91
1986-07-01,3712.4,3785.7,171.2,119.8,115.3,92.9,113.1,87.6
1986-10-01,3733.6,3808.5,173.2,121.2,116.1,94.7,114.4,85.6
1987-01-01,3783,3831.4,173.6,122.9,117.4,97.9,115.5,89.4
1987-04-01,3823.5,3854.5,173.4,124.5,118.5,100.4,117.1,91.3
1987-07-01,3872.8,3877.7,173.9,126,119.6,101.9,117.7,93.1
1987-10-01,3935.6,3901,175.8,127.6,120.8,103.3,118.7,92.9
1988-01-01,3974.8,3924.5,175.7,128.7,121.9,104.5,119.4,91.5
1988-04-01,4010.7,3948.1,178.7,130.3,123.3,106.1,121,92.3
1988-07-01,4042.7,3971.9,179.6,131.5,124.9,106.2,123.5,92.8
1988-10-01,4069.4,3995.8,181.3,133.3,126.2,107.3,124.9,92.9
1989-01-01,4106.8,4019.9,184.1,134.8,127.7,109.5,126.6,94
1989-04-01,4132.5,4044.1,186.1,134.8,129.3,111.1,129,100.6
1989-07-01,4162.9,4068.4,187.4,137.2,130.2,109.8,129.9,98.2
