carat,depth,table,clarity,cut
159,0.92,56.0,60.0,4.0,Fair
160,1.19,64.9,58.0,2.0,Fair
161,1.5,69.6,62.0,3.0,Fair
162,1.21,65.0,59.0,2.0,Fair
163,1.5,59.9,68.0,3.0,Fair
164,1.01,65.1,57.0,2.0,Fair
165,1.01,62.6,57.0,2.0,Fair
166,1.5,65.8,57.0,3.0,Fair
167,1.52,64.7,58.0,3.0,Fair
168,1.0,57.6,57.0,2.0,Fair
169,1.98,58.3,69.0,4.0,Fair
170,0.6,64.5,56.0,2.0,Fair
171,2.01,65.9,57.0,3.0,Fair
172,1.0,65.1,55.0,3.0,Fair
173,2.0,69.1,56.0,3.0,Fair
174,0.7,64.9,57.0,5.0,Fair
175,1.51,65.3,62.0,2.0,Fair
176,0.7,66.4,56.0,3.0,Fair
177,0.99,68.1,56.0,3.0,Fair
178,1.0,68.9,56.0,2.0,Fair
179,3.01,65.8,56.0,3.0,Fair
180,0.9,64.7,59.0,3.0,Fair
181,2.0,61.2,50.0,2.0,Fair
182,0.61,57.4,60.9,5.0,Fair
183,1.01,64.4,59.0,2.0,Fair
184,0.62,65.4,59.0,2.0,Fair
185,2.22,70.1,55.0,0.0,Fair
186,1.01,65.3,57.0,2.0,Fair
187,0.9,64.4,53.0,5.0,Fair
188,0.5,66.5,60.0,4.0,Fair
189,2.0,65.1,57.0,3.0,Fair
190,0.3,60.5,57.0,1.0,Fair
191,1.51,55.8,61.0,2.0,Fair
192,1.0,55.9,60.0,4.0,Fair
193,1.0,64.8,59.0,2.0,Fair
194,1.01,65.5,62.0,5.0,Fair
195,1.01,65.3,55.0,3.0,Fair
196,2.0,65.7,60.0,2.0,Fair
197,0.29,64.7,62.0,5.0,Fair
198,1.59,65.2,58.0,3.0,Fair
199,0.7,67.3,59.0,0.0,Fair
200,0.43,60.7,61.0,2.0,Good
201,1.01,61.5,61.0,4.0,Good
202,0.51,57.7,60.0,3.0,Good
203,0.9,64.2,58.0,2.0,Good
204,1.23,63.7,58.0,0.0,Good
205,0.37,63.7,55.0,5.0,Good
206,2.02,57.9,62.0,5.0,Good
207,1.72,63.4,62.0,3.0,Good
208,0.24,65.1,58.0,1.0,Good
209,2.52,63.7,59.0,3.0,Good
210,0.61,61.2,62.8,5.0,Good
211,1.5,62.9,60.0,2.0,Good
212,0.89,61.6,60.9,3.0,Good
213,1.39,63.8,55.0,3.0,Good
214,0.9,57.7,65.0,2.0,Good
215,1.03,63.1,56.0,2.0,Good
216,0.36,63.1,58.0,2.0,Good
217,0.7,63.8,57.0,3.0,Good
218,1.0,63.6,58.0,5.0,Good
219,1.18,64.2,62.0,2.0,Good
220,0.3,64.1,57.0,2.0,Good
221,0.72,64.0,54.0,5.0,Good
222,1.01,63.1,57.0,0.0,Good
223,0.9,60.8,65.0,2.0,Good
224,0.31,63.1,58.0,5.0,Good
225,0.78,57.9,63.0,3.0,Good
226,1.1,63.7,60.0,4.0,Good
227,1.0,63.5,59.0,5.0,Good
228,0.82,57.4,59.0,2.0,Good
229,1.5,64.0,56.0,0.0,Good
230,1.01,63.8,60.0,2.0,Good
231,0.8,64.2,55.0,3.0,Good
232,1.5,64.0,61.0,0.0,Good
233,0.41,63.8,57.0,2.0,Good
234,0.38,56.6,59.0,1.0,Good
235,1.01,62.8,58.0,2.0,Good
236,0.7,63.5,59.0,2.0,Good
237,0.71,59.2,56.0,4.0,Good
238,0.9,63.6,59.0,2.0,Good
239,0.9,63.3,57.0,5.0,Good
240,1.2,63.7,58.0,5.0,Good
241,1.01,64.0,58.0,2.0,Good
242,1.01,57.6,60.0,2.0,Good
243,0.51,63.7,56.0,5.0,Good
244,1.0,64.0,56.0,5.0,Good
245,0.7,62.7,56.0,6.0,Good
246,0.5,63.2,61.0,3.0,Good
247,0.7,63.3,54.0,7.0,Good
248,1.2,63.7,58.0,5.0,Good
249,0.75,61.0,59.0,2.0,Good
250,1.51,63.6,61.0,2.0,Good
251,0.71,63.4,54.0,2.0,Good
252,1.03,65.0,57.0,3.0,Good
253,2.01,63.1,55.0,3.0,Good
254,1.52,64.0,58.0,2.0,Good
255,1.01,62.5,58.0,5.0,Good
256,0.31,63.8,56.0,5.0,Good
257,0.31,58.2,58.0,5.0,Good
258,0.92,63.6,57.0,2.0,Good
259,1.0,64.0,54.0,3.0,Good
260,0.7,58.7,58.0,3.0,Good
261,0.42,61.9,61.0,7.0,Good
262,0.95,63.8,57.0,3.0,Good
263,0.73,63.7,58.0,5.0,Good
264,0.61,59.6,61.5,5.0,Good
265,0.9,62.4,65.0,5.0,Good
266,1.05,63.7,59.0,3.0,Good
267,0.7,63.6,62.0,7.0,Good
268,0.9,63.8,58.0,3.0,Good
269,1.5,63.6,57.0,4.0,Good
270,0.4,63.4,59.0,3.0,Good
271,2.14,63.8,57.0,3.0,Good
272,0.83,63.8,58.0,2.0,Good
273,1.01,63.8,59.0,4.0,Good
274,0.3,58.5,64.0,5.0,Good
275,0.35,63.7,57.0,5.0,Good
276,1.01,63.6,60.0,2.0,Good
277,0.79,64.3,60.0,3.0,Good
278,0.7,61.4,56.0,5.0,Good
279,0.51,63.1,64.0,2.0,Good
280,0.52,63.6,62.0,2.0,Good
281,1.5,63.6,58.0,5.0,Good
282,0.91,64.2,58.0,5.0,Good
283,0.26,62.5,56.0,4.0,Good
284,1.01,63.1,57.0,6.0,Good
285,1.32,62.6,62.0,4.0,Good
286,0.7,63.3,58.0,3.0,Good
287,0.3,63.6,55.0,7.0,Good
288,1.01,56.7,61.0,5.0,Good
289,0.91,63.9,60.0,2.0,Good
290,1.5,62.4,61.0,3.0,Good
291,1.5,58.6,64.0,5.0,Good
292,0.3,63.4,58.0,2.0,Good
293,1.01,63.6,57.0,2.0,Good
294,0.4,64.2,56.0,2.0,Good
295,0.9,64.4,62.0,5.0,Good
296,1.02,63.2,58.0,5.0,Good
297,1.11,59.7,61.0,3.0,Good
298,0.9,63.4,59.0,3.0,Good
299,1.21,63.7,64.0,3.0,Good
300,1.2,63.6,54.0,3.0,Good
301,1.21,63.6,58.0,2.0,Good
302,1.01,60.6,61.0,2.0,Good
303,0.41,63.2,58.0,2.0,Good
304,1.54,63.8,57.0,2.0,Good
305,0.5,63.4,59.0,3.0,Good
306,1.2,63.6,57.0,6.0,Good
307,0.9,57.7,62.0,2.0,Good
308,0.43,57.9,61.0,4.0,Good
309,0.3,60.8,65.0,3.0,Good
310,0.7,63.6,54.0,3.0,Good
311,0.3,63.3,55.0,6.0,Good
312,0.74,59.2,62.6,6.0,Good
313,0.52,63.3,56.0,5.0,Good
314,0.78,63.9,64.0,2.0,Good
315,1.01,60.6,62.0,5.0,Good
316,0.39,63.6,60.2,7.0,Good
317,0.31,63.1,56.0,6.0,Good
318,0.7,63.4,61.0,2.0,Good
319,0.37,63.7,55.0,2.0,Good
320,0.71,62.7,61.0,6.0,Good
321,0.9,63.7,61.0,5.0,Good
322,1.14,63.4,58.0,4.0,Good
323,1.5,63.8,58.0,4.0,Good
324,1.0,56.8,65.0,2.0,Good
325,0.43,63.8,57.0,2.0,Good
326,1.0,63.9,55.0,3.0,Good
327,1.21,64.0,62.0,3.0,Good
328,1.0,63.9,60.0,3.0,Good
329,0.58,59.3,64.0,2.0,Good
330,0.5,63.2,57.0,2.0,Good
331,0.4,60.6,55.8,3.0,Good
332,0.71,58.9,61.0,7.0,Good
333,0.57,63.2,55.0,2.0,Good
334,0.91,64.2,55.0,5.0,Good
335,1.0,64.1,56.0,2.0,Good
336,0.57,63.8,57.0,3.0,Good
337,1.07,61.0,62.0,3.0,Good
338,0.9,63.1,58.0,3.0,Good
339,1.41,63.8,60.0,5.0,Good
340,0.55,63.2,56.0,3.0,Good
341,1.0,60.2,62.0,7.0,Good
342,0.9,63.1,63.0,2.0,Good
343,1.01,61.7,58.0,2.0,Good
344,0.72,57.9,56.0,3.0,Good
345,1.54,61.7,60.0,0.0,Good
346,1.0,59.9,57.0,5.0,Good
347,0.9,63.6,58.0,5.0,Good
348,0.71,58.4,62.1,2.0,Good
349,0.39,57.8,58.0,4.0,Good
350,0.28,61.2,62.0,7.0,Good
351,0.37,62.1,54.0,4.0,Good
352,1.0,63.6,57.0,5.0,Good
353,0.79,59.2,58.0,3.0,Good
354,0.9,61.8,61.0,1.0,Good
355,1.05,63.6,59.0,3.0,Good
356,0.23,61.0,57.0,5.0,Good
357,0.33,63.5,56.0,5.0,Good
358,0.54,60.6,61.0,5.0,Good
359,1.01,63.7,59.0,3.0,Good
360,0.32,63.7,56.0,3.0,Good
361,1.0,63.6,61.0,5.0,Good
362,0.92,60.2,56.0,2.0,Good
363,0.61,63.4,55.0,5.0,Good
364,0.44,63.6,56.0,5.0,Good
365,0.7,64.3,63.0,2.0,Good
366,1.0,63.7,60.0,4.0,Good
367,0.37,62.8,65.0,4.0,Good
368,1.04,64.0,60.0,3.0,Good
369,0.34,57.5,61.0,5.0,Good
370,0.3,63.6,55.0,7.0,Good
371,0.39,62.8,61.0,4.0,Good
372,0.24,65.0,58.0,7.0,Good
373,0.5,58.5,59.0,2.0,Good
374,0.7,63.2,58.0,6.0,Good
375,0.9,63.8,55.0,5.0,Good
376,0.3,63.4,56.0,5.0,Good
377,1.5,58.5,60.0,3.0,Good
378,1.0,60.4,61.0,2.0,Good
379,0.43,63.6,55.0,2.0,Good
380,1.01,64.0,59.0,3.0,Good
381,1.03,57.7,62.0,2.0,Good
382,0.5,63.5,58.0,3.0,Good
383,0.34,63.2,55.0,5.0,Good
384,0.72,63.9,58.0,2.0,Good
385,0.31,63.6,57.0,2.0,Good
386,0.68,58.1,60.0,2.0,Good
387,1.2,57.8,59.0,5.0,Good
388,1.01,63.8,60.0,2.0,Good
389,0.91,63.4,56.0,4.0,Good
390,1.02,63.5,61.0,2.0,Good
391,0.54,63.2,56.0,2.0,Good
392,2.01,61.7,63.0,0.0,Good
393,0.3,58.9,62.0,5.0,Good
394,0.49,63.6,59.0,4.0,Good
395,1.14,63.7,56.0,0.0,Good
396,1.01,63.2,59.0,2.0,Good
397,1.5,60.7,61.0,4.0,Good
398,0.34,57.4,62.0,6.0,Good
399,0.46,64.4,60.0,4.0,Good
400,0.43,62.0,57.0,6.0,Ideal
401,0.38,62.6,56.0,6.0,Ideal
402,0.91,62.3,56.0,2.0,Ideal
403,0.33,60.7,57.0,5.0,Ideal
404,1.32,62.1,55.0,6.0,Ideal
405,0.76,60.5,56.0,4.0,Ideal
406,0.8,62.0,57.0,2.0,Ideal
407,1.11,61.7,57.0,3.0,Ideal
408,0.51,60.2,56.0,4.0,Ideal
409,0.3,62.3,56.0,2.0,Ideal
410,0.64,61.0,56.0,7.0,Ideal
411,0.31,61.7,55.0,5.0,Ideal
412,0.53,61.6,55.0,4.0,Ideal
413,0.31,61.4,56.0,5.0,Ideal
414,0.97,61.7,56.0,2.0,Ideal
415,1.2,62.9,55.0,7.0,Ideal
416,1.01,61.5,57.0,4.0,Ideal
417,0.56,61.8,54.0,2.0,Ideal
418,0.42,61.7,55.0,6.0,Ideal
419,0.34,62.3,57.0,2.0,Ideal
420,0.31,61.2,56.0,6.0,Ideal
421,0.3,61.5,55.0,5.0,Ideal
422,1.01,60.8,59.0,1.0,Ideal
423,1.02,62.2,56.0,2.0,Ideal
424,1.2,61.7,56.0,4.0,Ideal
425,0.71,60.5,56.0,2.0,Ideal
426,1.11,62.1,55.0,6.0,Ideal
427,0.3,61.6,54.0,4.0,Ideal
428,0.38,62.4,53.2,6.0,Ideal
429,1.01,62.8,57.0,1.0,Ideal
430,0.41,61.6,54.0,4.0,Ideal
431,1.19,61.5,55.0,6.0,Ideal
432,0.31,62.8,57.0,4.0,Ideal
433,1.03,62.4,57.0,2.0,Ideal
434,0.59,61.4,56.0,2.0,Ideal
435,2.01,62.9,54.0,4.0,Ideal
436,0.34,61.1,57.0,7.0,Ideal
437,0.4,61.3,55.0,4.0,Ideal
438,0.4,62.3,57.0,4.0,Ideal
439,0.55,62.4,55.0,7.0,Ideal
440,1.57,62.0,56.0,2.0,Ideal
441,0.6,61.6,56.0,4.0,Ideal
442,1.01,61.0,57.0,7.0,Ideal
443,0.55,62.1,55.0,2.0,Ideal
444,0.7,63.1,54.0,3.0,Ideal
445,0.31,62.8,57.0,7.0,Ideal
446,0.32,60.9,57.0,2.0,Ideal
447,0.34,61.3,56.0,4.0,Ideal
448,0.85,63.0,56.0,2.0,Ideal
449,1.2,61.9,57.0,5.0,Ideal
450,0.9,61.1,56.0,2.0,Ideal
451,0.25,61.9,55.0,7.0,Ideal
452,2.0,62.4,55.0,5.0,Ideal
453,0.56,61.5,57.0,5.0,Ideal
454,0.5,62.7,57.0,4.0,Ideal
455,1.01,61.2,57.0,3.0,Ideal
456,0.7,61.2,55.0,2.0,Ideal
457,0.31,61.1,54.0,4.0,Ideal
458,1.02,61.6,55.0,3.0,Ideal
459,0.41,62.4,55.0,2.0,Ideal
460,1.12,60.9,57.0,4.0,Ideal
461,0.5,61.6,57.0,3.0,Ideal
462,0.32,61.7,55.0,3.0,Ideal
463,0.54,61.8,54.0,3.0,Ideal
464,1.22,61.5,56.0,4.0,Ideal
465,0.53,60.8,55.0,5.0,Ideal
466,0.25,61.2,57.0,6.0,Ideal
467,0.73,62.3,56.0,4.0,Ideal
468,0.26,62.1,54.0,4.0,Ideal
469,0.34,61.5,56.0,6.0,Ideal
470,0.33,61.9,55.0,5.0,Ideal
471,0.6,62.5,55.0,6.0,Ideal
472,0.3,61.9,57.0,2.0,Ideal
473,0.82,62.4,56.0,2.0,Ideal
474,2.3,61.6,56.0,3.0,Ideal
475,1.53,60.6,54.0,4.0,Ideal
476,0.79,63.0,58.0,5.0,Ideal
477,0.39,61.9,54.0,1.0,Ideal
478,1.01,62.7,57.0,3.0,Ideal
479,0.31,62.4,57.0,2.0,Ideal
480,0.5,61.6,57.0,7.0,Ideal
481,0.53,60.8,56.0,2.0,Ideal
482,0.33,61.6,53.0,1.0,Ideal
483,1.54,62.0,57.0,4.0,Ideal
484,1.56,61.8,57.0,2.0,Ideal
485,1.2,61.1,57.0,3.0,Ideal
486,1.25,62.5,56.0,5.0,Ideal
487,1.01,61.6,56.0,5.0,Ideal
488,1.07,62.8,54.0,7.0,Ideal
489,0.73,62.1,55.8,4.0,Ideal
490,0.37,61.4,55.0,1.0,Ideal
491,0.3,62.5,54.0,1.0,Ideal
492,0.54,61.7,57.0,6.0,Ideal
493,0.3,61.1,55.0,3.0,Ideal
494,0.4,62.1,55.0,2.0,Ideal
495,0.32,62.2,55.0,5.0,Ideal
496,0.3,62.2,57.0,6.0,Ideal
497,0.36,60.0,56.0,5.0,Ideal
498,1.04,60.5,57.0,5.0,Ideal
499,0.3,62.3,52.8,1.0,Ideal
500,0.41,62.6,57.0,1.0,Ideal
501,0.51,61.3,58.0,3.0,Ideal
502,0.32,61.5,54.0,2.0,Ideal
503,0.91,61.7,57.0,7.0,Ideal
504,2.05,61.9,57.0,2.0,Ideal
505,0.31,62.7,57.0,2.0,Ideal
506,0.32,62.0,55.0,7.0,Ideal
507,0.31,60.8,57.0,5.0,Ideal
508,0.93,62.0,56.0,2.0,Ideal
509,1.03,61.5,57.0,4.0,Ideal
510,2.15,60.9,56.0,2.0,Ideal
511,1.06,61.7,60.0,3.0,Ideal
512,1.51,62.9,57.0,3.0,Ideal
513,1.01,61.7,57.0,3.0,Ideal
514,0.33,62.1,57.0,5.0,Ideal
515,1.0,62.4,57.0,3.0,Ideal
516,1.28,62.7,53.0,4.0,Ideal
517,1.02,60.7,57.0,3.0,Ideal
518,0.71,60.4,56.0,3.0,Ideal
519,0.4,61.3,56.0,6.0,Ideal
520,0.41,62.2,55.0,4.0,Ideal
521,0.38,61.3,54.0,3.0,Ideal
522,0.31,61.7,56.0,4.0,Ideal
523,0.71,61.3,57.0,2.0,Ideal
524,1.21,60.7,56.0,3.0,Ideal
525,1.6,61.7,56.0,3.0,Ideal
526,0.79,61.4,56.0,2.0,Ideal
527,0.43,61.5,57.0,2.0,Ideal
528,0.72,62.0,56.0,6.0,Ideal
529,1.28,62.2,56.0,2.0,Ideal
530,0.35,62.0,55.0,5.0,Ideal
531,1.54,61.2,56.0,4.0,Ideal
532,1.01,59.6,60.0,7.0,Ideal
533,0.71,61.2,56.0,1.0,Ideal
534,0.42,62.4,55.0,5.0,Ideal
535,0.33,60.9,56.0,4.0,Ideal
536,0.77,62.1,56.0,3.0,Ideal
537,0.31,62.2,53.0,7.0,Ideal
538,0.3,62.3,54.0,5.0,Ideal
539,0.72,61.1,57.0,4.0,Ideal
540,0.4,62.2,55.0,2.0,Ideal
541,1.02,61.3,57.0,6.0,Ideal
542,0.56,62.7,55.0,5.0,Ideal
543,1.13,61.7,57.0,5.0,Ideal
544,1.6,62.8,56.0,3.0,Ideal
545,1.21,61.2,57.0,5.0,Ideal
546,0.33,62.6,57.0,5.0,Ideal
547,1.09,62.4,55.0,5.0,Ideal
548,0.4,61.6,56.0,4.0,Ideal
549,0.3,60.0,56.0,4.0,Ideal
550,0.38,61.5,57.0,7.0,Ideal
551,1.11,62.7,57.0,3.0,Ideal
552,1.61,62.2,56.0,5.0,Ideal
553,1.0,61.5,55.0,7.0,Ideal
554,0.51,62.4,55.0,1.0,Ideal
555,0.38,61.0,55.0,2.0,Ideal
556,0.32,62.2,55.0,6.0,Ideal
557,0.9,61.5,56.0,3.0,Ideal
558,0.3,61.4,57.0,2.0,Ideal
559,0.63,60.9,57.0,1.0,Ideal
560,0.31,62.0,56.0,2.0,Ideal
561,0.32,61.6,55.0,7.0,Ideal
562,0.59,62.2,56.0,7.0,Ideal
563,0.36,61.7,56.0,1.0,Ideal
564,0.55,61.9,56.0,4.0,Ideal
565,1.14,61.7,53.0,4.0,Ideal
566,0.35,61.6,55.1,4.0,Ideal
567,0.74,62.3,56.0,4.0,Ideal
568,0.31,61.9,55.0,6.0,Ideal
569,1.39,61.5,55.0,5.0,Ideal
570,0.5,61.4,55.0,5.0,Ideal
571,1.14,61.4,57.0,4.0,Ideal
572,0.39,60.5,56.0,2.0,Ideal
573,0.54,62.2,56.0,4.0,Ideal
574,0.33,61.9,55.0,6.0,Ideal
575,0.59,62.9,56.0,5.0,Ideal
576,0.72,62.6,56.0,7.0,Ideal
577,0.31,61.1,56.0,6.0,Ideal
578,0.29,62.1,54.0,2.0,Ideal
579,1.0,62.7,57.0,2.0,Ideal
580,0.3,62.9,57.0,2.0,Ideal
581,0.31,62.1,55.0,6.0,Ideal
582,0.56,61.8,56.0,6.0,Ideal
583,1.55,62.1,56.0,6.0,Ideal
584,0.5,62.9,57.0,3.0,Ideal
585,0.44,60.9,57.0,7.0,Ideal
586,0.32,61.7,56.0,6.0,Ideal
587,1.04,61.1,56.0,3.0,Ideal
588,1.31,62.3,56.0,3.0,Ideal
589,1.27,61.6,56.1,5.0,Ideal
590,0.32,62.5,55.0,2.0,Ideal
591,0.8,62.4,56.0,4.0,Ideal
592,0.51,61.6,56.0,5.0,Ideal
593,0.34,61.7,55.0,1.0,Ideal
594,0.33,61.0,54.0,7.0,Ideal
595,1.2,62.2,55.0,5.0,Ideal
596,0.33,60.6,55.0,5.0,Ideal
597,0.7,61.1,56.0,4.0,Ideal
598,0.7,62.1,56.0,2.0,Ideal
599,0.32,61.4,56.0,3.0,Ideal
600,0.5,62.4,58.0,2.0,Premium
601,0.31,60.5,60.0,2.0,Premium
602,0.31,60.7,61.0,5.0,Premium
603,1.01,62.7,59.0,2.0,Premium
604,0.57,59.8,59.0,5.0,Premium
605,1.01,59.2,60.0,2.0,Premium
606,0.34,59.3,60.0,2.0,Premium
607,1.01,61.6,56.0,1.0,Premium
608,1.71,61.3,58.0,5.0,Premium
609,1.21,62.7,59.0,3.0,Premium
610,2.0,60.3,57.0,3.0,Premium
611,1.05,58.9,58.0,3.0,Premium
612,0.32,61.7,58.0,4.0,Premium
613,1.71,61.4,60.0,5.0,Premium
614,0.33,60.1,58.0,6.0,Premium
615,1.24,62.2,58.0,3.0,Premium
616,0.31,61.5,59.0,2.0,Premium
617,1.0,59.9,60.0,7.0,Premium
618,1.0,62.3,59.0,2.0,Premium
619,1.01,62.7,54.0,2.0,Premium
620,2.01,60.1,59.0,2.0,Premium
621,0.52,61.7,58.0,4.0,Premium
622,0.82,61.1,60.0,2.0,Premium
623,0.92,59.4,60.0,3.0,Premium
624,0.81,60.8,59.0,2.0,Premium
625,0.51,60.5,59.0,2.0,Premium
626,0.56,60.8,60.0,2.0,Premium
627,0.34,62.6,59.0,5.0,Premium
628,0.94,62.5,58.0,5.0,Premium
629,1.11,61.8,59.0,0.0,Premium
630,2.06,61.0,61.0,3.0,Premium
631,0.9,62.7,60.0,4.0,Premium
632,1.22,61.2,58.0,5.0,Premium
633,0.7,62.1,59.0,2.0,Premium
634,0.32,62.3,60.0,5.0,Premium
