Date,Price
14-02-2019,19.129999
15-02-2019,19.59
19-02-2019,19.549999
20-02-2019,19.92
21-02-2019,20.190001
22-02-2019,21
25-02-2019,21.17
26-02-2019,21.16
27-02-2019,20.98
28-02-2019,21.01
01-03-2019,21.43
04-03-2019,21.389999
05-03-2019,21.549999
06-03-2019,20.780001
07-03-2019,20.57
08-03-2019,20.99
11-03-2019,20.889999
12-03-2019,20.370001
13-03-2019,20.1
14-03-2019,19.950001
15-03-2019,19.690001
18-03-2019,20.01
19-03-2019,20.09
20-03-2019,19.43
21-03-2019,19.59
22-03-2019,18.83
25-03-2019,18.91
26-03-2019,19.139999
27-03-2019,19.110001
28-03-2019,19.219999
29-03-2019,19.25
01-04-2019,19.190001
02-04-2019,19.15
03-04-2019,19.139999
04-04-2019,19.43
05-04-2019,19.35
08-04-2019,19.459999
09-04-2019,18.879999
10-04-2019,19.129999
11-04-2019,18.860001
12-04-2019,19.440001
15-04-2019,19.280001
16-04-2019,19.059999
17-04-2019,19.26
18-04-2019,19.41
22-04-2019,18.68
23-04-2019,18.870001
24-04-2019,19.25
25-04-2019,18.84
26-04-2019,18.690001
29-04-2019,18.459999
30-04-2019,17.549999
01-05-2019,17.309999
02-05-2019,17.77
03-05-2019,18.299999
06-05-2019,18.610001
07-05-2019,18.690001
08-05-2019,18.74
09-05-2019,19.219999
10-05-2019,19.43
13-05-2019,19.43
14-05-2019,19.370001
15-05-2019,19.549999
16-05-2019,19.65
17-05-2019,19.559999
20-05-2019,19.610001
21-05-2019,20.309999
22-05-2019,20.209999
23-05-2019,20.18
24-05-2019,20.57
28-05-2019,19.65
29-05-2019,19.18
30-05-2019,19
31-05-2019,18.219999
03-06-2019,18.370001
04-06-2019,18.969999
05-06-2019,18.790001
06-06-2019,18.74
07-06-2019,18.799999
10-06-2019,18.9
11-06-2019,18.610001
12-06-2019,18.82
13-06-2019,19.27
14-06-2019,19.52
17-06-2019,19.4
18-06-2019,19.34
19-06-2019,19.4
20-06-2019,19.35
21-06-2019,19.110001
24-06-2019,18.98
25-06-2019,18.73
26-06-2019,18.73
27-06-2019,18.82
28-06-2019,19.01
01-07-2019,18.67
02-07-2019,18.84
03-07-2019,18.950001
05-07-2019,19.02
08-07-2019,18.459999
09-07-2019,18.23
10-07-2019,18.57
11-07-2019,18.379999
12-07-2019,18.58
15-07-2019,18.67
16-07-2019,18.5
17-07-2019,18.309999
18-07-2019,18.200001
19-07-2019,18.09
22-07-2019,18.440001
23-07-2019,18.469999
24-07-2019,18.780001
25-07-2019,18.940001
26-07-2019,19.15
29-07-2019,19.35
30-07-2019,19.459999
31-07-2019,19.120001
01-08-2019,22.34
02-08-2019,21.92
05-08-2019,22.5
06-08-2019,22.34
07-08-2019,22.25
08-08-2019,22.6
09-08-2019,22.450001
12-08-2019,22.219999
13-08-2019,21.85
14-08-2019,22.110001
